"Advanced Inventory","Persedian Lanjutan"
"Manage Stock","Kelola persedian"
"Yes","Ya"
"No","Tidak"
"Use Config Settings","Gunakan Pengaturan Konfirmasi"
"[GLOBAL]","[GLOBAL]"
"Qty","Jml"
"Out-of-Stock Threshold","Ambang Batas Stok habis"
"Minimum Qty Allowed in Shopping Cart","Minimum Qty Diizinkan di Keranjang Belanja"
"Maximum Qty Allowed in Shopping Cart","Maksimum Qty Diizinkan di Keranjang Belanja"
"Qty Uses Decimals","Menggunakan desimal Qty"
"Allow Multiple Boxes for Shipping","Izinkan beberapa kotak untuk pengiriman"
"Backorders","Garis belakang"
"Use deferred Stock update","Gunakan update Stock yang ditangguhkan"
"Notify for Quantity Below","Beritahu Kuantitas di bawah ini"
"Enable Qty Increments","Aktifkan penambahan Qty"
"Qty Increments","Kenaikan Qty"
"Stock Availability","Ketersediaan stok"
"Use Deferred Stock Update","Gunakan Update Saham Ditangguhkan"
"Allow Multiple Boxes for Shipping.","Allow Multiple Boxes for Shipping."
