"Advanced Inventory","Napredne zaliha"
"Manage Stock","Magento magacin"
"Yes","Da"
"No","Ne"
"Use Config Settings","Koristi konfiguraciona podešavanja"
"[GLOBAL]","[GLOBAL]"
"Qty","Kol"
"Out-of-Stock Threshold","Nema na zalihama Threshold"
"Minimum Qty Allowed in Shopping Cart","Minimalna količina dozvoljena u korpi"
"Maximum Qty Allowed in Shopping Cart","Maksimalna količina dozvoljena u korpi"
"Qty Uses Decimals","Količina koristi decimale"
"Allow Multiple Boxes for Shipping","Dopustiti pakovanje u više kutija radi isporuke"
"Backorders","Poslednje porudžbine"
"Use deferred Stock update","Use deferred Zalihe update"
"Notify for Quantity Below","Obavesti za količinu ispod"
"Enable Qty Increments","Omogući povećanje količine"
"Qty Increments","Povećanje količine"
"Stock Availability","Dostupnost zaliha"
"Use Deferred Stock Update","Use Deferred Zalihe Ažuriraj"
"Allow Multiple Boxes for Shipping.","Dozvoli Multiple Boxes for Dostava."
