"Advanced Inventory","高级库存"
"Manage Stock","数量增加"
"Yes","是"
"No","否"
"Use Config Settings","使用配置设置"
"[GLOBAL]","[全局]"
"Qty","数量"
"Out-of-Stock Threshold","缺货的阈值"
"Minimum Qty Allowed in Shopping Cart","购物车中允许的最小数量"
"Maximum Qty Allowed in Shopping Cart","购物车中允许的最大数量"
"Qty Uses Decimals","数量使用小数"
"Allow Multiple Boxes for Shipping","允许分箱物流快递"
"Backorders","延期交货"
"Use deferred Stock update","使用延迟股票更新"
"Notify for Quantity Below","数量通知如下"
"Enable Qty Increments","启用数量增量"
"Qty Increments","数量的增量"
"Stock Availability","库存"
"Use Deferred Stock Update","使用延迟现货库存更新"
"Allow Multiple Boxes for Shipping.","Allow Multiple Boxes for Shipping."
