"Advanced Inventory","Напредне залиха"
"Manage Stock","Магенто магацин"
"Yes","Да"
"No","Не"
"Use Config Settings","Користи конфигурациона подешавања"
"[GLOBAL]","[GLOBAL]"
"Qty","Кол"
"Out-of-Stock Threshold","Нема на залихама Тхресхолд"
"Minimum Qty Allowed in Shopping Cart","Минимална количина дозвољена у корпи"
"Maximum Qty Allowed in Shopping Cart","Максимална количина дозвољена у корпи"
"Qty Uses Decimals","Количина користи децимале"
"Allow Multiple Boxes for Shipping","Допустити паковање у више кутија ради испоруке"
"Backorders","Последње поруџбине"
"Use deferred Stock update","Усе деферред Залихе упдате"
"Notify for Quantity Below","Обавести за количину испод"
"Enable Qty Increments","Омогући повећање количине"
"Qty Increments","Повећање количине"
"Stock Availability","Доступност залиха"
"Use Deferred Stock Update","Усе Деферред Залихе Ажурирај"
"Allow Multiple Boxes for Shipping.","Дозволи Мултипле Боxес фор Достава."
