"Advanced Inventory","Stan magazynowy"
"Manage Stock","Zarządzaj stanami"
"Yes","Tak"
"No","Nie"
"Use Config Settings","Używaj ustawienia z konfiguracji"
"[GLOBAL]","[GLOBALNY]"
"Qty","Ilość"
"Out-of-Stock Threshold","Przedział dla braku w magazynie"
"Minimum Qty Allowed in Shopping Cart","Minimalna ilość w koszyku"
"Maximum Qty Allowed in Shopping Cart","Maksymalna ilość w koszyku"
"Qty Uses Decimals","Ilość używa wartości dziesiętnych"
"Allow Multiple Boxes for Shipping","Zezwól na dzielenie wysyłki"
"Backorders","Rezerwacje"
"Use deferred Stock update","Za pomocą odroczonego czas aktualizacji"
"Notify for Quantity Below","Powiadamiaj o ujemnej ilości"
"Enable Qty Increments","Włącz zwiększanie ilości"
"Qty Increments","Zwiększanie ilości"
"Stock Availability","Dostępność towaru"
"Use Deferred Stock Update","Użyj opóźnionych aktualizacji zapasów"
"Allow Multiple Boxes for Shipping.","Allow Multiple Boxes for Shipping."
