"Home","Hjem"
"Go to Home Page","Gå til hjemmesiden"
"Catalog Advanced Search","Katalog Avansert søk"
"All","Alle"
"Yes","Ja"
"No","Nei"
"Results","Resultater"
"Advanced Search Results","Avansert søkeresultater"
"Grid","Rutenett"
"List","Liste"
"Search Weight","Søk Vekt"
"Relevance","Relevans"
"Search results for: '%1'","Søkeresultat for: ""%1"""
"Minimum Search query length is %1","Minimum søke lengde er %1"
"Search term is empty","Search term is empty"
"Enter a search term and try again.","Enter a search term and try again."
"%1 and greater","%1 og større"
"up to %1","opp til %1"
"Default product collection strategy not found","Default product collection strategy not found"
"Category","Kategori"
"%1 and above","%1 og over"
"%1 - %2","%1 - %2"
"An error occurred. For details, see the error log.","An error occurred. For details, see the error log."
"The bucket doesn't exist.","The bucket doesn't exist."
"Product","Produkt"
"Disable Notice","Disable Notice"
"Test Exception","Test Exception"
"Search Settings","Søkeinnstillinger"
"Search","Søk"
"Please enter a valid price range.","Please enter a valid price range."
"Advanced Search","Avansert søk"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 element</strong> ble funnet ved hjelp av følgende søkekriterier"
"<strong>%1 items</strong> were found using the following search criteria","fant <strong>%1 elementer</strong> ved hjelp av følgende søkekriterier"
"We can't find any items matching these search criteria.","We can't find any items matching these search criteria."
"Modify your search.","Endre søket ditt."
"name","navn"
"Don't see what you're looking for?","Finner du ikke det du leter etter?"
"Your search returned no results.","Ditt søk returnerte ingen resultater."
"Catalog Section","Catalog Section"
"Catalog Search","Katalog søk"
"Popular Search Terms","Populære søkeord"
"Minimal Query Length","Minimal spørringen lengde"
"This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact.","This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact."
"Maximum Query Length","Maksimal spørringen lengde"
"This value must be compatible with the corresponding setting in the configured search engine.","This value must be compatible with the corresponding setting in the configured search engine."
"Number of top search results to cache","Number of top search results to cache"
"Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time.","Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time."
"Autocomplete Limit","Autocomplete Limit"
"Enable EAV Indexer","Enable EAV Indexer"
"Rebuild Catalog product fulltext search index","Gjenoppbygge katalogen produktet fulltext søkeindeksen"
