"Home","Hem"
"Go to Home Page","Gå till startsidan"
"Catalog Advanced Search","Katalog Avancerad Sökning"
"All","Alla"
"Yes","Ja"
"No","Nej"
"Results","Resultat"
"Advanced Search Results","Avancerade sökresultat"
"Grid","Rutnät"
"List","Listvy"
"Search Weight","Sök vikt"
"Relevance","Relevans"
"Search results for: '%1'","Sökresultat för: '%1'"
"Minimum Search query length is %1","Sök fråga minimilängd är %1"
"Search term is empty","Search term is empty"
"Please specify at least one search term.","Please specify at least one search term."
"%1 and greater","%1 och större"
"up to %1","upp till %1"
". "" which is inconsistent with state of scope resolver""",". "" which is inconsistent with state of scope resolver"""
"Category","Kategori"
"%1 and above","%1 och över"
"%1 - %2","%1 - %2"
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log."
"Bucket does not exist","Bucket does not exist"
"Product","Produkt"
"Search Settings","Sökinställningar"
"Search","Sök"
"Advanced Search","Avancerad sökning"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 artikel</strong> hittades med följande sökkriterier"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 träffar</strong> hittades med följande sökkriterier"
"We can't find any items matching these search criteria.","We can't find any items matching these search criteria."
"Modify your search.","Ändra din sökning."
"name","namn"
"Don't see what you're looking for?","Don't see what you're looking for?"
"Your search returned no results.","Sökningen gav inget resultat."
"Catalog Section","Catalog Section"
"Catalog Search","Katalogsökning"
"Popular Search Terms","Populära söktermer"
"Minimal Query Length","Minimal Query Length"
"Maximum Query Length","Maximum Query Length"
"Number of top search results to cache","Number of top search results to cache"
"Rebuild Catalog product fulltext search index","Rebuild Catalog product fulltext search index"
"Bucket do not exists","Bucket do not exists"
"Modify your search","Modify your search"
"Test Exception","Test Exception"
"Please enter a valid price range.","Please enter a valid price range."
"Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time.","Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time."
"Enable EAV Indexer","Enable EAV Indexer"
"Enter a search term and try again.","Enter a search term and try again."
"An error occurred. For details, see the error log.","An error occurred. For details, see the error log."
"The bucket doesn't exist.","The bucket doesn't exist."
"Deprecation Notice","Deprecation Notice"
"Autocomplete Limit","Autocomplete Limit"
