"Home","ഹോം"
"Go to Home Page","ഹോം പേജിലേയ്ക്ക് പോകുക"
"Catalog Advanced Search","കാറ്റലോഗ് വിപുലമായ തിരയൽ"
"All","എല്ലാം"
"Yes","അതെ"
"No","ഇല്ല"
"Results","ഫലം"
"Advanced Search Results","വിപുലമായ തിരയൽ ഫലങ്ങൾ"
"Grid","ഗ്രിഡ്"
"List","പട്ടിക"
"Search Weight","ഭാരം തിരയുക"
"Relevance","പ്രസക്തി"
"Search results for: '%1'","ഇതിനായുള്ള തിരയൽ ഫലങ്ങൾ: '%1'"
"Minimum Search query length is %1","ഏറ്റവും കുറഞ്ഞ തിരയൽ അന്വേഷണ ദൈർഘ്യം %1 ആണ്"
"Please specify at least one search term.","ഒരു തിരയൽ പദമെങ്കിലും വ്യക്തമാക്കുക."
"%1 and greater","%1 ഉം അതിൽ കൂടുതലും"
"up to %1","%1 വരെ"
". "" which is inconsistent with state of scope resolver""",". ""ഇത് സ്കോപ്പ് റിസോൾവറിന്റെ അവസ്ഥയുമായി പൊരുത്തപ്പെടുന്നില്ല"""
"Category","വിഭാഗം"
"%1 and above","%1 ഉം അതിനുമുകളിലും"
"%1 - %2","%1 - %2"
"Sorry, something went wrong. You can find out more in the error log.","ക്ഷമിക്കണം, എന്തോ കുഴപ്പം സംഭവിച്ചു. പിശക് ലോഗിൽ നിങ്ങൾക്ക് കൂടുതൽ കണ്ടെത്താൻ കഴിയും."
"Bucket does not exist","ബക്കറ്റ് നിലവിലില്ല"
"Product","ഉൽപ്പന്നം"
"Search Settings","ക്രമീകരണങ്ങൾ തിരയുക"
"Search","തിരയുക"
"Advanced Search","വിപുലമായ തിരയൽ"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 item</strong> were found using the following search criteria"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 items</strong> were found using the following search criteria"
"We can't find any items matching these search criteria.","ഈ തിരയൽ മാനദണ്ഡങ്ങളുമായി പൊരുത്തപ്പെടുന്ന ഇനങ്ങളൊന്നും ഞങ്ങൾക്ക് കണ്ടെത്താൻ കഴിയില്ല."
"Modify your search.","നിങ്ങളുടെ തിരയൽ പരിഷ്‌ക്കരിക്കുക."
"name","പേര്"
"Don't see what you're looking for?","നിങ്ങൾ തിരയുന്നത് കാണുന്നില്ലേ?"
"Your search returned no results.","നിങ്ങളുടെ തിരയൽ ഫലങ്ങളൊന്നും നൽകിയില്ല."
"Popular Search Terms","ജനപ്രിയ തിരയൽ നിബന്ധനകൾ"
"Catalog Search","കാറ്റലോഗ് തിരയൽ"
"Minimal Query Length","കുറഞ്ഞ അന്വേഷണ ദൈർഘ്യം"
"Maximum Query Length","പരമാവധി അന്വേഷണ ദൈർഘ്യം"
"Rebuild Catalog product fulltext search index","കാറ്റലോഗ് ഉൽപ്പന്ന ഫുൾടെക്സ്റ്റ് തിരയൽ സൂചിക പുനർനിർമ്മിക്കുക"
"Please enter a valid price range.","സാധുവായ വില ശ്രേണി നൽകുക."
"This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact.","This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact."
"This value must be compatible with the corresponding setting in the configured search engine.","This value must be compatible with the corresponding setting in the configured search engine."
