"New Accounts","Nye kontoer"
"Customers by number of orders","Kunder etter antall ordrer"
"Customers by Orders Total","Kunder etter ordretotal"
"Filter","Filter"
"Date Used","Dato brukt"
"Day","Dag"
"Month","Måned"
"Year","År"
"Period","Periode"
"From","Fra"
"To","Til"
"Yes","Ja"
"No","Nei"
"Empty Rows","Tomme rader"
"Invalid date specified","Invalid date specified"
"Refresh","Oppdater"
"We can't find records for this period.","We can't find records for this period."
"Show Reviews","Vis omtaler"
"Products Report","Products Report"
"Downloads","Downloads"
"Product","Produkt"
"Link","Link"
"SKU","Varenummer"
"Purchases","Purchases"
"CSV","CSV"
"Excel XML","Excel XML"
"Unlimited","Ubegrenset"
"Low stock","Low stock"
"Products Ordered","Products Ordered"
"Most Viewed","Most Viewed"
"Show Report","Vis rapport"
"Interval","Interval"
"Total","Totalt"
"Price","Pris"
"Views","Visninger"
"Refresh Statistics","Refresh Statistics"
"Customers Reviews","Customers Reviews"
"Reviews for %1","Reviews for %1"
"Customer","Kunde"
"Title","Tittel"
"Detail","Detaljer"
"Created","Opprettet"
"Products Reviews","Produktomtaler"
"Products Bestsellers Report","Produkt-bestselgerrapport"
"Order Quantity","Order Quantity"
"Coupons Usage Report","Coupons Usage Report"
"Subtotal","Delsum"
"Coupon Code","Kupongkode"
"Price Rule","Prisregel"
"Uses","Bruk"
"Sales Subtotal","Salg delsum"
"Sales Discount","Salgsrabatt"
"Sales Total","Salgssum"
"Discount","Rabatt"
"Total Invoiced vs. Paid Report","Total Invoiced vs. Paid Report"
"Orders","Ordrer"
"Invoiced Orders","Invoiced Orders"
"Total Invoiced","Total Invoiced"
"Paid Invoices","Paid Invoices"
"Unpaid Invoices","Unpaid Invoices"
"Total Refunded Report","Total Refunded Report"
"Refunded Orders","Refunded Orders"
"Total Refunded","Total Refunded"
"Online Refunds","Online Refunds"
"Offline Refunds","Offline Refunds"
"Total Ordered Report","Totalt bestilt rapport"
"Sales Items","Salgsvarer"
"Items","Produkter"
"Revenue","Inntekter"
"Profit","Profit"
"Invoiced","Fakturert"
"Paid","Betalt"
"Refunded","Refundert"
"Sales Tax","Merverdiavgift"
"Tax","Avgift"
"Sales Shipping","Salg frakt"
"Shipping","Frakt"
"Canceled","Avbrutt"
"Total Shipped Report","Total Shipped Report"
"Carrier/Method","Carrier/Method"
"Total Sales Shipping","Totalt salg frakt"
"Total Shipping","Total Shipping"
"Order Taxes Report Grouped by Tax Rate","Order Taxes Report Grouped by Tax Rate"
"Rate","Rate"
"Tax Amount","Mva beløp"
"Abandoned carts","Abandoned carts"
"Email","E-post"
"Products","Produkter"
"Quantity","Antall"
"Applied Coupon","Applied Coupon"
"Updated","Oppdatert"
"IP Address","IP-adresse"
"Customers","Kunder"
"ID","ID"
"First Name","Fornavn"
"Last Name","Etternavn"
"Items in Cart","Varer i handlevognen"
"Products in carts","Produkter i handlekurven"
"Carts","Carts"
"Name","Navn"
"Wish Lists","Ønskelister"
"Wish List Purchase","Wish List Purchase"
"Wish List vs. Regular Order","Wish List vs. Regular Order"
"Times Deleted","Times Deleted"
"Index type is not valid","Index type is not valid"
"Reports","Rapporter"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>.","Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>."
"New Accounts Report","New Accounts Report"
"Customers by Number of Orders","Customers by Number of Orders"
"Order Count Report","Order Count Report"
"Order Total Report","Ordretotal rapport"
"Downloads Report","Downloads Report"
"Low Stock","Low Stock"
"Low Stock Report","Low Stock Report"
"Ordered Products Report","Ordered Products Report"
"Products Most Viewed Report","Products Most Viewed Report"
"Product Views Report","Product Views Report"
"An error occurred while showing the product views report. Please review the log and try again.","An error occurred while showing the product views report. Please review the log and try again."
"Review","Omtale"
"Reviews","Produktomtaler"
"Customers Report","Customers Report"
"Customer Reviews Report","Customer Reviews Report"
"Product Reviews Report","Product Reviews Report"
"Product Reviews","Produktomtaler"
"Details","Detaljer"
"Sales","Salg"
"Bestsellers Report","Bestselgerrapport"
"Coupons","Coupons"
"Coupons Report","Coupons Report"
"Invoice Report","Invoice Report"
"Refunds Report","Refunds Report"
"Sales Report","Salgsrapport"
"Orders Report","Orders Report"
"Shipping Report","Shipping Report"
"Tax Report","Tax Report"
"Shopping Cart","Handlekurv"
"Abandoned Carts","Abandoned Carts"
"Customer Shopping Carts","Kundens handlekurv"
"Products in Carts","Products in Carts"
"Statistics","Statistics"
"No report code is specified.","No report code is specified."
"You refreshed lifetime statistics.","You refreshed lifetime statistics."
"We can't refresh lifetime statistics.","We can't refresh lifetime statistics."
"Recent statistics have been updated.","Recent statistics have been updated."
"We can't refresh recent statistics.","We can't refresh recent statistics."
"The product type filter specified is incorrect.","The product type filter specified is incorrect."
"Order Taxes Report Grouped by Tax Rates","Order Taxes Report Grouped by Tax Rates"
"Total Invoiced VS Paid Report","Total Invoiced VS Paid Report"
"Promotion Coupons Usage Report","Promotion Coupons Usage Report"
"Bestsellers","Bestselgere"
"Most Viewed Products Report","Most Viewed Products Report"
"Error","Feil"
"Show By","Vis etter"
"Select Date","Velg dato"
"Customers that have Wish List: %1","Customers that have Wish List: %1"
"Number of Wish Lists: %1","Number of Wish Lists: %1"
"Number of items bought from a Wish List: %1","Number of items bought from a Wish List: %1"
"Number of times Wish Lists have been shared (emailed): %1","Number of times Wish Lists have been shared (emailed): %1"
"Number of Wish List referrals: %1","Number of Wish List referrals: %1"
"Number of Wish List conversions: %1","Number of Wish List conversions: %1"
"Show Report For:","Vis rapport for:"
"All Websites","Alle nettsteder"
"Recently Viewed","Nylig vist"
"Add to Cart","Legg i handlekurv"
"In stock","På lager"
"Out of stock","Ikke på lager"
"Add to Wish List","Legg til i ønskeliste"
"Add to Compare","Legg til sammenligning"
"Recently Compared","Nylig sammenlignet"
"Learn More","Lær mer"
"Marketing","Markedsføring"
"Products in Cart","Products in Cart"
"Abandoned Cart","Abandoned Cart"
"Search Terms","Søkeord"
"By Customers","By Customers"
"By Products","By Products"
"Refunds","Refunds"
"Order Total","Ordretotal"
"Order Count","Order Count"
"New","Ny"
"Ordered","Bestilt"
"Recently Viewed/Compared Products","Nylig sett/sammenlignede produkter"
"Show for Current","Viser for gjeldende"
"Default Recently Viewed Products Count","Default Recently Viewed Products Count"
"Default Recently Compared Products Count","Default Recently Compared Products Count"
"Dashboard","Kontrollpanel"
"Year-To-Date Starts","Year-To-Date Starts"
"Current Month Starts","Current Month Starts"
"Select day of the month.","Select day of the month."
"Average","Gjennomsnitt"
"Stock Quantity","Stock Quantity"
"Ordered Quantity","Ordered Quantity"
"The report displays the top 5 most viewed products for each interval.","The report displays the top 5 most viewed products for each interval."
"For accurate reporting, be sure to refresh lifetime statistics whenever you change the time zone.","For accurate reporting, be sure to refresh lifetime statistics whenever you change the time zone."
"Guest","Gjest"
"Action","Handling"
"Average (Approved)","Average (Approved)"
"Last Review","Last Review"
"Order Created","Order Created"
"Order Updated","Order Updated"
"The Order Updated report is created in real time and does not require a refresh.","The Order Updated report is created in real time and does not require a refresh."
"Last Invoice Created Date","Last Invoice Created Date"
"Last Credit Memo Created Date","Last Credit Memo Created Date"
"First Invoice Created Date","First Invoice Created Date"
"Refresh Lifetime Statistics","Refresh Lifetime Statistics"
"Are you sure you want to refresh lifetime statistics right now? This operation may slow down your customers' shopping experience.","Are you sure you want to refresh lifetime statistics right now? This operation may slow down your customers' shopping experience."
"Refresh Statistics for the Last Day","Refresh Statistics for the Last Day"
"Are you sure you want to refresh statistics for the last day?","Are you sure you want to refresh statistics for the last day?"
"Report","Rapport"
"Description","Beskrivelse"
"undefined","undefined"
"Best Sellers Report","Best Sellers Report"
"Recently Viewed Products","Recently Viewed Products"
"List of Products Recently Viewed by Visitor","List of Products Recently Viewed by Visitor"
"Number of Products to display","Number of Products to display"
"Viewed Products Grid Template","Viewed Products Grid Template"
"Viewed Products List Template","Viewed Products List Template"
"Viewed Products Images and Names Template","Viewed Products Images and Names Template"
"Viewed Products Names Only Template","Viewed Products Names Only Template"
"Viewed Products Images Only Template","Viewed Products Images Only Template"
"Recently Compared Products","Recently Compared Products"
"List of Products Recently Compared and Removed from the Compare List by Visitor","List of Products Recently Compared and Removed from the Compare List by Visitor"
"Compared Products Grid Template","Compared Products Grid Template"
"Compared Products List Template","Compared Products List Template"
"Compared Products Images and Names Template","Compared Products Images and Names Template"
"Compared Product Names Only Template","Compared Product Names Only Template"
"Compared Product Images Only Template","Compared Product Images Only Template"
"System configuration is not found for report event type ""%1""","System configuration is not found for report event type ""%1"""
"General Options","General Options"
"Enable Reports","Enable Reports"
"If disabled, all report events will be disabled","If disabled, all report events will be disabled"
"Enable ""Product View"" Report","Enable ""Product View"" Report"
"If enabled, will collect statistic of viewed product pages","If enabled, will collect statistic of viewed product pages"
"Enable ""Send Product Link To Friend"" Report","Enable ""Send Product Link To Friend"" Report"
"If enabled, will collect statistic of product links sent to friend","If enabled, will collect statistic of product links sent to friend"
"Enable ""Add Product To Compare List"" Report","Enable ""Add Product To Compare List"" Report"
"If enabled, will collect statistic of products added to Compare List","If enabled, will collect statistic of products added to Compare List"
"Enable ""Product Added To Cart"" Report","Enable ""Product Added To Cart"" Report"
"If enabled, will collect statistic of products added to Cart","If enabled, will collect statistic of products added to Cart"
"Enable ""Product Added To WishList"" Report","Enable ""Product Added To WishList"" Report"
"If enabled, will collect statistic of products added to WishList","If enabled, will collect statistic of products added to WishList"
"Enable ""Share WishList"" Report","Enable ""Share WishList"" Report"
"If enabled, will collect statistic of shared WishLists","If enabled, will collect statistic of shared WishLists"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""#2"" data-post=""%3"">here</a>.","Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""#2"" data-post=""%3"">here</a>."
