"New Accounts","Novo Accounts"
"Customers by number of orders","Kupci by number of orders"
"Customers by Orders Total","Kupci by Orders Ukupno"
"Filter","Filter"
"Date Used","Datum Used"
"Day","Dan"
"Month","Mesec"
"Year","Godina"
"Period","Period"
"From","Od"
"To","Do"
"Yes","Da"
"No","Ne"
"Empty Rows","Empty Rows"
"Invalid date specified","Neispravan date specified"
"Refresh","Osveži"
"We can't find records for this period.","We can't find records for this period."
"Show Reviews","Prikaži Recenzije"
"Products Report","Proizvodi Report"
"Downloads","Preuzimanja"
"Product","Proizvod"
"Link","Link"
"SKU","Šifra"
"Purchases","Purchases"
"CSV","CSV"
"Excel XML","Excel XML"
"Unlimited","Neograničeno"
"Low stock","Low stock"
"Products Ordered","Proizvodi Ordered"
"Most Viewed","Most Viewed"
"Show Report","Prikaži Report"
"Interval","Interval"
"Total","Ukupno"
"Price","Cena"
"Views","Pregledi"
"Refresh Statistics","Refresh Statistics"
"Customers Reviews","Kupci Recenzije"
"Reviews for %1","Recenzije for %1"
"Customer","Kupac"
"Title","Naslov"
"Detail","Detail"
"Created","Kreiran"
"Products Reviews","Proizvodi Recenzije"
"Products Bestsellers Report","Proizvodi Bestsellers Report"
"Order Quantity","Porudžbina Količina"
"Coupons Usage Report","Kuponi Usage Report"
"Subtotal","Međuzbir"
"Coupon Code","Kupon Kod"
"Price Rule","Cena Rule"
"Uses","Upotrebljeno"
"Sales Subtotal","Prodaja Međuzbir"
"Sales Discount","Prodaja Popust"
"Sales Total","Prodaja Ukupno"
"Discount","Popust"
"Total Invoiced vs. Paid Report","Ukupno Invoiced vs. Paid Report"
"Orders","Porudžbine"
"Invoiced Orders","Invoiced Orders"
"Total Invoiced","Ukupno Invoiced"
"Paid Invoices","Paid Fakture"
"Unpaid Invoices","Unpaid Fakture"
"Total Refunded Report","Ukupno Refunded Report"
"Refunded Orders","Refunded Orders"
"Total Refunded","Ukupno Refunded"
"Online Refunds","Online Refunds"
"Offline Refunds","Offline Refunds"
"Total Ordered Report","Ukupno Ordered Report"
"Sales Items","Prodaja Items"
"Items","Stavke"
"Revenue","Prihod"
"Profit","Profit"
"Invoiced","Faktura"
"Paid","Paid"
"Refunded","Povraćen novac"
"Sales Tax","Prodaja Porez"
"Tax","Porez"
"Sales Shipping","Prodaja Dostava"
"Shipping","Dostava"
"Canceled","Otkazano"
"Total Shipped Report","Ukupno Shipped Report"
"Carrier/Method","Carrier/Method"
"Total Sales Shipping","Ukupno Prodaja Dostava"
"Total Shipping","Ukupno Dostava"
"Order Taxes Report Grouped by Tax Rate","Porudžbina Taxes Report Grouped by Porez Rate"
"Rate","Rate"
"Tax Amount","Iznos poreza"
"Abandoned carts","Abandoned carts"
"Email","E-pošta"
"Products","Proizvodi"
"Quantity","Količina"
"Applied Coupon","Applied Kupon"
"Updated","Ažuriran"
"IP Address","IP Adresa"
"Customers","Kupci"
"ID","ID"
"First Name","Ime"
"Last Name","Prezime"
"Items in Cart","Proizvoda u Korpi"
"Products in carts","Proizvodi in carts"
"Carts","Carts"
"Name","Ime"
"Wish Lists","Wish Lists"
"Wish List Purchase","Wish Lista Purchase"
"Wish List vs. Regular Order","Wish Lista vs. Regular Porudžbina"
"Times Deleted","Times Obrisan"
"Index type is not valid","Indeks type is not valid"
"Reports","Izveštaji"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>.","Poslednje ažuriranje: %1. Da osvežite <a href=""%2"">statistiku</a> poslednjeg dana, kliknite <a href=""%3"">ovde</a>."
"New Accounts Report","Novo Accounts Report"
"Customers by Number of Orders","Kupci by Number of Orders"
"Order Count Report","Porudžbina Count Report"
"Order Total Report","Porudžbina Ukupno Report"
"Downloads Report","Downloads Report"
"Low Stock","Low Zalihe"
"Low Stock Report","Low Zalihe Report"
"Ordered Products Report","Ordered Proizvodi Report"
"Products Most Viewed Report","Proizvodi Most Viewed Report"
"Product Views Report","Proizvod Views Report"
"An error occurred while showing the product views report. Please review the log and try again.","Došlo je do greške while showing the product views report. Please review the log and pokušajte ponovo."
"Review","Recenzija"
"Reviews","Recenzije"
"Customers Report","Kupci Report"
"Customer Reviews Report","Kupac Recenzije Report"
"Product Reviews Report","Proizvod Recenzije Report"
"Product Reviews","Proizvod Recenzije"
"Details","Detalji"
"Sales","Prodaja"
"Bestsellers Report","Bestsellers Report"
"Coupons","Kuponi"
"Coupons Report","Kuponi Report"
"Invoice Report","Faktura Report"
"Refunds Report","Refunds Report"
"Sales Report","Prodaja Report"
"Orders Report","Orders Report"
"Shipping Report","Dostava Report"
"Tax Report","Porez Report"
"Shopping Cart","Korpa"
"Abandoned Carts","Abandoned Carts"
"Customer Shopping Carts","Kupac Shopping Carts"
"Products in Carts","Proizvodi in Carts"
"Statistics","Statistics"
"No report code is specified.","Ne report code is specified."
"You refreshed lifetime statistics.","You refreshed lifetime statistics."
"We can't refresh lifetime statistics.","Ne možemo osvežiti svu statistiku."
"Recent statistics have been updated.","Recent statistics su updated."
"We can't refresh recent statistics.","We can't refresh recent statistics."
"The product type filter specified is incorrect.","The product type filter specified is netačan."
"Order Taxes Report Grouped by Tax Rates","Porudžbina Taxes Report Grouped by Porez Rates"
"Total Invoiced VS Paid Report","Ukupno Invoiced VS Paid Report"
"Promotion Coupons Usage Report","Promotion Kuponi Usage Report"
"Bestsellers","Najprodavaniji"
"Most Viewed Products Report","Most Viewed Proizvodi Report"
"Error","Greška"
"Show By","Prikaži By"
"Select Date","Izaberi Datum"
"Customers that have Wish List: %1","Kupci that have Wish Lista: %1"
"Number of Wish Lists: %1","Number of Wish Lists: %1"
"Number of items bought from a Wish List: %1","Number of items bought from a Wish Lista: %1"
"Number of times Wish Lists have been shared (emailed): %1","Number of times Wish Lists su shared (emailed): %1"
"Number of Wish List referrals: %1","Number of Wish Lista referrals: %1"
"Number of Wish List conversions: %1","Number of Wish Lista conversions: %1"
"Show Report For:","Prikaži Report For:"
"All Websites","Sve Web lokacije"
"Recently Viewed","Nedavno pogledano"
"Add to Cart","Dodaj u korpu"
"In stock","Na stanju"
"Out of stock","Nema na lageru"
"Add to Wish List","Dodaj u listu želja"
