"New Accounts","Yeni Hesaplar"
"Customers by number of orders","Sipariş Sayısına Göre Müşteriler"
"Customers by Orders Total","Sipariş Toplamına göre Müşteriler"
"Filter","Filtre"
"Date Used","Kullanılan Tarih"
"Day","Gün"
"Month","Ay"
"Year","Yıl"
"Period","Periyod"
"From","Baş"
"To","Bit"
"Yes","Evet"
"No","Hayır"
"Empty Rows","Boş Satırlar"
"Invalid date specified","Tarih seçimi hatalı"
"Refresh","Yenile"
"We can't find records for this period.","Bu dönem için kayıt bulamıyoruz."
"Show Reviews","Yorumları Bak"
"Products Report","Ürün Raporu"
"Downloads","İndirmeler"
"Product","Ürün"
"Link","Bağlantı"
"SKU","Ürün Kodu"
"Purchases","Satın Almalar"
"CSV","Csv"
"Excel XML","Excel XML"
"Unlimited","Sınırsız"
"Low stock","Düşük Stok"
"Products Ordered","Sipariş Edilen Ürünler"
"Most Viewed","En çok Görülen"
"Show Report","Raporu Göster"
"Interval","Aralık"
"Total","Toplam"
"Price","Fiyat"
"Views","Görünümler"
"Refresh Statistics","Referans İstatistikleri"
"Customers Reviews","Müşterilerin Yorumları"
"Reviews for %1","%1 için değerlendirmeler"
"Customer","Müşteri"
"Title","Başlık"
"Detail","Detay"
"Created","Oluşturuldu"
"Products Reviews","Ürün Yorumları"
"Products Bestsellers Report","En çok Satılan Ürünler Raporu"
"Order Quantity","Sipariş miktarı"
"Coupons Usage Report","Kupon Kullanım Raporu"
"Subtotal","Ara Toplam"
"Coupon Code","Kupon Kodu"
"Price Rule","Fiyat Kuralı"
"Uses","Kullanım"
"Sales Subtotal","Kısmi satış toplamı"
"Sales Discount","Satış İndirimi"
"Sales Total","Toplam"
"Discount","İndirim"
"Total Invoiced vs. Paid Report","Toplam Fatura ve Tahsilat Raporları"
"Orders","Siparişler"
"Invoiced Orders","Faturalandırılmış Siparişler"
"Total Invoiced","Toplam Faturalanmış"
"Paid Invoices","Ödenmiş faturalar"
"Unpaid Invoices","Ödenmemiş Faturalar"
"Total Refunded Report","Toplam İade Raporu"
"Refunded Orders","Sipariş geri ödemeleri"
"Total Refunded","Toplam İade Edilenler"
"Online Refunds","Çevrimiçi arkadaşlar"
"Offline Refunds","Çevrimdışı arkadaşlar"
"Total Ordered Report","Toplam Sipariş Raporu"
"Sales Items","Ürünler"
"Items","Ürünler"
"Revenue","Gelir"
"Profit","Kâr"
"Invoiced","Faturalandı"
"Paid","Ödendi"
"Refunded","İadesi Yapıldı"
"Sales Tax","Satış Vergisi"
"Tax","Vergi"
"Sales Shipping","Teslimat"
"Shipping","Kargo"
"Canceled","İptal Edildi"
"Total Shipped Report","Toplam Teslimat Raporu"
"Carrier/Method","Taşıyıcı/Yöntem"
"Total Sales Shipping","Toplam Teslimat"
"Total Shipping","Toplam Teslimat"
"Order Taxes Report Grouped by Tax Rate","Vergi Oranına göre Gruplanmış Sipariş Vergi Raporu"
"Rate","Oran"
"Tax Amount","Vergi Tutarı"
"Abandoned carts","Terk Edilmiş Sepetler"
"Email","E-posta"
"Products","Ürünler"
"Quantity","Miktar"
"Applied Coupon","Uygulanan Kupon"
"Updated","Güncellendi"
"IP Address","IP Adres"
"Customers","Müşteriler"
"ID","No"
"First Name","Adı"
"Last Name","Soyadı"
"Items in Cart","Sepetteki Ürünler"
"Products in carts","Sepetlerdeki Ürünler"
"Carts","Sepetler"
"Name","Adı"
"Wish Lists","İstek listesi"
"Wish List Purchase","İstek Listesi Satın Alma"
"Wish List vs. Regular Order","İstek Listesi ve Düzenli Sipariş"
"Times Deleted","Silinmiş zamanlar"
"Index type is not valid","Dizin türü geçerli değil"
"Reports","Raporlar"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>.","Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>."
"New Accounts Report","Yeni Hesapların Raporu"
