"New Accounts","Uudet tilit"
"Customers by number of orders","Asiakkaat tilausmäärien mukaan"
"Customers by Orders Total","Asiakkaat tilausten loppusummien mukaan"
"Filter","Suodin"
"Date Used","Date Used"
"Day","Päivä"
"Month","Kuukausi"
"Year","Vuosi"
"Period","Period"
"From","Alkaen"
"To","Asti"
"Yes","Kyllä"
"No","Ei"
"Empty Rows","Tyhjät rivit"
"Invalid date specified","Määritetty päivämäärä ei kelpaa"
"Refresh","Virkistä"
"We can't find records for this period.","We can't find records for this period."
"Show Reviews","Näytä arvostelut"
"Products Report","Products Report"
"Downloads","Lataukset"
"Product","Tuote"
"Link","Linkki"
"SKU","Tuotenro"
"Purchases","Purchases"
"CSV","CSV"
"Excel XML","Excel XML"
"Unlimited","Rajaton"
"Low stock","Alhainen varastotilanne"
"Products Ordered","Products Ordered"
"Most Viewed","Useimmin katsotut"
"Show Report","Näytä raportti"
"Interval","Aikaväli"
"Total","Yhteensä"
"Price","Hinta"
"Views","Näkymät"
"Refresh Statistics","Päivitä tilastot"
"Customers Reviews","Asiakkaiden arvostelut"
"Reviews for %1","Arvostelut tuotteelle %1"
"Customer","Asiakas"
"Title","Otsikko"
"Detail","Detail"
"Created","Luotu"
"Products Reviews","Tuotteiden arvostelut"
"Products Bestsellers Report","Products Bestsellers Report"
"Order Quantity","Order Quantity"
"Coupons Usage Report","Coupons Usage Report"
"Subtotal","Välisumma"
"Coupon Code","Alennuskoodi"
"Price Rule","Hintasääntö"
"Uses","Käyttökerrat"
"Sales Subtotal","Myyntien välisumma"
"Sales Discount","Myyntien alennus"
"Sales Total","Sales Total"
"Discount","Alennus"
"Total Invoiced vs. Paid Report","Total Invoiced vs. Paid Report"
"Orders","Tilaukset"
"Invoiced Orders","Laskutetut tilaukset"
"Total Invoiced","Laskutettu yhteensä"
"Paid Invoices","Maksetut laskut"
"Unpaid Invoices","Maksamattomat laskut"
"Total Refunded Report","Total Refunded Report"
"Refunded Orders","Hyvitetyt tilaukset"
"Total Refunded","Yhteensä hyvitetty"
"Online Refunds","Online Refunds"
"Offline Refunds","Offline Refunds"
"Total Ordered Report","Total Ordered Report"
"Sales Items","Myynnin tuotteet"
"Items","Tuotteet"
"Revenue","Tulot"
"Profit","Profit"
"Invoiced","Laskutettu"
"Paid","Maksettu"
"Refunded","Hyvitetty"
"Sales Tax","Arvonlisävero"
"Tax","Vero"
"Sales Shipping","Sales Shipping"
"Shipping","Toimitus"
"Canceled","Peruutettu"
"Total Shipped Report","Total Shipped Report"
"Carrier/Method","Carrier/Method"
"Total Sales Shipping","Total Sales Shipping"
"Total Shipping","Total Shipping"
"Order Taxes Report Grouped by Tax Rate","Order Taxes Report Grouped by Tax Rate"
"Rate","Rate"
"Tax Amount","Veron määrä"
"Abandoned carts","Hylätyt ostoskorit"
"Email","Sähköposti"
"Products","Tuotteet"
"Quantity","Määrä"
"Applied Coupon","Käytetty alennuskoodi"
"Updated","Päivitetty"
"IP Address","IP-osoite"
"Customers","Asiakkaat"
"ID","Tunnus"
"First Name","Etunimi"
"Last Name","Sukunimi"
"Items in Cart","Tuotetta ostoskorissa"
"Products in carts","Tuotteita ostoskorissa"
"Carts","Ostoskorit"
"Name","Nimi"
"Wish Lists","Toivelistat"
"Wish List Purchase","Wish List Purchase"
"Wish List vs. Regular Order","Wish List vs. Regular Order"
"Times Deleted","Times Deleted"
"Index type is not valid","Index type is not valid"
"Reports","Raportit"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>.","Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>."
"New Accounts Report","New Accounts Report"
"Customers by Number of Orders","Customers by Number of Orders"
"Order Count Report","Order Count Report"
"Order Total Report","Order Total Report"
"Downloads Report","Downloads Report"
"Low Stock","Alhainen varastotilanne"
"Low Stock Report","Low Stock Report"
"Ordered Products Report","Ordered Products Report"
"Products Most Viewed Report","Products Most Viewed Report"
"Product Views Report","Product Views Report"
"An error occurred while showing the product views report. Please review the log and try again.","An error occurred while showing the product views report. Please review the log and try again."
"Review","Arvostelu"
"Reviews","Arvostelut"
"Customers Report","Asiakasraportti"
"Customer Reviews Report","Customer Reviews Report"
"Product Reviews Report","Product Reviews Report"
"Product Reviews","Tuotteen arvostelut"
"Details","Yksityiskohdat"
"Sales","Myynti"
"Bestsellers Report","Myydyimpien raportti"
"Coupons","Alennuskoodit"
"Coupons Report","Coupons Report"
"Invoice Report","Invoice Report"
"Refunds Report","Refunds Report"
"Sales Report","Myyntiraportti"
"Orders Report","Orders Report"
"Shipping Report","Shipping Report"
"Tax Report","Veroraportti"
"Shopping Cart","Ostoskori"
"Abandoned Carts","Hylätyt ostoskorit"
"Customer Shopping Carts","Customer Shopping Carts"
"Products in Carts","Products in Carts"
"Statistics","Tilastot"
"No report code is specified.","No report code is specified."
"You refreshed lifetime statistics.","You refreshed lifetime statistics."
"We can't refresh lifetime statistics.","Elinaikaisia tilastoja ei voida päivittää."
"Recent statistics have been updated.","Recent statistics have been updated."
"We can't refresh recent statistics.","We can't refresh recent statistics."
"The product type filter specified is incorrect.","The product type filter specified is incorrect."
"Order Taxes Report Grouped by Tax Rates","Order Taxes Report Grouped by Tax Rates"
"Total Invoiced VS Paid Report","Yhteensä laskutettu VS maksettu-raportti"
"Promotion Coupons Usage Report","Promotion Coupons Usage Report"
"Bestsellers","Myydyimmät"
"Most Viewed Products Report","Most Viewed Products Report"
"Error","Virhe"
"Show By","Selaa"
"Select Date","Valitse päivämäärä"
"Customers that have Wish List: %1","Customers that have Wish List: %1"
"Number of Wish Lists: %1","Number of Wish Lists: %1"
"Number of items bought from a Wish List: %1","Number of items bought from a Wish List: %1"
"Number of times Wish Lists have been shared (emailed): %1","Number of times Wish Lists have been shared (emailed): %1"
"Number of Wish List referrals: %1","Number of Wish List referrals: %1"
"Number of Wish List conversions: %1","Number of Wish List conversions: %1"
"Show Report For:","Show Report For:"
"All Websites","Kaikki sivustot"
"Recently Viewed","Äskettäin tarkastellut"
"Add to Cart","Lisää ostoskoriin"
"In stock","Varastossa"
"Out of stock","Ei varastossa"
"Add to Wish List","Lisää toivelistaan"
"Add to Compare","Lisää vertailuun"
"Recently Compared","Äskettäin vertaillut"
"Learn More","Lisätietoja"
"Marketing","Markkinointi"
"Products in Cart","Tuotteita ostoskorissa"
"Abandoned Cart","Hylätty ostoskori"
"Search Terms","Hakusanat"
"By Customers","Asiakkaittain"
"By Products","Tuotteittain"
"Refunds","Hyvitykset"
"Order Total","Loppusumma"
"Order Count","Order Count"
"New","Uusi"
"Ordered","Tilatut"
"Recently Viewed/Compared Products","Recently Viewed/Compared Products"
"Show for Current","Show for Current"
"Default Recently Viewed Products Count","Default Recently Viewed Products Count"
"Default Recently Compared Products Count","Default Recently Compared Products Count"
"Dashboard","Hallintasivu"
"Year-To-Date Starts","Year-To-Date Starts"
"Current Month Starts","Nykyinen kuukausi alkaa"
"Select day of the month.","Select day of the month."
"Average","Keskiarvo"
"Stock Quantity","Stock Quantity"
"Ordered Quantity","Tilattu määrä"
"The report displays the top 5 most viewed products for each interval.","The report displays the top 5 most viewed products for each interval."
"For accurate reporting, be sure to refresh lifetime statistics whenever you change the time zone.","For accurate reporting, be sure to refresh lifetime statistics whenever you change the time zone."
"Guest","Vieras"
"Action","Toiminto"
"Average (Approved)","Average (Approved)"
"Last Review","Viimeinen arvostelu"
"Order Created","Tilaus luotu"
"Order Updated","Order Updated"
"The Order Updated report is created in real time and does not require a refresh.","The Order Updated report is created in real time and does not require a refresh."
"Last Invoice Created Date","Last Invoice Created Date"
"Last Credit Memo Created Date","Last Credit Memo Created Date"
"First Invoice Created Date","First Invoice Created Date"
"Refresh Lifetime Statistics","Virkistä elinikäiset tilastot"
"Are you sure you want to refresh lifetime statistics right now? This operation may slow down your customers' shopping experience.","Are you sure you want to refresh lifetime statistics right now? This operation may slow down your customers' shopping experience."
"Refresh Statistics for the Last Day","Refresh Statistics for the Last Day"
"Are you sure you want to refresh statistics for the last day?","Are you sure you want to refresh statistics for the last day?"
"Report","Report"
"Description","Kuvaus"
"undefined","undefined"
"Best Sellers Report","Best Sellers Report"
"Recently Viewed Products","Recently Viewed Products"
"List of Products Recently Viewed by Visitor","List of Products Recently Viewed by Visitor"
"Number of Products to display","Number of Products to display"
"Viewed Products Grid Template","Viewed Products Grid Template"
"Viewed Products List Template","Viewed Products List Template"
"Viewed Products Images and Names Template","Viewed Products Images and Names Template"
"Viewed Products Names Only Template","Viewed Products Names Only Template"
"Viewed Products Images Only Template","Viewed Products Images Only Template"
"Recently Compared Products","Recently Compared Products"
"List of Products Recently Compared and Removed from the Compare List by Visitor","List of Products Recently Compared and Removed from the Compare List by Visitor"
"Compared Products Grid Template","Compared Products Grid Template"
"Compared Products List Template","Compared Products List Template"
"Compared Products Images and Names Template","Compared Products Images and Names Template"
"Compared Product Names Only Template","Compared Product Names Only Template"
"Compared Product Images Only Template","Compared Product Images Only Template"
