"New Accounts","Akun Baru"
"Customers by number of orders","Pelanggan dengan jumlah pesanan"
"Customers by Orders Total","Pelanggan menurut Pesanan Total"
"Filter","Saring"
"Date Used","Tanggal yang Digunakan"
"Day","Hari"
"Month","Bulan"
"Year","Tahun"
"Period","Periode"
"From","Dari"
"To","Ke"
"Yes","Ya"
"No","Tidak"
"Empty Rows","Baris Kosong"
"Invalid date specified","Invalid date specified"
"Refresh","Segarkan"
"We can't find records for this period.","We can't find records for this period."
"Show Reviews","Tampilkan Ulasan"
"Products Report","Laporan Produk"
"Downloads","Unduhan"
"Product","Produk"
"Link","Tautan"
"SKU","SKU"
"Purchases","Pembelian"
"CSV","CSV"
"Excel XML","Excel XML"
"Unlimited","Tak terbatas"
"Low stock","Persediaan sedikit"
"Products Ordered","Products Ordered"
"Most Viewed","Paling banyak Dilihat"
"Show Report","Tampilkan Laporan"
"Interval","Jarak waktu"
"Total","Jumlah"
"Price","Harga"
"Views","Tampilan"
"Refresh Statistics","Segarkan Statistik"
"Customers Reviews","Ulasan pelanggan"
"Reviews for %1","Ulasan untuk %1"
"Customer","Pelanggan"
"Title","Judul"
"Detail","Rincian"
"Created","Buat"
"Products Reviews","Ulasan Produk"
"Products Bestsellers Report","Laporan Produk Penjualan terbaik"
"Order Quantity","Kuantitas Pesanan"
"Coupons Usage Report","Laporan Penggunaan Kupon"
"Subtotal","Total bagian"
"Coupon Code","Kode Kupon"
"Price Rule","Price Rule"
"Uses","Kegunaan"
"Sales Subtotal","Subtotal Penjualan"
"Sales Discount","Sales Discount"
"Sales Total","Sales Total"
"Discount","Diskon"
"Total Invoiced vs. Paid Report","Total Invoiced vs. Paid Report"
"Orders","Pesanan"
"Invoiced Orders","Invoiced Orders"
"Total Invoiced","Total Invoiced"
"Paid Invoices","Paid Invoices"
"Unpaid Invoices","Unpaid Invoices"
"Total Refunded Report","Total Refunded Report"
"Refunded Orders","Refunded Orders"
"Total Refunded","Total Refunded"
"Online Refunds","Pengembalian Dana Online"
"Offline Refunds","Pengembalian Dana Offline"
"Total Ordered Report","Total Laporan Pemesanan"
"Sales Items","Sales Items"
"Items","Barang"
"Revenue","Pendapatan"
"Profit","Keuntungan"
"Invoiced","Faktur"
"Paid","Dibayar"
"Refunded","Dikembalikan"
"Sales Tax","Sales Tax"
"Tax","Pajak"
"Sales Shipping","Sales Shipping"
"Shipping","Pengiriman"
"Canceled","Dibatalkan"
"Total Shipped Report","Total Shipped Report"
"Carrier/Method","Metode/Pembawa"
"Total Sales Shipping","Total Penjualan Pengiriman"
"Total Shipping","Total Pengiriman"
"Order Taxes Report Grouped by Tax Rate","Order Taxes Report Grouped by Tax Rate"
"Rate","Menilai"
"Tax Amount","Jumlah Pajak"
"Abandoned carts","Abandoned carts"
"Email","Email"
"Products","Produk"
"Quantity","Kuantitas"
"Applied Coupon","Applied Coupon"
"Updated","Diperbarui"
"IP Address","Alamat IP"
"Customers","Pelanggan"
"ID","Nomor"
"First Name","Nama Depan"
"Last Name","Nama Belakang"
"Items in Cart","Barang dalam Keranjang"
"Products in carts","Produk dalam keranjang"
"Carts","Keranjang"
"Name","Nama"
"Wish Lists","Daftar Keinginan"
"Wish List Purchase","Daftar Keinginan Pembelian"
"Wish List vs. Regular Order","Wish List vs. Regular Order"
"Times Deleted","Times Deleted"
"Index type is not valid","Jenis indeks tidak valid"
"Reports","Laporan"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>.","Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>."
"New Accounts Report","Laporan Akun Baru"
"Customers by Number of Orders","Pelanggan dengan Jumlah Pesanan"
"Order Count Report","Laporan Jumlah Pesanan"
"Order Total Report","Laporan Total Pesanan"
"Downloads Report","Laporan Unduhan"
"Low Stock","Persediaan sedikit"
"Low Stock Report","Laporan Persediaan Sedikit"
"Ordered Products Report","Ordered Products Report"
"Products Most Viewed Report","Laporan Produk Terbanyak Dilihat"
"Product Views Report","Laporan Produk Dilihat"
"An error occurred while showing the product views report. Please review the log and try again.","Terjadi kesalahan saat menampilkan laporan tampilan produk. Harap tinjau log dan coba lagi."
"Review","Ulasan"
"Reviews","Ulasan"
"Customers Report","Laporan Pelanggan"
"Customer Reviews Report","Laporan Ulasan Pelanggan"
"Product Reviews Report","Laporan Ulasan Produk"
"Product Reviews","Ulasan Produk"
"Details","Rincian"
"Sales","Penjual"
"Bestsellers Report","Laporan Penjualan terbaik"
"Coupons","Kupon"
"Coupons Report","Laporan Kupon"
"Invoice Report","Invoice Report"
"Refunds Report","Refunds Report"
"Sales Report","Sales Report"
"Orders Report","Laporan Pesanan"
"Shipping Report","Laporan Pengiriman"
"Tax Report","Laporan Pajak"
"Shopping Cart","Keranjang Belanja"
"Abandoned Carts","Abandoned Carts"
"Customer Shopping Carts","Keranjang Belanja Pelanggan"
"Products in Carts","Produk di Keranjang"
"Statistics","Statistik"
"No report code is specified.","No report code is specified."
"You refreshed lifetime statistics.","You refreshed lifetime statistics."
"We can't refresh lifetime statistics.","We can't refresh lifetime statistics."
"Recent statistics have been updated.","Statistik terakhir telah diperbarui."
"We can't refresh recent statistics.","Kami tidak dapat menyegarkan statistik terkini."
"The product type filter specified is incorrect.","The product type filter specified is incorrect."
"Order Taxes Report Grouped by Tax Rates","Order Taxes Report Grouped by Tax Rates"
"Total Invoiced VS Paid Report","Total Invoiced VS Paid Report"
"Promotion Coupons Usage Report","Promotion Coupons Usage Report"
"Bestsellers","Penjualan terbaik"
"Most Viewed Products Report","Most Viewed Products Report"
"Error","Kesalahan"
"Show By","Tampilkan Dengan"
"Select Date","Pilih Tanggal"
"Customers that have Wish List: %1","Customers that have Wish List: %1"
"Number of Wish Lists: %1","Jumlah Daftar Keinginan: %1"
"Number of items bought from a Wish List: %1","Number of items bought from a Wish List: %1"
"Number of times Wish Lists have been shared (emailed): %1","Number of times Wish Lists have been shared (emailed): %1"
"Number of Wish List referrals: %1","Number of Wish List referrals: %1"
"Number of Wish List conversions: %1","Number of Wish List conversions: %1"
"Show Report For:","Tampilkan Laporan Untuk:"
"All Websites","Semua Situs"
"Recently Viewed","Baru saja Dilihat"
"Add to Cart","Tambahkan ke Keranjang"
