"New Accounts","Akun baru"
"Customers by number of orders","Pelanggan dengan jumlah pesanan"
"Customers by Orders Total","Pelanggan menurut Pesanan Total"
"Filter","Menyaring"
"Date Used","Tanggal yang Digunakan"
"Day","Hari"
"Month","Bulan"
"Year","Tahun"
"Period","Periode"
"From","Dari"
"To","Ke"
"Yes","Ya"
"No","Tidak"
"Empty Rows","Baris Kosong"
"Invalid date specified","Tanggal tidak valid ditentukan"
"Refresh","Menyegarkan"
"We can't find records for this period.","Kami tidak dapat menemukan catatan untuk periode ini."
"Show Reviews","Tampilkan Ulasan"
"Products Report","Laporan Produk"
"Downloads","Unduh"
"Product","Produk"
"Link","Tautan"
"SKU","SKU"
"Purchases","Pembelian"
"CSV","Csv"
"Excel XML","Excel XML"
"Unlimited","Tak terbatas"
"Low stock","Stok sedikit"
"Products Ordered","Produk yang dipesan"
"Most Viewed","Terpopuler"
"Show Report","Tampilkan Laporan"
"Interval","Selang"
"Total","Jumlah"
"Price","Harga"
"Views","Tampilan"
"Refresh Statistics","Segarkan Statistik"
"Customers Reviews","Ulasan pelanggan"
"Reviews for %1","Ulasan untuk %1"
"Customer","Pelanggan"
"Title","Judul"
"Detail","Rincian"
"Created","Dibuat"
"Products Reviews","Ulasan produk"
"Products Bestsellers Report","Produk Laporan Penjual Terbaik"
"Order Quantity","Kuantitas Pesanan"
"Coupons Usage Report","Laporan Penggunaan Kupon"
"Subtotal","Subtotal"
"Coupon Code","Kode Kupon"
"Price Rule","Aturan Harga"
"Uses","Kegunaan"
"Sales Subtotal","Subtotal Penjualan"
"Sales Discount","Potongan harga"
"Sales Total","Penjualan Total"
"Discount","Diskon"
"Total Invoiced vs. Paid Report","Total Faktur Ditagihkan vs Laporan Telah Dibayar"
"Orders","Pesanan"
"Invoiced Orders","Pesanan telah ditagih"
"Total Invoiced","Total Faktur Ditagihkan"
"Paid Invoices","Faktur telah dibayar"
"Unpaid Invoices","Faktur belum dibayar"
"Total Refunded Report","Total Laporan Pengembalian Dana"
"Refunded Orders","Pesanan Dikembalikan"
"Total Refunded","Jumlah Total Dana Dikembalikan"
"Online Refunds","Pengembalian Dana Online"
"Offline Refunds","Pengembalian Dana Offline"
"Total Ordered Report","Total Laporan Pemesanan"
"Sales Items","Item Penjualan"
"Items","Item"
"Revenue","Pendapatan"
"Profit","Keuntungan"
"Invoiced","Faktur Ditagihkan"
"Paid","Dibayar"
"Refunded","Dikembalikan"
"Sales Tax","Pajak Penjualan"
"Tax","Pajak"
"Sales Shipping","Pengiriman Penjualan"
"Shipping","Pengiriman"
"Canceled","Dibatalkan"
"Total Shipped Report","Total Laporan yang Dikirim"
"Carrier/Method","Kurir/Metode"
"Total Sales Shipping","Total Penjualan Pengiriman"
"Total Shipping","Total Pengiriman"
"Order Taxes Report Grouped by Tax Rate","Laporan Pesanan Pajak Yang Dikelompokkan menurut Tarif Pajak"
"Rate","Tarif"
"Tax Amount","Jumlah pajak"
"Abandoned carts","Gerobak terbengkalai"
"Email","E-mail"
"Products","Produk"
"Quantity","Kuantitas"
"Applied Coupon","Kupon Terapan"
"Updated","Diperbarui"
"IP Address","Alamat IP"
"Customers","Pelanggan"
"ID","Id"
"First Name","Nama depan"
"Last Name","Nama Belakang"
"Items in Cart","Item dalam Keranjang"
"Products in carts","Produk di gerobak"
"Carts","Gerobak"
"Name","Nama"
"Wish Lists","Daftar Keinginan"
"Wish List Purchase","Daftar keinginan pembelian"
"Wish List vs. Regular Order","Daftar keinginan vs pesanan reguler"
"Times Deleted","Waktu dihapus"
"Index type is not valid","Jenis indeks tidak valid"
"Reports","Laporan"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>.","Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>."
"New Accounts Report","Laporan Akun Baru"
"Customers by Number of Orders","Pelanggan dengan Jumlah Pesanan"
"Order Count Report","Laporan jumlah pesanan"
"Order Total Report","Laporan total pesanan"
"Downloads Report","Laporan Unduhan"
"Low Stock","Stok sedikit"
"Low Stock Report","Laporan Stok Saham Rendah"
"Ordered Products Report","Laporan Produk yang Dipesan"
"Products Most Viewed Report","Produk Terbanyak Dilihat Laporan"
"Product Views Report","Laporan Penayangan Produk"
"An error occurred while showing the product views report. Please review the log and try again.","Terjadi kesalahan saat menampilkan laporan tampilan produk. Silakan tinjau log dan coba lagi."
"Review","Ulasan"
"Reviews","Ulasan"
"Customers Report","Laporan pelanggan"
"Customer Reviews Report","Laporan ulasan pelanggan"
"Product Reviews Report","Laporan ulasan Produk"
"Product Reviews","Ulasan produk"
"Details","Rincian"
"Sales","Penjualan"
"Bestsellers Report","Laporan Penjual Terbaik"
"Coupons","Kupon"
"Coupons Report","Laporan kupon"
"Invoice Report","Laporan faktur"
"Refunds Report","Laporan Pengembalian Dana"
"Sales Report","Laporan penjualan"
"Orders Report","Laporan pesanan"
"Shipping Report","Laporan Pengiriman"
"Tax Report","Laporan Pajak"
"Shopping Cart","Kereta Belanja"
"Abandoned Carts","Terbengkalai gerobak"
"Customer Shopping Carts","Keranjang belanja pelanggan"
"Products in Carts","Produk di Gerobak"
"Statistics","Statistik"
"No report code is specified.","Tidak ada kode laporan yang ditentukan."
"You refreshed lifetime statistics.","Anda menyegarkan statistik seumur hidup."
"We can't refresh lifetime statistics.","Kami tidak dapat menyegarkan statistik seumur hidup."
"Recent statistics have been updated.","Statistik terakhir telah diperbarui."
"We can't refresh recent statistics.","Kami tidak dapat menyegarkan statistik terkini."
"The product type filter specified is incorrect.","Filter jenis produk yang ditentukan salah."
"Order Taxes Report Grouped by Tax Rates","Memesan Laporan Pajak yang Dikelompokkan menurut Tarif Pajak"
"Total Invoiced VS Paid Report","Total Dibayar VS Laporan Berbayar"
"Promotion Coupons Usage Report","Laporan Penggunaan Kupon Promosi"
"Bestsellers","Penjualan terbaik"
"Most Viewed Products Report","Laporan Produk Terlaris"
"Error","Kesalahan"
"Show By","Tampilkan dengan"
"Select Date","Memilih Tanggal"
"Customers that have Wish List: %1","Pelanggan yang memiliki Daftar Keinginan: %1"
"Number of Wish Lists: %1","Jumlah Daftar Keinginan: %1"
