"New Accounts","Nowe konta"
"Customers by number of orders","Klienci wg liczby zamówień"
"Customers by Orders Total","Klienci wg sumy zamówień"
"Filter","Filtr"
"Date Used","Data użycia"
"Day","Dzień"
"Month","Miesiąc"
"Year","Rok"
"Period","Okres"
"From","Od"
"To","Do"
"Yes","Tak"
"No","Nie"
"Empty Rows","Puste rzędy"
"Invalid date specified","Wybrana data jest nieprawidłowa"
"Refresh","Odśwież"
"We can't find records for this period.","Nie udało się znaleźć wpisów z tego okresu."
"Show Reviews","Pokaż opinie"
"Products Report","Raport produktów"
"Downloads","Pobrania"
"Product","Produkt"
"Link","Odnośnik"
"SKU","SKU"
"Purchases","Zamówienia"
"CSV","CSV"
"Excel XML","Excel XML"
"Unlimited","Nielimitowany"
"Low stock","Mało produktów"
"Products Ordered","Zamówieone produkty"
"Most Viewed","Najczęściej oglądane"
"Show Report","Pokaż raport"
"Interval","Interwał"
"Total","Łącznie"
"Price","Cena"
"Views","Widoki"
"Refresh Statistics","Odśwież statystyki"
"Customers Reviews","Opinie klientów"
"Reviews for %1","Opinie %1"
"Customer","Klient"
"Title","Tytuł"
"Detail","Szczegół"
"Created","Utworzono"
"Products Reviews","Opinie produktów"
"Products Bestsellers Report","Raport bestsellerów"
"Order Quantity","Ilość zamawień"
"Coupons Usage Report","Raport wykorzystania kuponów"
"Subtotal","Suma częściowa"
"Coupon Code","Kod kuponu"
"Price Rule","Reguła cenowa"
"Uses","Użyć"
"Sales Subtotal","Suma częściowa sprzedaży"
"Sales Discount","Zniżka sprzedażowa"
"Sales Total","Sprzedaż łącznie"
"Discount","Zniżka"
"Total Invoiced vs. Paid Report","Raport łącznie zafakturowanych kontra opłacone"
"Orders","Zamówienia"
"Invoiced Orders","Zafakturowane zamówienia"
"Total Invoiced","Łącznie zafakturowane"
"Paid Invoices","Opłacone faktury"
"Unpaid Invoices","Niezapłacone faktury"
"Total Refunded Report","Raport łącznie zrefundowanych"
"Refunded Orders","Zwrot zamówienia"
"Total Refunded","Łącznie zwrócono"
"Online Refunds","Zwroty online"
"Offline Refunds","Zwroty offline"
"Total Ordered Report","Raport łącznie zamówionych"
"Sales Items","Produkty sprzedaży"
"Items","Pozycje"
"Revenue","Dochód"
"Profit","Profit"
"Invoiced","Zafakturowane"
"Paid","Zapłacono"
"Refunded","Zwrócone"
"Sales Tax","Podatek sprzedaży"
"Tax","Podatek"
"Sales Shipping","Dostawa sprzedaży"
"Shipping","Dostawa"
"Canceled","Anulowane"
"Total Shipped Report","Raport łącznie dostarczonych"
"Carrier/Method","Dostawca/metoda"
"Total Sales Shipping","Łączne dostawy sprzedaży"
"Total Shipping","Łączna dostawa"
"Order Taxes Report Grouped by Tax Rate","Raport podatków zamówienia pogrupowany wg stawki podatku"
"Rate","Stawka"
"Tax Amount","Wartość podatku"
"Abandoned carts","Porzucone koszyki"
"Email","E-mail"
"Products","Produkty"
"Quantity","Ilość"
"Applied Coupon","Zastosowane kupony"
"Updated","Zaktualizowano"
"IP Address","Adres IP"
"Customers","Klienci"
"ID","Identyfikator"
"First Name","Imię"
"Last Name","Nazwisko"
"Items in Cart","Produkty w koszyku"
"Products in carts","Produkty w koszyku"
"Carts","Koszyki"
"Name","Nazwa"
"Wish Lists","Listy życzeń"
"Wish List Purchase","Lista życzeń zakupu"
"Wish List vs. Regular Order","Lista życzeń względem zwykłego zamówienia"
"Times Deleted","Razy Usuwane"
"Index type is not valid","Typ indeksu nie jest prawidłowa"
"Reports","Raporty"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>.","Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>."
"New Accounts Report","Nowy raport konta"
"Customers by Number of Orders","Klienci wg liczby zamówień"
"Order Count Report","Raport liczby zamówień"
