"New Accounts","Nova Conta"
"Customers by number of orders","Clientes por número de pedidos"
"Customers by Orders Total","Clientes por Total de Pedidos"
"Filter","Filtro"
"Date Used","Data Utilizada"
"Day","Dia"
"Month","Mês"
"Year","Ano"
"Period","Período"
"From","De"
"To","Até"
"Yes","Sim"
"No","Não"
"Empty Rows","Linhas vazias"
"Invalid date specified","Data inválida especificada"
"Refresh","Atualizar"
"We can't find records for this period.","Não foram encontrados registos para este período."
"Show Reviews","Permitir Comentários"
"Products Report","Relatório de Produtos"
"Downloads","Transferências"
"Product","Produto"
"Link","Link"
"SKU","Código de Produto:"
"Purchases","Compras"
"CSV","CSV"
"Excel XML","Excel, XML"
"Unlimited","Ilimitado"
"Low stock","Estoque Mínimo"
"Products Ordered","Produtos comprados"
"Most Viewed","Mais visitados"
"Show Report","Mostrar relatório"
"Interval","Intervalo"
"Total","Total"
"Price","Preço"
"Views","Visões"
"Refresh Statistics","Atualizar estatísticas"
"Customers Reviews","Avaliações de Clientes"
"Reviews for %1","Comentários para %1"
"Customer","Cliente"
"Title","Título"
"Detail","Detalhe"
"Created","Criado"
"Products Reviews","Avaliações do Produto"
"Products Bestsellers Report","Relatório de Produtos Mais Vendidos"
"Order Quantity","Quantidade de Pedido"
"Coupons Usage Report","Relatório de uso de cupons"
"Subtotal","Sub-total"
"Coupon Code","Código do cupom"
"Price Rule","Regra de Preço"
"Uses","Usos"
"Sales Subtotal","Subtotal de Vendas"
"Sales Discount","Desconto de item"
"Sales Total","Total de Vendas"
"Discount","Desconto"
"Total Invoiced vs. Paid Report","Total Faturado vs Total Pago"
"Orders","Pedidos"
"Invoiced Orders","Pedidos faturados"
"Total Invoiced","Total faturado"
"Paid Invoices","Faturas pagas"
"Unpaid Invoices","Faturas não-pagas"
"Total Refunded Report","Relatório total de reembolso"
"Refunded Orders","Pedidos reembolsados"
"Total Refunded","Total reembolsado"
"Online Refunds","Reembolso on-line"
"Offline Refunds","Reembolso off-line"
"Total Ordered Report","Relatório total de pedidos"
"Sales Items","Itens de Vendas"
"Items","Itens"
"Revenue","Receita"
"Profit","Lucro"
"Invoiced","Faturado"
"Paid","Pago"
"Refunded","Reembolsado"
"Sales Tax","Imposto de vendas"
"Tax","Taxa"
"Sales Shipping","Envio de vendas"
"Shipping","Frete"
"Canceled","Cancelado"
"Total Shipped Report","Relatório total de envios"
"Carrier/Method","Método de envio"
"Total Sales Shipping","Frete total de vendas"
"Total Shipping","Custo total de entrega"
"Order Taxes Report Grouped by Tax Rate","Relatório de impostos de pedido agrupado por Taxas de imposto"
"Rate","Avaliação"
"Tax Amount","Valor do imposto"
"Abandoned carts","Carrinhos Abandonados"
"Email","E-mail"
"Products","Produtos"
"Quantity","Quantidade"
"Applied Coupon","Cupom aplicado"
"Updated","Atualizado"
"IP Address","Endereço IP"
"Customers","Clientes"
"ID","Id."
"First Name","Nome"
"Last Name","Sobrenome"
"Items in Cart","Itens no Carrinho"
"Products in carts","Produtos no Carrinho"
"Carts","Carrinhos"
"Name","Nome"
"Wish Lists","Listas de Desejos"
"Wish List Purchase","Compras da lista de desejos"
