"New Accounts","Nouveaux comptes"
"Customers by number of orders","Clients par nombre de commandes"
"Customers by Orders Total","Clients par montant de commande"
"Filter","Filtre"
"Date Used","Date utilisée"
"Day","Jour"
"Month","Mois"
"Year","Année"
"Period","Période"
"From","Depuis"
"To","À"
"Yes","Oui"
"No","Non"
"Empty Rows","Lignes vides"
"Invalid date specified","Date non valide spécifiée"
"Refresh","Rafraîchir"
"We can't find records for this period.","Nous ne pouvons pas trouver de dossiers pour cette période."
"Show Reviews","Afficher les commentaires"
"Products Report","Rapport produits"
"Downloads","Téléchargements"
"Product","Produit"
"Link","Lien"
"SKU","REF"
"Purchases","Commandes"
"CSV","CSV"
"Excel XML","XML d'Excel"
"Unlimited","Illimité"
"Low stock","Stock bas"
"Products Ordered","Produits commandés"
"Most Viewed","Les plus consultés"
"Show Report","Afficher le rapport"
"Interval","Intervalle"
"Total","Total"
"Price","Prix"
"Views","Vues"
"Refresh Statistics","Actualiser les statistiques"
"Customers Reviews","Avis des clients"
"Reviews for %1","Avis sur %1"
"Customer","Client"
"Title","Titre"
"Detail","Détail"
"Created","Créé"
"Products Reviews","Avis Produits"
"Products Bestsellers Report","Rapport des meilleures ventes"
"Order Quantity","Quantité commandée"
"Coupons Usage Report","Rapport des utilisations des bons de réduction"
"Subtotal","Sous-total"
"Coupon Code","Code du bon de réduction"
"Price Rule","Règle de prix"
"Uses","Utilise"
"Sales Subtotal","Sous-total vente"
"Sales Discount","Remises"
"Sales Total","Total des ventes"
"Discount","Remise"
"Total Invoiced vs. Paid Report","Rapport du facturé en fonction du payé"
"Orders","Commandes"
"Invoiced Orders","Commandes facturées"
"Total Invoiced","Total facturé"
"Paid Invoices","Factures payées"
"Unpaid Invoices","Factures impayées"
"Total Refunded Report","Rapport des remboursements"
"Refunded Orders","Commandes remboursées"
"Total Refunded","Total remboursé"
"Online Refunds","Remboursements en ligne"
"Offline Refunds","Remboursement hors ligne"
"Total Ordered Report","Rapport du total commandé"
"Sales Items","Articles vendus"
"Items","Articles"
"Revenue","Revenu"
"Profit","Bénéfice"
"Invoiced","Facturé"
"Paid","Payée"
"Refunded","Remboursé"
"Sales Tax","Taxes"
"Tax","TVA"
"Sales Shipping","Expéditions"
"Shipping","Livraison"
"Canceled","Annulée"
"Total Shipped Report","Rapport des expéditions"
"Carrier/Method","Transporteur/Méthode"
"Total Sales Shipping","Total des ventes d'expédition"
"Total Shipping","Total expédition"
"Order Taxes Report Grouped by Tax Rate","Rapport de TVA & taxes groupées par taux de taxe"
"Rate","Taux"
"Tax Amount","Montant TVA"
"Abandoned carts","Paniers abandonnés"
"Email","Email"
"Products","Produits"
"Quantity","Quantité"
"Applied Coupon","Coupons utilisés"
"Updated","Mis à jour"
"IP Address","Adresse IP"
"Customers","Clients"
"ID","Identifiant"
"First Name","Prénom"
"Last Name","Nom"
"Items in Cart","Articles dans le panier"
"Products in carts","Produits dans des paniers"
"Carts","Paniers"
"Name","Nom"
"Wish Lists","Listes d'achats"
"Wish List Purchase","Achat de liste d'achats"
"Wish List vs. Regular Order","Liste d'achats vs. Commande normale"
"Times Deleted","Nombre de fois supprimés"
"Index type is not valid","Type d’index n’est pas valide"
"Reports","Rapports"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>.","Dernière mise à jour : %1. Pour rafraîchir les <a href=""%2"">statistiques</a>. du dernier jour, cliquez <a href=""%3"">ici</a>."
"New Accounts Report","Rapport sur les nouveaux comptes"
"Customers by Number of Orders","Clients par nombre de commandes"
"Order Count Report","Rapport du nombre de commandes"
"Order Total Report","Rapport du total des commandes"
"Downloads Report","Rapport de téléchargements"
"Low Stock","Stock bas"
"Low Stock Report","Rapport sur les stocks faibles"
"Ordered Products Report","Rapport des produits commandés"
"Products Most Viewed Report","Rapport des produits les plus vus"
"Product Views Report","Rapport des produits vus"
"An error occurred while showing the product views report. Please review the log and try again.","Une erreur s’est produite tout en montrant le rapport vues de produit. S’il vous plaît vérifiez si le journal, puis réessayez."
"Review","Commentaire"
"Reviews","Commentaires"
"Customers Report","Rapport clients"
"Customer Reviews Report","Rapport d'avis clients"
"Product Reviews Report","Rapport des avis clients"
"Product Reviews","Commentaires"
"Details","Détails"
"Sales","Ventes"
"Bestsellers Report","Rapport des Meilleures ventes"
"Coupons","Bons de réduction"
"Coupons Report","Rapport des bons de réduction"
"Invoice Report","Rapport des factures"
"Refunds Report","Rapport des remboursements"
"Sales Report","Rapport des ventes"
"Orders Report","Rapport de commandes"
"Shipping Report","Rapport des expéditions"
"Tax Report","Rapport des taxes"
"Shopping Cart","Panier"
"Abandoned Carts","Paniers abandonnés"
"Customer Shopping Carts","Paniers du client"
"Products in Carts","Produits dans des paniers"
"Statistics","Statistiques"
"No report code is specified.","Aucun code de rapport n’est spécifié."
"You refreshed lifetime statistics.","Vous avez actualisé les statistiques depuis le début."
"We can't refresh lifetime statistics.","Impossible de mettre à jour les statistiques depuis l'ouverture de la boutique."
"Recent statistics have been updated.","Les statistiques récentes ont été mise à jour."
"We can't refresh recent statistics.","Nous ne pouvons pas actualiser les statistiques récentes."
"The product type filter specified is incorrect.","Le filtre type de produit spécifié est incorrect."
"Order Taxes Report Grouped by Tax Rates","Rapport de taxes de commande groupés par taux d'imposition"
"Total Invoiced VS Paid Report","Rapport du facturé en fonction du payé"
"Promotion Coupons Usage Report","Rapport d'utilisation des bons de promotion"
"Bestsellers","Meilleures ventes"
"Most Viewed Products Report","Rapport des produits les plus consultés"
"Error","Erreur"
"Show By","Afficher par"
"Select Date","Sélectionner une date"
"Customers that have Wish List: %1","Clients ayant une liste d'achats : %1"
"Number of Wish Lists: %1","Nombre de listes d'achats : %1"
"Number of items bought from a Wish List: %1","Nombre d'articles achetés depuis une liste d'achats : %1"
"Number of times Wish Lists have been shared (emailed): %1","Nombre de fois que la liste d'achats a été partagée (envoyée par mail) : %1"
"Number of Wish List referrals: %1","Nombre de référents de la liste d'achats : %1"
"Number of Wish List conversions: %1","Nombre de conversion de listes d'achats : %1"
"Show Report For:","Afficher le rapport pour :"
"All Websites","Tous les sites web"
"Recently Viewed","Vu récemment"
"Add to Cart","Ajouter au panier"
"In stock","En stock"
"Out of stock","Épuisé"
"Add to Wish List","Ajouter à la liste d'achats"
"Add to Compare","Ajouter au comparateur"
"Recently Compared","Dernières comparaisons"
"Learn More","En savoir plus"
"Marketing","Mercatique"
"Products in Cart","Produits dans des paniers"
"Abandoned Cart","Paniers abandonnés"
"Search Terms","Termes de recherche"
"By Customers","Par clients"
"By Products","Par produits"
"Refunds","Remboursements"
"Order Total","Total de la commande"
"Order Count","Nombre de commandes"
"New","Nouveau"
"Ordered","Commandé"
"Recently Viewed/Compared Products","Produits récemment consultés/comparés"
"Show for Current","Afficher pour le"
"Default Recently Viewed Products Count","Nombre de produits récemment consultés par défaut"
"Default Recently Compared Products Count","Nombre de produits récemment comparés par défaut"
"Dashboard","Tableau de bord"
"Year-To-Date Starts","L'année en cours commence le"
