"New Accounts","Uued kontod"
"Customers by number of orders","Kliendid tellimuste arvu järgi"
"Customers by Orders Total","Kliendid käibe järgi"
"Filter","Filter"
"Date Used","Kasutatud kuupäev"
"Day","Päev"
"Month","Kuu"
"Year","Aasta"
"Period","Period"
"From","Kellelt"
"To","Kellele"
"Yes","Jah"
"No","Ei"
"Empty Rows","Empty Rows"
"Invalid date specified","Invalid date specified"
"Refresh","Värskenda"
"We can't find records for this period.","We can't find records for this period."
"Show Reviews","Näita arvustusi"
"Products Report","Products Report"
"Downloads","Downloads"
"Product","Toode"
"Link","Link"
"SKU","Laokood"
"Purchases","Purchases"
"CSV","CSV"
"Excel XML","Exceli XML"
"Unlimited","Piiramatu"
"Low stock","Low stock"
"Products Ordered","Tellitud tooted"
"Most Viewed","Most Viewed"
"Show Report","Näita raportit"
"Interval","Intervall"
"Total","Kokku"
"Price","Hind"
"Views","Vaatamisi"
"Refresh Statistics","Refresh Statistics"
"Customers Reviews","Klientide arvustused"
"Reviews for %1","Reviews for %1"
"Customer","Klient"
"Title","Pealkiri"
"Detail","Detail"
"Created","Loodud"
"Products Reviews","Tootearvustused"
"Products Bestsellers Report","Products Bestsellers Report"
"Order Quantity","Order Quantity"
"Coupons Usage Report","Kupongide kasutusraport"
"Subtotal","Vahesumma"
"Coupon Code","Sooduskood"
"Price Rule","Price Rule"
"Uses","Kasutuskordi"
"Sales Subtotal","Sales Subtotal"
"Sales Discount","Müügi allahindlused"
"Sales Total","Sales Total"
"Discount","Allahindlus"
"Total Invoiced vs. Paid Report","Total Invoiced vs. Paid Report"
"Orders","Tellimused"
"Invoiced Orders","Arveldatud tellimused"
"Total Invoiced","Total Invoiced"
"Paid Invoices","Paid Invoices"
"Unpaid Invoices","Unpaid Invoices"
"Total Refunded Report","Total Refunded Report"
"Refunded Orders","Tagastatud tellimused"
"Total Refunded","Total Refunded"
"Online Refunds","Online Refunds"
"Offline Refunds","Offline Refunds"
"Total Ordered Report","Total Ordered Report"
"Sales Items","Sales Items"
"Items","Toodet"
"Revenue","Käive"
"Profit","Profit"
"Invoiced","Arve esitatud"
"Paid","Makstud"
"Refunded","Tagastatud"
"Sales Tax","Müügimaks"
"Tax","Maks"
"Sales Shipping","Sales Shipping"
"Shipping","Tarne"
"Canceled","Tühistatud"
"Total Shipped Report","Total Shipped Report"
"Carrier/Method","Carrier/Method"
"Total Sales Shipping","Total Sales Shipping"
"Total Shipping","Tarne kokku"
"Order Taxes Report Grouped by Tax Rate","Order Taxes Report Grouped by Tax Rate"
"Rate","Hinda"
"Tax Amount","Maksusumma"
"Abandoned carts","Hüljatud ostukorvid"
"Email","E-post"
"Products","Tooted"
"Quantity","Kogus"
"Applied Coupon","Applied Coupon"
"Updated","Uuendatud"
"IP Address","IP aadress"
"Customers","Kliendid"
"ID","ID"
"First Name","Eesnimi"
"Last Name","Perekonnanimi"
"Items in Cart","Toodet ostukorvis"
"Products in carts","Tooteid ostukorvis"
"Carts","Carts"
"Name","Nimi"
"Wish Lists","Wish Lists"
"Wish List Purchase","Wish List Purchase"
"Wish List vs. Regular Order","Wish List vs. Regular Order"
"Times Deleted","Times Deleted"
"Index type is not valid","Index type is not valid"
"Reports","Reports"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>.","Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>."
"New Accounts Report","New Accounts Report"
"Customers by Number of Orders","Customers by Number of Orders"
"Order Count Report","Order Count Report"
"Order Total Report","Order Total Report"
"Downloads Report","Downloads Report"
"Low Stock","Low Stock"
"Low Stock Report","Low Stock Report"
"Ordered Products Report","Ordered Products Report"
"Products Most Viewed Report","Enimvaadatute toodete raport"
"Product Views Report","Product Views Report"
"An error occurred while showing the product views report. Please review the log and try again.","An error occurred while showing the product views report. Please review the log and try again."
"Review","Review"
"Reviews","Arvustused"
"Customers Report","Customers Report"
"Customer Reviews Report","Customer Reviews Report"
"Product Reviews Report","Product Reviews Report"
"Product Reviews","Toote arvustused"
"Details","Üksikasjad"
"Sales","Müük"
"Bestsellers Report","Enimmüüdute raport"
"Coupons","Kupongid"
"Coupons Report","Coupons Report"
"Invoice Report","Invoice Report"
"Refunds Report","Refunds Report"
"Sales Report","Sales Report"
"Orders Report","Orders Report"
"Shipping Report","Shipping Report"
"Tax Report","Maksuaruanne"
"Shopping Cart","Ostukorv"
"Abandoned Carts","Hüljatud ostukorvid"
"Customer Shopping Carts","Customer Shopping Carts"
"Products in Carts","Products in Carts"
"Statistics","Statistics"
"No report code is specified.","No report code is specified."
"You refreshed lifetime statistics.","You refreshed lifetime statistics."
"We can't refresh lifetime statistics.","We can't refresh lifetime statistics."
"Recent statistics have been updated.","Recent statistics have been updated."
"We can't refresh recent statistics.","We can't refresh recent statistics."
"The product type filter specified is incorrect.","The product type filter specified is incorrect."
"Order Taxes Report Grouped by Tax Rates","Order Taxes Report Grouped by Tax Rates"
"Total Invoiced VS Paid Report","Total Invoiced VS Paid Report"
"Promotion Coupons Usage Report","Promotion Coupons Usage Report"
