"New Accounts","Ново Аццоунтс"
"Customers by number of orders","Купци бy нумбер оф ордерс"
"Customers by Orders Total","Купци бy Ордерс Укупно"
"Filter","Filter"
"Date Used","Датум Усед"
"Day","Дан"
"Month","Месец"
"Year","Година"
"Period","Period"
"From","Од"
"To","До"
"Yes","Да"
"No","Не"
"Empty Rows","Empty Rows"
"Invalid date specified","Неисправан дате специфиед"
"Refresh","Освежи"
"We can't find records for this period.","We can't find records for this period."
"Show Reviews","Прикажи Рецензије"
"Products Report","Производи Репорт"
"Downloads","Преузимања"
"Product","Производ"
"Link","Link"
"SKU","Шифра"
"Purchases","Purchases"
"CSV","CSV"
"Excel XML","Excel XML"
"Unlimited","Неограничено"
"Low stock","Low stock"
"Products Ordered","Производи Ордеред"
"Most Viewed","Most Viewed"
"Show Report","Прикажи Репорт"
"Interval","Interval"
"Total","Укупно"
"Price","Цена"
"Views","Прегледи"
"Refresh Statistics","Refresh Statistics"
"Customers Reviews","Купци Рецензије"
"Reviews for %1","Рецензије фор %1"
"Customer","Купац"
"Title","Наслов"
"Detail","Detail"
"Created","Креиран"
"Products Reviews","Производи Рецензије"
"Products Bestsellers Report","Производи Бестселлерс Репорт"
"Order Quantity","Поруџбина Количина"
"Coupons Usage Report","Купони Усаге Репорт"
"Subtotal","Међузбир"
"Coupon Code","Купон Код"
"Price Rule","Цена Руле"
"Uses","Употребљено"
"Sales Subtotal","Продаја Међузбир"
"Sales Discount","Продаја Попуст"
"Sales Total","Продаја Укупно"
"Discount","Попуст"
"Total Invoiced vs. Paid Report","Укупно Инвоицед вс. Паид Репорт"
"Orders","Поруџбине"
"Invoiced Orders","Invoiced Orders"
"Total Invoiced","Укупно Инвоицед"
"Paid Invoices","Паид Фактуре"
"Unpaid Invoices","Унпаид Фактуре"
"Total Refunded Report","Укупно Рефундед Репорт"
"Refunded Orders","Refunded Orders"
"Total Refunded","Укупно Рефундед"
"Online Refunds","Online Refunds"
"Offline Refunds","Offline Refunds"
"Total Ordered Report","Укупно Ордеред Репорт"
"Sales Items","Продаја Итемс"
"Items","Ставке"
"Revenue","Приход"
"Profit","Profit"
"Invoiced","Фактура"
"Paid","Paid"
"Refunded","Повраћен новац"
"Sales Tax","Продаја Порез"
"Tax","Порез"
"Sales Shipping","Продаја Достава"
"Shipping","Достава"
"Canceled","Отказано"
"Total Shipped Report","Укупно Схиппед Репорт"
"Carrier/Method","Carrier/Method"
"Total Sales Shipping","Укупно Продаја Достава"
"Total Shipping","Укупно Достава"
"Order Taxes Report Grouped by Tax Rate","Поруџбина Таxес Репорт Гроупед бy Порез Рате"
"Rate","Rate"
"Tax Amount","Износ пореза"
"Abandoned carts","Abandoned carts"
"Email","Е-пошта"
"Products","Производи"
"Quantity","Количина"
"Applied Coupon","Апплиед Купон"
"Updated","Ажуриран"
"IP Address","ИП Адреса"
"Customers","Купци"
"ID","ИД"
"First Name","Име"
