"New Accounts","Tài khoản mới"
"Customers by number of orders","Khách hàng bằng số lượng đơn đặt hàng"
"Customers by Orders Total","Khách hàng theo tổng cộng đơn đặt hàng"
"Filter","Bộ lọc"
"Date Used","Ngày sử dụng"
"Day","Ngày"
"Month","Tháng"
"Year","Năm"
"Period","Thời gian"
"From","Từ"
"To","Đến"
"Yes","Có"
"No","Không"
"Empty Rows","Hàng trống"
"Invalid date specified","Ngày không hợp lệ được chỉ định"
"Refresh","Tải lại"
"We can't find records for this period.","Chúng tôi không thể tìm thấy mẫu tin nào trong giai đoạn này."
"Show Reviews","Hiển thị giá"
"Products Report","Báo cáo sản phẩm"
"Downloads","Tải về"
"Product","Sản phẩm"
"Link","Liên kết"
"SKU","MÃ SẢN PHẨM"
"Purchases","Mua hàng"
"CSV","CSV"
"Excel XML","Excel XML"
"Unlimited","Không giới hạn"
"Low stock","Còn ít hàng"
"Products Ordered","Sản phẩm đặt hàng"
"Most Viewed","Được xem nhiều nhất"
"Show Report","Hiển thị báo cáo"
"Interval","Khoảng thời gian"
"Total","Tổng"
"Price","Giá"
"Views","Lượng xem"
"Refresh Statistics","Làm mới các số liệu thống kê"
"Customers Reviews","Khách hàng đánh giá"
"Reviews for %1","Nhận xét về %1"
"Customer","Khách hàng"
"Title","Tiêu đề"
"Detail","Chi tiết"
"Created","Đã tạo"
"Products Reviews","Đánh giá sản phẩm"
"Products Bestsellers Report","Báo cáo Sản phẩm bán chạy nhất"
"Order Quantity","Số lượng đơn đặt hàng"
"Coupons Usage Report","Báo cáo Phiếu giảm giá sử dụng"
"Subtotal","Tổng phụ"
"Coupon Code","Mã Phiếu giảm giá"
"Price Rule","Quy luật giá"
"Uses","Số Lần Sử Dụng"
"Sales Subtotal","Tổng phụ doanh thu"
"Sales Discount","Bán hàng giảm giá"
"Sales Total","Tổng số doanh thu"
"Discount","Chiết khấu"
"Total Invoiced vs. Paid Report","Tổng số lập hoá đơn so với báo cáo thanh toán"
"Orders","Đơn hàng"
"Invoiced Orders","Đơn đặt hàng được lập hoá đơn"
"Total Invoiced","Tổng số lập hoá đơn"
"Paid Invoices","Thanh toán hóa đơn"
"Unpaid Invoices","Hoá đơn chưa thanh toán"
"Total Refunded Report","Báo cáo Tổng số trả lại"
"Refunded Orders","Hoàn trả các đơn đặt hàng"
"Total Refunded","Tổng số trả lại"
"Online Refunds","Hoàn lại tiền trực tuyến"
"Offline Refunds","Khoản tiền hoàn lại ngoại tuyến"
"Total Ordered Report","Báo cáo tổng đơn hàng"
"Sales Items","Sản phẩm khuyến mại"
"Items","Sản phẩm"
"Revenue","Doanh thu"
"Profit","Lợi nhuận"
"Invoiced","Đã lập hoá đơn"
"Paid","Đã trả"
