"New Accounts","Novas contas"
"Customers by number of orders","Clientes por número de encomendas"
"Customers by Orders Total","Customers by Orders Total"
"Filter","Filtro"
"Date Used","Data Utilizada"
"Day","Dia"
"Month","Mês "
"Year","Ano"
"Period","Period"
"From","De"
"To","Para"
"Yes","Sim"
"No","Não"
"Empty Rows","Empty Rows"
"Invalid date specified","Data inválida especificada"
"Refresh","Atualizar"
"We can't find records for this period.","Não foram encontrados registos para este período."
"Show Reviews","Show Reviews"
"Products Report","Products Report"
"Downloads","Downloads"
"Product","Produto"
"Link","Link"
"SKU","REF"
"Purchases","Compras"
"CSV","CSV"
"Excel XML","XML Excel"
"Unlimited","Ilimitado"
"Low stock","Low stock"
"Products Ordered","Products Ordered"
"Most Viewed","Most Viewed"
"Show Report","Show Report"
"Interval","Intervalo"
"Total","Total"
"Price","Preço"
"Views","Visualizações"
"Refresh Statistics","Refresh Statistics"
"Customers Reviews","Customers Reviews"
"Reviews for %1","Reviews for %1"
"Customer","Cliente"
"Title","Título"
"Detail","Detalhe"
"Created","Criado"
"Products Reviews","Products Reviews"
"Products Bestsellers Report","Products Bestsellers Report"
"Order Quantity","Order Quantity"
"Coupons Usage Report","Coupons Usage Report"
"Subtotal","Subtotal"
"Coupon Code","Código do Cupão"
"Price Rule","Regra de Preço"
"Uses","Utiliza"
"Sales Subtotal","Sales Subtotal"
"Sales Discount","Sales Discount"
"Sales Total","Sales Total"
"Discount","Desconto"
"Total Invoiced vs. Paid Report","Total Invoiced vs. Paid Report"
"Orders","Pedidos"
"Invoiced Orders","Invoiced Orders"
"Total Invoiced","Total Invoiced"
"Paid Invoices","Paid Invoices"
"Unpaid Invoices","Unpaid Invoices"
"Total Refunded Report","Total Refunded Report"
"Refunded Orders","Refunded Orders"
"Total Refunded","Total Reembolsado"
"Online Refunds","Online Refunds"
"Offline Refunds","Offline Refunds"
"Total Ordered Report","Total Ordered Report"
"Sales Items","Sales Items"
"Items","Itens"
"Revenue","Receitas"
"Profit","Profit"
"Invoiced","Faturada"
"Paid","Pago"
"Refunded","Reembolsada"
"Sales Tax","Sales Tax"
"Tax","Taxa"
"Sales Shipping","Sales Shipping"
"Shipping","Envio"
"Canceled","Cancelada"
"Total Shipped Report","Total Shipped Report"
"Carrier/Method","Carrier/Method"
"Total Sales Shipping","Total Sales Shipping"
"Total Shipping","Total Shipping"
"Order Taxes Report Grouped by Tax Rate","Order Taxes Report Grouped by Tax Rate"
"Rate","Rate"
"Tax Amount","Valor do imposto"
"Abandoned carts","Abandoned carts"
"Email","Correio electrónico"
"Products","Produtos"
"Quantity","Quantidade"
"Applied Coupon","Applied Coupon"
"Updated","Atualizado"
"IP Address","Endereço de IP"
"Customers","Clientes"
"ID","Id."
"First Name","Nome"
"Last Name","Sobrenome"
