"New Accounts","Jauni konti"
"Customers by number of orders","Klienti pēc pasūtījumu skaita"
"Customers by Orders Total","Klienti pēc kopējiem pasūtījumiem"
"Filter","Filtrēt"
"Date Used","Date Used"
"Day","Diena"
"Month","Mēnesis"
"Year","Gads"
"Period","Periods"
"From","No"
"To","Kam"
"Yes","Jā"
"No","Nē"
"Empty Rows","Tukšās rindas"
"Invalid date specified","Invalid date specified"
"Refresh","Atjaunot"
"We can't find records for this period.","We can't find records for this period."
"Show Reviews","Show Reviews"
"Products Report","Produktu atskaite"
"Downloads","Lejupielādes"
"Product","Produkts"
"Link","Saite"
"SKU","Artikuls"
"Purchases","Pirkumi"
"CSV","CSV"
"Excel XML","Excel XML"
"Unlimited","Unlimited"
"Low stock","Mazs krājums"
"Products Ordered","Pasūtītie produkti"
"Most Viewed","Visvairāk skatītie"
"Show Report","Rādīt atskaiti"
"Interval","Interval"
"Total","Kopā"
"Price","Cena"
"Views","Skatījumi"
"Refresh Statistics","Atjaunot statistiku"
"Customers Reviews","Klientu atsauksmes"
"Reviews for %1","Reviews for %1"
"Customer","Klients"
"Title","Nosaukums"
"Detail","Detaļas"
"Created","Izveidots"
"Products Reviews","Produktu atsauksmes"
"Products Bestsellers Report","Products Bestsellers Report"
"Order Quantity","Order Quantity"
"Coupons Usage Report","Kuponu lietošanas atskaite"
"Subtotal","Starpsumma"
"Coupon Code","Coupon Code"
"Price Rule","Price Rule"
"Uses","Lieto"
"Sales Subtotal","Sales Subtotal"
"Sales Discount","Sales Discount"
"Sales Total","Sales Total"
"Discount","Atlaide"
"Total Invoiced vs. Paid Report","Kopējo izstādīto attiecībā pret samaksāto rēķinu atskaite"
"Orders","Pasūtījumi"
"Invoiced Orders","Invoiced Orders"
"Total Invoiced","Total Invoiced"
"Paid Invoices","Paid Invoices"
"Unpaid Invoices","Unpaid Invoices"
"Total Refunded Report","Kopējo atmaksu atskaite"
"Refunded Orders","Refunded Orders"
"Total Refunded","Total Refunded"
"Online Refunds","Online Refunds"
"Offline Refunds","Offline Refunds"
"Total Ordered Report","Kopējo pasūtījumu atskaite"
"Sales Items","Sales Items"
"Items","Produkti"
"Revenue","Peļņa"
"Profit","Profit"
"Invoiced","Piestādīts rēķins"
