"New Accounts","Nové účty"
"Customers by number of orders","Zákazníci podle množství objednávek"
"Customers by Orders Total","Zákazníci podle obratu"
"Filter","Filtr"
"Date Used","Použité datum"
"Day","Den"
"Month","Měsíc"
"Year","Rok"
"Period","Období"
"From","Od"
"To","Pro"
"Yes","Ano"
"No","Ne"
"Empty Rows","Prázdné řádky"
"Invalid date specified","Zvoleno neplatné datum"
"Refresh","Obnovit"
"We can't find records for this period.","Pro zvolené období nelze najít žádný záznam."
"Show Reviews","Zobrazit recenze"
"Products Report","Přehledy produktů"
"Downloads","Soubory ke stažení"
"Product","Produkt"
"Link","Odkaz"
"SKU","Kód"
"Purchases","Zakoupeno"
"CSV","CSV"
"Excel XML","Excel XML"
"Unlimited","Neomezeno"
"Low stock","Nízká zásoba"
"Products Ordered","Objednané produkty"
"Most Viewed","Nejsledovanější"
"Show Report","Zobrazit přehled"
"Interval","Období"
"Total","Celkem"
"Price","Cena"
"Views","Zobrazeno"
"Refresh Statistics","Obnovení statistik"
"Customers Reviews","Recenze zákazníků"
"Reviews for %1","Recenze %1"
"Customer","Zákazník"
"Title","Název"
"Detail","Detail"
"Created","Vytvořeno"
"Products Reviews","Recenze produktů"
"Products Bestsellers Report","Přehled nejprodávanějších produktů"
"Order Quantity","Objednané množství"
"Coupons Usage Report","Přehled využití kupónů"
"Subtotal","Mezisoučet"
"Coupon Code","Slevový kód"
"Price Rule","Cenové pravidlo"
"Uses","Použití"
"Sales Subtotal","Mezisoučet"
"Sales Discount","Sleva"
"Sales Total","Celkem"
"Discount","Sleva"
"Total Invoiced vs. Paid Report","Přehled fakturováno vs. uhrazeno"
"Orders","Objednávky"
"Invoiced Orders","Fakturovaných objednávek"
"Total Invoiced","Celkem fakturováno"
"Paid Invoices","Zaplacených faktur"
"Unpaid Invoices","Nezaplacených faktur"
"Total Refunded Report","Přehled vrácených"
"Refunded Orders","Vrácené objednávky"
"Total Refunded","Celkem vráceno"
"Online Refunds","Vráceno online"
"Offline Refunds","Vráceno offline"
"Total Ordered Report","Přehled objednáno celkem"
"Sales Items","Prodané položky"
"Items","Položky"
"Revenue","Tržba"
"Profit","Zisk"
"Invoiced","Fakturováno"
"Paid","Zaplaceno"
"Refunded","Vráceno"
"Sales Tax","DPH prodeje"
"Tax","DPH"
"Sales Shipping","Přepravné prodeje"
"Shipping","Přepravné"
"Canceled","Zrušeno"
"Total Shipped Report","Přehled přepravné celkem"
"Carrier/Method","Přepravce / způsob"
"Total Sales Shipping","Přepravné prodeje celkem"
"Total Shipping","Přepravné celkem"
