"New Accounts","නව ගිණුම්"
"Customers by number of orders","ඇණවුම් ගණන අනුව පාරිභෝගිකයින්"
"Customers by Orders Total","මුළු ඇණවුම් අනුව ගනුදෙනුකරුවන්"
"Filter","පෙරහන"
"Date Used","භාවිතා කළ දිනය"
"Day","දින"
"Month","මාසික"
"Year","අවුරුදු"
"Period","කාලය"
"From","සිට"
"To","වෙත"
"Yes","ඔව්"
"No","නැත"
"Empty Rows","හිස් පේළි"
"Invalid date specified","වලංගු නොවන දිනයක් සඳහන් කර ඇත"
"Refresh","නැවුම් කරන්න"
"We can't find records for this period.","මෙම කාල සීමාව සඳහා අපට වාර්තා සොයාගත නොහැක."
"Show Reviews","සමාලෝචන පෙන්වන්න"
"Products Report","නිෂ්පාදන වාර්තාව"
"Downloads","භාගත කිරීම"
"Product","නිෂ්පාදන"
"Link","සබැඳිය"
"SKU","SKU"
"Purchases","මිලදී ගැනීම්"
"CSV","CSV"
"Excel XML","එක්සෙල් XML"
"Unlimited","අසීමිතයි"
"Low stock","අඩු තොග"
"Products Ordered","නිෂ්පාදන ඇණවුම් කර ඇත"
"Most Viewed","වැඩිපුරම නැරඹූ"
"Show Report","වාර්තාව පෙන්වන්න"
"Interval","අන්තරය"
"Total","සමස්ත"
"Price","මිල"
"Views","දසුන්"
"Refresh Statistics","සංඛ්‍යාලේඛන නැවුම් කරන්න"
"Customers Reviews","පාරිභෝගික සමාලෝචන"
"Reviews for %1","%1සඳහා සමාලෝචන"
"Customer","පාරිභෝගික"
"Title","ශීර්ෂය"
"Detail","විස්තර"
"Created","නිර්මාණය කළා"
"Products Reviews","නිෂ්පාදන සමාලෝචන"
"Products Bestsellers Report","නිෂ්පාදන වැඩියෙන්ම අලෙවි වන වාර්තාව"
"Order Quantity","ඇණවුම් ප්‍රමාණය"
"Coupons Usage Report","කූපන් භාවිත වාර්තාව"
"Subtotal","උප එකතුව"
"Coupon Code","කූපන් කේතය"
"Price Rule","මිල රීතිය"
"Uses","භාවිතා කරයි"
"Sales Subtotal","විකුණුම් උප එකතුව"
"Sales Discount","විකුණුම් වට්ටම්"
"Sales Total","විකුණුම් එකතුව"
"Discount","වට්ටම්"
"Total Invoiced vs. Paid Report","මුළු ඉන්වොයිස් එදිරිව ගෙවූ වාර්තාව"
"Orders","නියෝග"
"Invoiced Orders","ඉන්වොයිස් ඇණවුම්"
"Total Invoiced","මුළු ඉන්වොයිසිය"
"Paid Invoices","ගෙවූ ඉන්වොයිසි"
"Unpaid Invoices","නොගෙවූ ඉන්වොයිසි"
"Total Refunded Report","සම්පූර්ණ ආපසු ගෙවන ලද වාර්තාව"
"Refunded Orders","ආපසු ගෙවන ලද ඇණවුම්"
"Total Refunded","සම්පූර්ණ ආපසු ගෙවන ලදී"
"Online Refunds","මාර්ගගත ආපසු ගෙවීම්"
"Offline Refunds","නොබැඳි ආපසු ගෙවීම්"
"Total Ordered Report","මුළු ඇණවුම් වාර්තාව"
"Sales Items","විකුණුම් අයිතම"
"Items","අයිතම"
"Revenue","ආදායම"
"Profit","ලාභයක්"
"Invoiced","ඉන්වොයිස් කර ඇත"
"Paid","ගෙවා ඇත"
"Refunded","ආපසු ගෙවන ලදී"
"Sales Tax","විකුණුම් බද්ද"
"Tax","බද්ද"
"Sales Shipping","විකුණුම් නැව්ගත කිරීම"
"Shipping","නාවික"
"Canceled","අවලංගු කළා"
"Total Shipped Report","නැව්ගත කළ මුළු වාර්තාව"
"Carrier/Method","වාහක/ක්‍රමය"
"Total Sales Shipping","සම්පූර්ණ විකුණුම් නැව්ගත කිරීම"
"Total Shipping","සම්පූර්ණ නැව්ගත කිරීම"
"Order Taxes Report Grouped by Tax Rate","බදු අනුපාතය අනුව සමූහගත කළ බදු වාර්තාව ඇණවුම් කරන්න"
"Rate","අගය කරන්න"
"Tax Amount","බදු මුදල"
"Abandoned carts","අතහැර දැමූ කරත්ත"
"Email","විද්යුත් තැපෑල"
"Products","නිෂ්පාදන"
"Quantity","ප්රමාණය"
"Applied Coupon","යෙදූ කූපනය"
"Updated","යාවත්කාලීන කරන ලදී"
"IP Address","IP ලිපිනය"
"Customers","පාරිභෝගිකයන්"
"ID","හැඳුනුම්පත"
"First Name","මුල් නම"
"Last Name","අවසන් නම"
"Items in Cart","කරත්තයේ ඇති භාණ්ඩ"
"Products in carts","කරත්තවල නිෂ්පාදන"
"Carts","කරත්ත"
"Name","නම"
"Wish Lists","පැතුම් ලැයිස්තු"
"Wish List Purchase","කැමති ලැයිස්තු මිලදී ගැනීම"
"Wish List vs. Regular Order","කැමැත්ත ලැයිස්තුව එදිරිව නිත්‍ය අනුපිළිවෙල"
"Times Deleted","කාලය මකා ඇත"
"Index type is not valid","දර්ශක වර්ගය වලංගු නොවේ"
"Reports","වාර්තා"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>.","Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>."
"New Accounts Report","නව ගිණුම් වාර්තාව"
"Customers by Number of Orders","ඇණවුම් ගණන අනුව පාරිභෝගිකයින්"
"Order Count Report","ඇණවුම් ගණන් කිරීමේ වාර්තාව"
"Order Total Report","සම්පූර්ණ වාර්තාව ඇණවුම් කරන්න"
"Downloads Report","බාගැනීම් වාර්තාව"
"Low Stock","අඩු තොග"
"Low Stock Report","අඩු කොටස් වාර්තාව"
"Ordered Products Report","ඇණවුම් කළ නිෂ්පාදන වාර්තාව"
"Products Most Viewed Report","නිෂ්පාදන වැඩිපුරම නැරඹූ වාර්තාව"
"Product Views Report","නිෂ්පාදන දර්ශන වාර්තාව"
"An error occurred while showing the product views report. Please review the log and try again.","නිෂ්පාදන බැලීම් වාර්තාව පෙන්වන අතරතුර දෝෂයක් ඇති විය. කරුණාකර ලොගය සමාලෝචනය කර නැවත උත්සාහ කරන්න."
"Review","සමාලෝචනය කරන්න"
"Reviews","සමාලෝචන"
"Customers Report","පාරිභෝගික වාර්තාව"
"Customer Reviews Report","පාරිභෝගික සමාලෝචන වාර්තාව"
"Product Reviews Report","නිෂ්පාදන සමාලෝචන වාර්තාව"
"Product Reviews","නිෂ්පාදන සමාලෝචන"
"Details","විස්තර"
"Sales","විකුණුම්"
"Bestsellers Report","වැඩියෙන්ම අලෙවි වන වාර්තාව"
"Coupons","කූපන් පත්"
"Coupons Report","කූපන් වාර්තාව"
"Invoice Report","ඉන්වොයිස් වාර්තාව"
"Refunds Report","ආපසු ගෙවීම් වාර්තාව"
"Sales Report","විකුණුම් වාර්තාව"
"Orders Report","ඇණවුම් වාර්තාව"
"Shipping Report","නැව්ගත කිරීමේ වාර්තාව"
"Tax Report","බදු වාර්තාව"
"Shopping Cart","සාප්පු ට්රොලිය"
"Abandoned Carts","අතහැර දැමූ කරත්ත"
"Customer Shopping Carts","පාරිභෝගික සාප්පු කරත්ත"
"Products in Carts","කරත්තවල නිෂ්පාදන"
"Statistics","සංඛ්යා ලේඛන"
"No report code is specified.","වාර්තා කේතයක් සඳහන් කර නොමැත."
"You refreshed lifetime statistics.","ඔබ ජීවිත කාලය පිළිබඳ සංඛ්‍යාලේඛන නැවුම් කළා."
"We can't refresh lifetime statistics.","අපට ජීවිත කාලය පිළිබඳ සංඛ්‍යාලේඛන නැවුම් කළ නොහැක."
"Recent statistics have been updated.","මෑත සංඛ්යා ලේඛන යාවත්කාලීන කර ඇත."
"We can't refresh recent statistics.","අපට මෑත සංඛ්‍යාලේඛන නැවුම් කළ නොහැක."
"The product type filter specified is incorrect.","නිශ්චිතව දක්වා ඇති නිෂ්පාදන වර්ගයේ පෙරහන වැරදියි."
"Order Taxes Report Grouped by Tax Rates","බදු අනුපාත අනුව කාණ්ඩගත කළ බදු වාර්තාව ඇණවුම් කරන්න"
"Total Invoiced VS Paid Report","මුළු ඉන්වොයිස් VS ගෙවූ වාර්තාව"
"Promotion Coupons Usage Report","ප්‍රවර්ධන කූපන් භාවිත වාර්තාව"
"Bestsellers","වැඩියෙන්ම අලෙවි වන ඒවා"
"Most Viewed Products Report","වැඩිපුරම නැරඹූ නිෂ්පාදන වාර්තාව"
"Error","දෝෂයකි"
"Show By","විසින් පෙන්වන්න"
"Select Date","දිනය තෝරන්න"
"Customers that have Wish List: %1","කැමති ලැයිස්තුවක් ඇති පාරිභෝගිකයින්: %1"
"Number of Wish Lists: %1","පැතුම් ලැයිස්තු ගණන: %1"
"Number of items bought from a Wish List: %1","පැතුම් ලැයිස්තුවකින් මිලදී ගත් අයිතම ගණන: %1"
"Number of times Wish Lists have been shared (emailed): %1","පැතුම් ලැයිස්තු බෙදාගෙන ඇති වාර ගණන (විද්‍යුත් තැපෑල): %1"
"Number of Wish List referrals: %1","කැමති ලැයිස්තු යොමු කිරීම් ගණන: %1"
"Number of Wish List conversions: %1","පැතුම් ලැයිස්තු පරිවර්තන ගණන: %1"
"Show Report For:","වාර්තාව පෙන්වන්න:"
"All Websites","සියලුම වෙබ් අඩවි"
"Recently Viewed","මෑතකදී බැලුවා"
"Add to Cart","ගැලට එක් කරන්න"
"In stock","ගබඩාවේ ඇත"
"Out of stock","තොග අවසන්"
"Add to Wish List","පැතුම් ලැයිස්තුවට එක් කරන්න"
"Add to Compare","සංසන්දනය කිරීමට එකතු කරන්න"
"Recently Compared","මෑතකදී සංසන්දනය කර ඇත"
"Learn More","තවත් හදාරන්න"
"Marketing","අලෙවි"
"Products in Cart","කරත්තයේ නිෂ්පාදන"
"Abandoned Cart","අතහැර දැමූ කරත්තය"
"Search Terms","සෙවුම් නියමයන්"
"By Customers","පාරිභෝගිකයන් විසින්"
"By Products","නිෂ්පාදන මගින්"
"Refunds","ආපසු ගෙවීම්"
"Order Total","මුළු ඇණවුම"
"Order Count","ඇණවුම් ගණන"
"New","අලුත්"
"Ordered","ඇණවුම් කළා"
"Recently Viewed/Compared Products","මෑතකදී බැලූ/සැසඳූ නිෂ්පාදන"
"Show for Current","වත්මන් සඳහා පෙන්වන්න"
"Default Recently Viewed Products Count","පෙරනිමි මෑතදී බැලූ නිෂ්පාදන ගණන"
"Default Recently Compared Products Count","පෙරනිමි මෑතදී සසඳන ලද නිෂ්පාදන ගණන"
"Dashboard","උපකරණ පුවරුව"
"Year-To-Date Starts","වසරින් දින ආරම්භ වේ"
"Current Month Starts","වත්මන් මාසය ආරම්භ වේ"
"Select day of the month.","මාසයේ දිනය තෝරන්න."
"Average","සාමාන්යය"
"Stock Quantity","කොටස් ප්රමාණය"
"Ordered Quantity","ඇණවුම් කළ ප්‍රමාණය"
"The report displays the top 5 most viewed products for each interval.","වාර්තාව එක් එක් කාල පරතරය සඳහා වඩාත්ම නරඹන ලද ඉහළම නිෂ්පාදන 5 පෙන්වයි."
"For accurate reporting, be sure to refresh lifetime statistics whenever you change the time zone.","නිවැරදි වාර්තා කිරීම සඳහා, ඔබ වේලා කලාපය වෙනස් කරන සෑම විටම ජීවිත කාලය පිළිබඳ සංඛ්‍යාලේඛන නැවුම් කිරීමට වග බලා ගන්න."
"Guest","අමුත්තන්ගේ"
"Action","කටයුතු"
"Average (Approved)","සාමාන්‍යය (අනුමතයි)"
"Last Review","අවසාන සමාලෝචනය"
"Order Created","ඇණවුම සාදන ලදී"
"Order Updated","ඇණවුම යාවත්කාලීන කරන ලදී"
"The Order Updated report is created in real time and does not require a refresh.","ඇණවුම යාවත්කාලීන කළ වාර්තාව තත්‍ය කාලීනව සාදනු ලබන අතර නැවුම් කිරීමක් අවශ්‍ය නොවේ."
"Last Invoice Created Date","අවසන් ඉන්වොයිසිය නිර්මාණය කළ දිනය"
"Last Credit Memo Created Date","අවසන් ණය සටහන නිර්මාණය කළ දිනය"
"First Invoice Created Date","පළමු ඉන්වොයිසිය සෑදූ දිනය"
"Refresh Lifetime Statistics","ජීවිත කාලය පිළිබඳ සංඛ්‍යාලේඛන නැවුම් කරන්න"
"Are you sure you want to refresh lifetime statistics right now? This operation may slow down your customers' shopping experience.","ඔබට දැන් ජීවිත කාලය පිළිබඳ සංඛ්‍යාලේඛන නැවුම් කිරීමට අවශ්‍ය බව විශ්වාසද? මෙම මෙහෙයුම ඔබේ ගනුදෙනුකරුවන්ගේ සාප්පු සවාරි අත්දැකීම මන්දගාමී විය හැක."
"Refresh Statistics for the Last Day","අවසාන දිනය සඳහා සංඛ්‍යාලේඛන නැවුම් කරන්න"
"Are you sure you want to refresh statistics for the last day?","ඔබට අවසාන දිනය සඳහා සංඛ්‍යාලේඛන නැවුම් කිරීමට අවශ්‍ය බව විශ්වාසද?"
"Report","වාර්තාව"
"Description","විස්තර"
"undefined","undefined"
"Best Sellers Report","Best Sellers Report"
"Recently Viewed Products","Recently Viewed Products"
"List of Products Recently Viewed by Visitor","List of Products Recently Viewed by Visitor"
"Number of Products to display","Number of Products to display"
"Viewed Products Grid Template","Viewed Products Grid Template"
"Viewed Products List Template","Viewed Products List Template"
"Viewed Products Images and Names Template","Viewed Products Images and Names Template"
"Viewed Products Names Only Template","Viewed Products Names Only Template"
"Viewed Products Images Only Template","Viewed Products Images Only Template"
"Recently Compared Products","Recently Compared Products"
"List of Products Recently Compared and Removed from the Compare List by Visitor","List of Products Recently Compared and Removed from the Compare List by Visitor"
"Compared Products Grid Template","Compared Products Grid Template"
"Compared Products List Template","Compared Products List Template"
"Compared Products Images and Names Template","Compared Products Images and Names Template"
"Compared Product Names Only Template","Compared Product Names Only Template"
