"New Accounts","حسابات جديدة"
"Customers by number of orders","عملاء بعدد الطلبات"
"Customers by Orders Total","اجمالي العملاء بعدد الاوامر"
"Filter","تصفية"
"Date Used","التاريخ المستخدم"
"Day","يوم"
"Month","الشهر"
"Year","السنة"
"Period","الفترة"
"From","من"
"To","إلى"
"Yes","نعم"
"No","لا"
"Empty Rows","صفوف فارغة"
"Invalid date specified","Invalid date specified"
"Refresh","التحديث"
"We can't find records for this period.","ونحن لا يمكن العثور على سجلات لهذه الفترة."
"Show Reviews","Show Reviews"
"Products Report","تقرير المنتجات"
"Downloads","التحميلات"
"Product","المنتج"
"Link","الرابط"
"SKU","رمز المنتج"
"Purchases","المشتريات"
"CSV","CSV ملف"
"Excel XML","Excel XML"
"Unlimited","غير محدود"
"Low stock","انخفاض المخزون"
"Products Ordered","Products Ordered"
"Most Viewed","يشاهد كثيرا"
"Show Report","Show Report"
"Interval","Interval"
"Total","إجمالي"
"Price","السعر"
"Views","مشاهدات"
"Refresh Statistics","Refresh Statistics"
"Customers Reviews","مراجعات العملاء"
"Reviews for %1","Reviews for %1"
"Customer","زبون"
"Title","العنوان"
"Detail","التفاصيل"
"Created","إنشاء"
"Products Reviews","مراجعات المنتجات"
"Products Bestsellers Report","Products Bestsellers Report"
"Order Quantity","كمية الطلب"
"Coupons Usage Report","تقرير استخدام القسائم"
"Subtotal","الإجمالي"
"Coupon Code","رمز قسيمة الخصم"
"Price Rule","Price Rule"
"Uses","استخدام"
"Sales Subtotal","Sales Subtotal"
"Sales Discount","Sales Discount"
"Sales Total","Sales Total"
"Discount","خصم"
"Total Invoiced vs. Paid Report","Total Invoiced vs. Paid Report"
"Orders","طلبات الشراء"
"Invoiced Orders","Invoiced Orders"
"Total Invoiced","مجموع الفاتورة"
"Paid Invoices","Paid Invoices"
"Unpaid Invoices","Unpaid Invoices"
"Total Refunded Report","Total Refunded Report"
"Refunded Orders","Refunded Orders"
"Total Refunded","اجمالي الاسترداد"
"Online Refunds","Online Refunds"
"Offline Refunds","Offline Refunds"
"Total Ordered Report","Total Ordered Report"
"Sales Items","Sales Items"
"Items","المنتجات"
"Revenue","الإيرادات"
"Profit","Profit"
"Invoiced","فاتورة"
"Paid","مدفوع"
"Refunded","اعادة ايجاد"
"Sales Tax","Sales Tax"
"Tax","الضريبة"
"Sales Shipping","Sales Shipping"
"Shipping","الشحن"
"Canceled","تم الإلغاء"
"Total Shipped Report","Total Shipped Report"
"Carrier/Method","الناقل / طريقة"
"Total Sales Shipping","Total Sales Shipping"
"Total Shipping","الشحن الإجمالي"
"Order Taxes Report Grouped by Tax Rate","Order Taxes Report Grouped by Tax Rate"
"Rate","تقييم"
"Tax Amount","كمية الضريبة"
"Abandoned carts","التخلي عن عربات"
"Email","البريد الإلكتروني"
"Products","المنتجات"
"Quantity","الكمية"
"Applied Coupon","قسيمة الخصم تم تطبيقها"
"Updated","محدث"
"IP Address","عنوان الملكية الفكرية"
"Customers","العملاء"
"ID","التعريف"
"First Name","الإسم الأول"
"Last Name","اسم العائلة"
"Items in Cart","منتجات في سلة التسوق"
"Products in carts","المنتجات في عربات التسوق"
"Carts","عربات الشراء"
"Name","اسم"
"Wish Lists","Wish Lists"
"Wish List Purchase","Wish List Purchase"
"Wish List vs. Regular Order","Wish List vs. Regular Order"
"Times Deleted","Times Deleted"
"Index type is not valid","Index type is not valid"
"Reports","تقارير"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>.","Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>."
"New Accounts Report","New Accounts Report"
"Customers by Number of Orders","Customers by Number of Orders"
"Order Count Report","Order Count Report"
"Order Total Report","Order Total Report"
"Downloads Report","Downloads Report"
"Low Stock","Low Stock"
"Low Stock Report","Low Stock Report"
"Ordered Products Report","Ordered Products Report"
"Products Most Viewed Report","Products Most Viewed Report"
"Product Views Report","Product Views Report"
"An error occurred while showing the product views report. Please review the log and try again.","An error occurred while showing the product views report. Please review the log and try again."
"Review","المراجعة"
"Reviews","مراجعات"
"Customers Report","تقرير العملاء"
"Customer Reviews Report","Customer Reviews Report"
"Product Reviews Report","Product Reviews Report"
"Product Reviews","مراجعات المنتج"
"Details","التفاصيل"
"Sales","المبيعات"
"Bestsellers Report","Bestsellers Report"
"Coupons","قسائم الخصم"
"Coupons Report","تقرير قسائم الخصم"
"Invoice Report","Invoice Report"
"Refunds Report","Refunds Report"
"Sales Report","تقرير المبيعات"
"Orders Report","Orders Report"
"Shipping Report","تقرير الشحن"
"Tax Report","Tax Report"
"Shopping Cart","سلة التسوق"
"Abandoned Carts","Abandoned Carts"
"Customer Shopping Carts","عربات تسوق الزبون"
"Products in Carts","Products in Carts"
"Statistics","Statistics"
"No report code is specified.","No report code is specified."
"You refreshed lifetime statistics.","You refreshed lifetime statistics."
"We can't refresh lifetime statistics.","ونحن لا يمكن تحديث احصاءات مدى الحياة."
"Recent statistics have been updated.","Recent statistics have been updated."
"We can't refresh recent statistics.","لا يمكن تحديث أخرالإحصاءات ."
"The product type filter specified is incorrect.","The product type filter specified is incorrect."
"Order Taxes Report Grouped by Tax Rates","Order Taxes Report Grouped by Tax Rates"
"Total Invoiced VS Paid Report","Total Invoiced VS Paid Report"
"Promotion Coupons Usage Report","Promotion Coupons Usage Report"
"Bestsellers","الأكثر مبيعاً"
"Most Viewed Products Report","Most Viewed Products Report"
"Error","خطأ"
"Show By","تصفح عبر"
"Select Date","اختيار التاريخ"
"Customers that have Wish List: %1","Customers that have Wish List: %1"
"Number of Wish Lists: %1","Number of Wish Lists: %1"
"Number of items bought from a Wish List: %1","Number of items bought from a Wish List: %1"
"Number of times Wish Lists have been shared (emailed): %1","Number of times Wish Lists have been shared (emailed): %1"
"Number of Wish List referrals: %1","Number of Wish List referrals: %1"
"Number of Wish List conversions: %1","Number of Wish List conversions: %1"
"Show Report For:","Show Report For:"
"All Websites","جميع المواقع"
"Recently Viewed","المشاهد حديثا"
"Add to Cart","أضف لسلة التسوق"
"In stock","متوفر"
"Out of stock","غير متوفر بالمخزن"
"Add to Wish List","أضف لقائمة الرغبات"
"Add to Compare","إضافة إلى المقارنة"
"Recently Compared","تمت مقارنتها مؤخرا"
"Learn More","إعرف المزيد"
"Marketing","التسويق"
"Products in Cart","Products in Cart"
"Abandoned Cart","Abandoned Cart"
"Search Terms","البحث عن كلمات"
"By Customers","حسب العملاء"
"By Products","حسب المنتجات"
"Refunds","ردود"
"Order Total","إجمالي الطلب"
"Order Count","Order Count"
"New","جديد"
"Ordered","تم الطلب"
"Recently Viewed/Compared Products","المنتجات المشاهدة/المقارنة حديثا"
"Show for Current","مشاهدة للاحلالية"
"Default Recently Viewed Products Count","Default Recently Viewed Products Count"
"Default Recently Compared Products Count","Default Recently Compared Products Count"
"Dashboard","لوحة التحكم"
"Year-To-Date Starts","Year-To-Date Starts"
"Current Month Starts","Current Month Starts"
"Select day of the month.","Select day of the month."
"Average","متوسط"
"Stock Quantity","كمية المخزون"
"Ordered Quantity","الكمية المطلوبة"
"The report displays the top 5 most viewed products for each interval.","The report displays the top 5 most viewed products for each interval."
"For accurate reporting, be sure to refresh lifetime statistics whenever you change the time zone.","For accurate reporting, be sure to refresh lifetime statistics whenever you change the time zone."
"Guest","زائر"
"Action","إجراء"
"Average (Approved)","Average (Approved)"
"Last Review","المراجعة الأخيرة"
"Order Created","Order Created"
"Order Updated","تم تحديث طلب الشراء"
"The Order Updated report is created in real time and does not require a refresh.","The Order Updated report is created in real time and does not require a refresh."
"Last Invoice Created Date","Last Invoice Created Date"
"Last Credit Memo Created Date","Last Credit Memo Created Date"
"First Invoice Created Date","First Invoice Created Date"
"Refresh Lifetime Statistics","Refresh Lifetime Statistics"
"Are you sure you want to refresh lifetime statistics right now? This operation may slow down your customers' shopping experience.","Are you sure you want to refresh lifetime statistics right now? This operation may slow down your customers' shopping experience."
"Refresh Statistics for the Last Day","Refresh Statistics for the Last Day"
"Are you sure you want to refresh statistics for the last day?","Are you sure you want to refresh statistics for the last day?"
"Report","تقرير"
"Description","الوصف"
"undefined","undefined"
"Best Sellers Report","Best Sellers Report"
"Recently Viewed Products","Recently Viewed Products"
"List of Products Recently Viewed by Visitor","List of Products Recently Viewed by Visitor"
"Number of Products to display","Number of Products to display"
"Viewed Products Grid Template","Viewed Products Grid Template"
"Viewed Products List Template","Viewed Products List Template"
"Viewed Products Images and Names Template","Viewed Products Images and Names Template"
"Viewed Products Names Only Template","Viewed Products Names Only Template"
"Viewed Products Images Only Template","Viewed Products Images Only Template"
"Recently Compared Products","Recently Compared Products"
"List of Products Recently Compared and Removed from the Compare List by Visitor","List of Products Recently Compared and Removed from the Compare List by Visitor"
"Compared Products Grid Template","Compared Products Grid Template"
"Compared Products List Template","Compared Products List Template"
"Compared Products Images and Names Template","Compared Products Images and Names Template"
"Compared Product Names Only Template","Compared Product Names Only Template"
"Compared Product Images Only Template","Compared Product Images Only Template"
"System configuration is not found for report event type ""%1""","System configuration is not found for report event type ""%1"""
"General Options","General Options"
"Enable Reports","Enable Reports"
"If disabled, all report events will be disabled","If disabled, all report events will be disabled"
"Enable ""Product View"" Report","Enable ""Product View"" Report"
"If enabled, will collect statistic of viewed product pages","If enabled, will collect statistic of viewed product pages"
"Enable ""Send Product Link To Friend"" Report","Enable ""Send Product Link To Friend"" Report"
"If enabled, will collect statistic of product links sent to friend","If enabled, will collect statistic of product links sent to friend"
