"New Accounts","Nya konton"
"Customers by number of orders","Kunder efter antal order"
"Customers by Orders Total","Kunder efter ordersumma"
"Filter","Filter"
"Date Used","Datum som används"
"Day","Dag"
"Month","Månad"
"Year","År"
"Period","Period"
"From","Från"
"To","Till"
"Yes","Ja"
"No","Nej"
"Empty Rows","Tomma rader"
"Invalid date specified","Felaktigt datum"
"Refresh","Ladda om"
"We can't find records for this period.","We can't find records for this period."
"Show Reviews","Visa recensioner"
"Products Report","Productrapport"
"Downloads","Nerladdningar"
"Product","Produkt"
"Link","Länk"
"SKU","Art.nr"
"Purchases","Köp"
"CSV","CSV"
"Excel XML","Excel XML"
"Unlimited","Obegränsat"
"Low stock","Lågt lagersaldo"
"Products Ordered","Beställda produkter"
"Most Viewed","Mest visade"
"Show Report","Visa rapport"
"Interval","Intervall"
"Total","Summa"
"Price","Pris"
"Views","Visningar"
"Refresh Statistics","Uppdatera statistik"
"Customers Reviews","Kundrecensioner"
"Reviews for %1","Recensioner för %1"
"Customer","Kund"
"Title","Titel"
"Detail","Detaljer"
"Created","Skapad"
"Products Reviews","Produktrecensioner"
"Products Bestsellers Report","Bästsäljande produkter"
"Order Quantity","Order Quantity"
"Coupons Usage Report","Användning av rabattkoder"
"Subtotal","Delsumma"
"Coupon Code","Kupongkod"
"Price Rule","Price Rule"
"Uses","Användningar"
"Sales Subtotal","Sales Subtotal"
"Sales Discount","Sales Discount"
"Sales Total","Sales Total"
"Discount","Rabatt"
"Total Invoiced vs. Paid Report","Total Invoiced vs. Paid Report"
"Orders","Beställningar"
"Invoiced Orders","Invoiced Orders"
"Total Invoiced","Total Invoiced"
"Paid Invoices","Paid Invoices"
"Unpaid Invoices","Unpaid Invoices"
"Total Refunded Report","Total Refunded Report"
"Refunded Orders","Refunded Orders"
"Total Refunded","Totalt återbetalt"
"Online Refunds","Online Refunds"
"Offline Refunds","Offline Refunds"
"Total Ordered Report","Total Ordered Report"
"Sales Items","Sales Items"
"Items","Artiklar"
"Revenue","Intäkter"
"Profit","Profit"
"Invoiced","Fakturerad"
"Paid","Betald"
"Refunded","Återbetald"
"Sales Tax","Sales Tax"
"Tax","Skatt"
"Sales Shipping","Sales Shipping"
"Shipping","Frakt"
"Canceled","Avbruten"
"Total Shipped Report","Total Shipped Report"
"Carrier/Method","Carrier/Method"
"Total Sales Shipping","Total Sales Shipping"
"Total Shipping","Total Shipping"
"Order Taxes Report Grouped by Tax Rate","Order Taxes Report Grouped by Tax Rate"
"Rate","Betygsätt"
"Tax Amount","Momsbelopp"
"Abandoned carts","Abandoned carts"
"Email","E-post"
"Products","Produkter"
"Quantity","Antal"
"Applied Coupon","Applied Coupon"
"Updated","Uppdaterad"
"IP Address","IP-adress"
"Customers","Kunder"
"ID","ID"
"First Name","Förnamn"
"Last Name","Efternamn"
"Items in Cart","Artiklar i kundvagnen"
"Products in carts","Products in carts"
"Carts","Carts"
"Name","Namn"
"Wish Lists","Wish Lists"
"Wish List Purchase","Wish List Purchase"
"Wish List vs. Regular Order","Wish List vs. Regular Order"
"Times Deleted","Times Deleted"
"Index type is not valid","Index type is not valid"
"Reports","Rapporter"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>.","Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>."
"New Accounts Report","New Accounts Report"
"Customers by Number of Orders","Customers by Number of Orders"
"Order Count Report","Order Count Report"
"Order Total Report","Order Total Report"
"Downloads Report","Downloads Report"
"Low Stock","Low Stock"
"Low Stock Report","Low Stock Report"
"Ordered Products Report","Ordered Products Report"
"Products Most Viewed Report","Products Most Viewed Report"
"Product Views Report","Product Views Report"
"An error occurred while showing the product views report. Please review the log and try again.","Ett fel uppstod när rapporten för produktvisningar skulle visas. Granska loggen och försök igen."
"Review","Recension"
"Reviews","Recensioner"
"Customers Report","Kundrapporter"
"Customer Reviews Report","Rapport över Kundrecensioner"
"Product Reviews Report","Rapport över Produktrecensioner"
"Product Reviews","Produktrecensioner"
"Details","Detaljer"
"Sales","Försäljning"
"Bestsellers Report","Bestsellers Report"
"Coupons","Kuponger"
"Coupons Report","Coupons Report"
"Invoice Report","Invoice Report"
"Refunds Report","Refunds Report"
"Sales Report","Sales Report"
"Orders Report","Orders Report"
"Shipping Report","Shipping Report"
"Tax Report","Tax Report"
"Shopping Cart","Kundvagn"
"Abandoned Carts","Abandoned Carts"
"Customer Shopping Carts","Customer Shopping Carts"
"Products in Carts","Products in Carts"
"Statistics","Statistics"
"No report code is specified.","No report code is specified."
"You refreshed lifetime statistics.","You refreshed lifetime statistics."
"We can't refresh lifetime statistics.","We can't refresh lifetime statistics."
"Recent statistics have been updated.","Recent statistics have been updated."
"We can't refresh recent statistics.","We can't refresh recent statistics."
"The product type filter specified is incorrect.","The product type filter specified is incorrect."
