"New Accounts","حساب‌ های کاربری جدید"
"Customers by number of orders","مشتریان بر اساس تعداد سفارش‌ ها"
"Customers by Orders Total","مشتریان بر اساس مجموع سفارش‌ ها"
"Filter","فیلتر"
"Date Used","تاریخ استفاده شده"
"Day","روز"
"Month","ماه"
"Year","سال"
"Period","دوره"
"From","از"
"To","به"
"Yes","بله"
"No","خیر"
"Empty Rows","سطرهای خالی"
"Invalid date specified","تاریخ مشخص شده نامعتبر است"
"Refresh","به روز رسانی"
"We can't find records for this period.","ما نمیتوانیم پروندههای این دوره را پیدا کنیم."
"Show Reviews","نمایش نظرات"
"Products Report","گزارش محصولات"
"Downloads","دانلودها"
"Product","محصول"
"Link","لینک"
"SKU","کد محصول"
"Purchases","خریدها"
"CSV","CSV"
"Excel XML","اکسل XML"
"Unlimited","نامحدود"
"Low stock","موجودی کم"
"Products Ordered","محصولات سفارش داده شده"
"Most Viewed","پر بازدید"
"Show Report","نمایش گزارش"
"Interval","فاصله"
"Total","مجموع"
"Price","قيمت"
"Views","نمایش ها"
"Refresh Statistics","به روز رسانی آمار"
"Customers Reviews","نظرات مشتریان"
"Reviews for %1","نظرات برای %1"
"Customer","مشتری"
"Title","عنوان"
"Detail","جزئیات"
"Created","ايجاد شد"
"Products Reviews","نظرات محصولات"
"Products Bestsellers Report","گزارش محصولات پرفروش"
"Order Quantity","تعداد سفارش"
"Coupons Usage Report","گزارش استفاده‌ از کوپن‌ ها"
"Subtotal","جمع جز"
"Coupon Code","کد کوپن"
"Price Rule","قانون قیمت"
"Uses","استفاده شده"
"Sales Subtotal","مجموع فروش"
"Sales Discount","تخفیف فروش‌"
"Sales Total","مجموع فروش‌"
"Discount","تخفيف"
"Total Invoiced vs. Paid Report","مجموع فاکتور شده در برابر گزارش پرداخت"
"Orders","سفارشات"
"Invoiced Orders","سفارشات فاکتور شده"
"Total Invoiced","مجموع فاکتور شده"
"Paid Invoices","فاکتورهای پرداخت شده"
"Unpaid Invoices","فاکتورهای پرداخت نشده"
"Total Refunded Report","گزارش مجموع مسترد شده"
"Refunded Orders","سفارشات مسترد شده"
"Total Refunded","مجموع مسترد شده"
"Online Refunds","استرداد آنلاین"
"Offline Refunds","استرداد آفلاین"
"Total Ordered Report","گزارش مجموع سفارش داده شده"
"Sales Items","محصولات فروشی"
"Items","موارد"
"Revenue","درآمد"
"Profit","سود"
"Invoiced","فاکتور شده"
"Paid","پرداخت شده"
"Refunded","مسترد"
"Sales Tax","مالیات فروش‌ ها"
"Tax","مالیات"
"Sales Shipping","ارسال فروش‌ ها"
"Shipping","ارسال"
"Canceled","لغو شده"
"Total Shipped Report","گزارش مجموع ارسال شده"
"Carrier/Method","حامل/ روش"
"Total Sales Shipping","مجموع ارسال محصولات فروشی"
"Total Shipping","مجموع ارسال"
"Order Taxes Report Grouped by Tax Rate","گزارش مالیات‌های سفارش با نرخ مالیات گروه بندی شده است"
"Rate","نرخ"
"Tax Amount","مبلغ مالیات"
"Abandoned carts","سبدهای خرید رها شده"
"Email","ايميل"
"Products","محصولات"
"Quantity","تعداد"
"Applied Coupon","کوپن اعمال شده"
"Updated","به روز رسانی شده"
"IP Address","آدرس IP"
"Customers","مشتریان"
"ID","شناسه"
"First Name","نام"
"Last Name","نام خانوادگی"
"Items in Cart","اقلام در سبد خرید"
"Products in carts","محصولات در سبدهای خرید"
"Carts","سبدهای خرید"
"Name","نام"
"Wish Lists","لیست های علاقه مندی"
"Wish List Purchase","لیست علاقه مندی خرید"
"Wish List vs. Regular Order","لیست علاقه مندی در برابر سفارش منظم"
"Times Deleted","زمان ها حذف شد"
"Index type is not valid","نوع فهرست معتبر نیست"
"Reports","گزارش‌ ها"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>.","Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>."
"New Accounts Report","گزارش حساب های کاربری جدید"
"Customers by Number of Orders","مشتریان بر اساس تعداد سفارش‌ ها"
"Order Count Report","گزارش تعداد سفارش"
"Order Total Report","گزارش مجموع سفارش"
"Downloads Report","گزارش دانلود شده ها"
"Low Stock","موجودی کم"
"Low Stock Report","گزارش موجودی کم"
"Ordered Products Report","گزارش محصولات سفارش داده شده"
"Products Most Viewed Report","گزارش محصولات پربازدید"
"Product Views Report","گزارش نمایش محصول"
"An error occurred while showing the product views report. Please review the log and try again.","در هنگام نمایش گزارش محصول خطایی رخ داد. لطفا بازبینی کرده و دوباره امتحان کنید."
"Review","مرور"
"Reviews","نظرات"
"Customers Report","گزارش مشتریان"
"Customer Reviews Report","گزارش بازدید مشتریان"
"Product Reviews Report","گزارش بازدید محصولات"
"Product Reviews","نظرات محصول"
"Details","جزئیات"
"Sales","حراجی ها"
"Bestsellers Report","گزارش پرفروش ها"
"Coupons","کوپن ها"
"Coupons Report","گزارش کوپن‌ ها"
"Invoice Report","گزارش صورتحساب"
"Refunds Report","گزارش بازپرداخت"
"Sales Report","گزارش فروش‌ ها"
"Orders Report","گزارش سفارشات"
"Shipping Report","گزارش ارسال"
"Tax Report","گزارش مالیاتی"
"Shopping Cart","سبد خرید"
"Abandoned Carts","سبدهای خرید رها شده"
"Customer Shopping Carts","سبدهای خرید مشتری"
"Products in Carts","محصولات درون سبدها"
"Statistics","آمار"
"No report code is specified.","هیچ یک از کدهای گزارش مشخص نشده است."
"You refreshed lifetime statistics.","شما آمارهای طول عمر را به روز رسانی کردید."
"We can't refresh lifetime statistics.","ما نمیتوانیم آمارهای طول عمر را بازنشانی کنیم."
"Recent statistics have been updated.","آمار اخیر به روز رسانی شد."
"We can't refresh recent statistics.","ما نمی توانیم آمار جدید را تازه کنیم."
"The product type filter specified is incorrect.","فیلتر نوع محصول مشخص شده صحیح نمی باشد."
"Order Taxes Report Grouped by Tax Rates","گزارش مالیات‌های سفارش با نرخ های مالیات گروه بندی شده است"
"Total Invoiced VS Paid Report","گزارش مجموع فاکتور شده در برابر گزارش پرداخت شده"
"Promotion Coupons Usage Report","گزارش استفاده‌ی کوپن‌های تبلیغاتی"
"Bestsellers","پرفروش‌ها"
"Most Viewed Products Report","بیشترین بازدید گزارش محصولات"
"Error","خطا"
"Show By","نمایش با"
"Select Date","انتخاب تاریخ"
"Customers that have Wish List: %1","مشتریانی که لیست علاقه مندی: %1 دارند"
"Number of Wish Lists: %1","تعداد لیست های علاقه مندی: %1 می باشد"
"Number of items bought from a Wish List: %1","تعداد اقلام خریداری شده از لیست علاقه مندی: %1"
"Number of times Wish Lists have been shared (emailed): %1","تعداد دفعات نمایش لیست علاقه مندی به اشتراک گذاشته شده است (ایمیل شده): %1"
"Number of Wish List referrals: %1","تعداد ارجاعات لیست علاقه مندی: %1 می باشد"
"Number of Wish List conversions: %1","تعداد تغییرات لیست علاقه مندی: %1 می باشد"
"Show Report For:","نمایش گزارش برای:"
"All Websites","همه‌ی وب‌سایت‌ها"
"Recently Viewed","اخیرا مشاهد شده"
"Add to Cart","اضافه کردن به سبد خرید"
"In stock","موجود"
"Out of stock","در انبار موجود نیست"
"Add to Wish List","اضافه کردن به لیست علاقه مندی"
"Add to Compare","افزودن به مقایسه"
"Recently Compared","اخیرا مقایسه شده"
"Learn More","بیشتر بدانید"
"Marketing","بازاریابی"
"Products in Cart","محصولات در سبد خرید"
"Abandoned Cart","سبد های رها شده"
"Search Terms","عبارات جستجو"
"By Customers","توسط مشتریان"
"By Products","توسط محصولات"
"Refunds","استردادها"
"Order Total","مجموع سفارش"
"Order Count","تعداد سفارش"
"New","جدید"
"Ordered","سفارش داده شده"
"Recently Viewed/Compared Products","محصولات اخیرا مشاهد/مقایسه شده"
"Show for Current","نمایش برای کنونی"
"Default Recently Viewed Products Count","تعداد محصولات اخیرا بازدید شده‌ی پیش فرض"
"Default Recently Compared Products Count","تعداد محصولات اخیرا مقایسه شده‌ی پیش فرض"
"Dashboard","داشبورد"
"Year-To-Date Starts","آغاز سال تا کنون شروع شد"
"Current Month Starts","ماه جاری شروع می‌شود"
"Select day of the month.","انتخاب روز ماه."
"Average","میانگین"
"Stock Quantity","موجودی فروشگاه"
"Ordered Quantity","مقدار سفارش داده شده"
"The report displays the top 5 most viewed products for each interval.","این گزارش 5 محصول برتر را برای هر بازه نمایش می دهد."
"For accurate reporting, be sure to refresh lifetime statistics whenever you change the time zone.","برای گزارش دقیق، هر زمانی که منطقه زمانی را تغییر دهید، مطمئن شوید که آمارهای طول عمر را تازه کنید."
"Guest","مهمان"
"Action","اقدام"
"Average (Approved)","میانگین (تایید شده)"
"Last Review","آخرین بازبینی"
"Order Created","تاریخ ایجاد سفارش"
"Order Updated","سفارش به روز شده"
"The Order Updated report is created in real time and does not require a refresh.","سفارش گزارش به روز شده در زمان واقعی ایجاد می شود و نیازی به تجدید نیست."
"Last Invoice Created Date","تاریخ ایجاد آخرین فاکتور"
"Last Credit Memo Created Date","تاریخ ایجاد آخرین یادداشت بستانکاری"
"First Invoice Created Date","تاریخ ایجاد اولین فاکتور"
"Refresh Lifetime Statistics","رفرش تمام آمارها تا کنون"
"Are you sure you want to refresh lifetime statistics right now? This operation may slow down your customers' shopping experience.","آیا مطمئن هستید که میخواهید آمارهای طول عمر را در حال حاضر بازخوانی کنید؟ این عملیات ممکن است تجربه خرید مشتریان شما را کند کند."
"Refresh Statistics for the Last Day","رفرش آمار برای روز گذشته"
"Are you sure you want to refresh statistics for the last day?","آیا مطمئن هستید که میخواهید آمار برای آخرین روز را به روز کنید?"
"Report","گزارش"
"Description","توصیف"
"undefined","undefined"
"Best Sellers Report","Best Sellers Report"
"Recently Viewed Products","Recently Viewed Products"
"List of Products Recently Viewed by Visitor","List of Products Recently Viewed by Visitor"
"Number of Products to display","Number of Products to display"
"Viewed Products Grid Template","Viewed Products Grid Template"
"Viewed Products List Template","Viewed Products List Template"
"Viewed Products Images and Names Template","Viewed Products Images and Names Template"
"Viewed Products Names Only Template","Viewed Products Names Only Template"
"Viewed Products Images Only Template","Viewed Products Images Only Template"
"Recently Compared Products","Recently Compared Products"
"List of Products Recently Compared and Removed from the Compare List by Visitor","List of Products Recently Compared and Removed from the Compare List by Visitor"
"Compared Products Grid Template","Compared Products Grid Template"
"Compared Products List Template","Compared Products List Template"
"Compared Products Images and Names Template","Compared Products Images and Names Template"
"Compared Product Names Only Template","Compared Product Names Only Template"
"Compared Product Images Only Template","Compared Product Images Only Template"
"System configuration is not found for report event type ""%1""","System configuration is not found for report event type ""%1"""
"General Options","General Options"
"Enable Reports","Enable Reports"
"If disabled, all report events will be disabled","If disabled, all report events will be disabled"
"Enable ""Product View"" Report","Enable ""Product View"" Report"
"If enabled, will collect statistic of viewed product pages","If enabled, will collect statistic of viewed product pages"
"Enable ""Send Product Link To Friend"" Report","Enable ""Send Product Link To Friend"" Report"
"If enabled, will collect statistic of product links sent to friend","If enabled, will collect statistic of product links sent to friend"
"Enable ""Add Product To Compare List"" Report","Enable ""Add Product To Compare List"" Report"
"If enabled, will collect statistic of products added to Compare List","If enabled, will collect statistic of products added to Compare List"
"Enable ""Product Added To Cart"" Report","Enable ""Product Added To Cart"" Report"
"If enabled, will collect statistic of products added to Cart","If enabled, will collect statistic of products added to Cart"
"Enable ""Product Added To WishList"" Report","Enable ""Product Added To WishList"" Report"
"If enabled, will collect statistic of products added to WishList","If enabled, will collect statistic of products added to WishList"
"Enable ""Share WishList"" Report","Enable ""Share WishList"" Report"
"If enabled, will collect statistic of shared WishLists","If enabled, will collect statistic of shared WishLists"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""#2"" data-post=""%3"">here</a>.","Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""#2"" data-post=""%3"">here</a>."
