"Page not found.","Halaman tidak ditemukan."
"You can't send messages more than %1 times an hour.","Anda tidak dapat mengirim pesan lebih dari %1 kali dalam satu jam."
"The link to a friend was sent.","Tautan ke teman dikirim."
"We found some problems with the data.","Kami menemukan beberapa masalah dengan data."
"Some emails were not sent.","Beberapa email tidak terkirim."
"You've met your limit of %1 sends in an hour.","Anda telah memenuhi batas %1 Anda kirim dalam satu jam."
"Please enter a sender name.","Silakan masukkan nama pengirim."
"Invalid Sender Email","Email pengirim tidak valid"
"Please enter a message.","Silakan masukkan pesan."
"Please specify at least one recipient.","Silakan tentukan setidaknya satu penerima."
"Please enter a correct recipient email address.","Silakan masukkan alamat email penerima yang benar."
"No more than %1 emails can be sent at a time.","Tidak lebih dari %1 email dan terkirim pada satu waktu."
"Please define a correct product instance.","Silakan jelaskan contoh produk yang benar."
"Invalid Sender Information","Informasi Pengirim Tidak Valid"
"Please define the correct sender information.","Silakan jelaskan informasi pengirim yang benar."
"IP Address","Alamat IP"
"Cookie (unsafe)","Cookie (Tidak aman)"
"No Product Exception.","No Product Exception."
"No Category Exception.","No Category Exception."
"Some error","Some error"
"Localized Exception.","Localized Exception."
"Exception.","Exception."
"Remove Recipent","Hapus Penerima"
"Remove","Hapus"
"Name","Nama"
"Email","E-mail"
"* Required Fields","* Bidang yang harus diisi"
"Sender","Pengirim"
"Message","Pesan"
"Invitee","Undangan"
"Maximum %1 email addresses allowed.","Maksimum %1 alamat email diperbolehkan."
"Add Invitee","Tambahkan Undangan"
"Send Email","Kirim Email"
"Back","Kembali"
"Welcome, %name","Selamat datang, %nama"
"%name,","%nama,"
"%sender_name wants to share this product with you:","%s ender_name ingin berbagi produk ini dengan Anda:"
"Message from %sender_name:","Message from %sender_name:"
"Email to a Friend","Email ke teman"
"Email Templates","Template Email"
"Enabled","Diaktifkan"
"Select Email Template","Pilih Template Email"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Template email dipilih berdasarkan fallback tema saat opsi ""Default"" dipilih."
"Allow for Guests","Izinkan untuk tamu"
"Max Recipients","Maksimum Penerima"
"Max Products Sent in 1 Hour","Produk Max Dikirim dalam 1 Jam"
"Limit Sending By","Batas Pengiriman Dengan"
