"Page not found.","Страницата не е намерена."
"You can't send messages more than %1 times an hour.","Не можете да изпращате съобщения, повече от %1 пъти един час."
"The link to a friend was sent.","Връзката към приятел е изпратена."
"We found some problems with the data.","Открихме някои проблеми с данните."
"Some emails were not sent.","Някои имейли не са изпратени."
"You've met your limit of %1 sends in an hour.","Вие сте изпълнили лимита от %1 изпращане на час."
"Please enter a sender name.","Въведете име на подател."
"Invalid Sender Email","Невалиден подател имейл"
"Please enter a message.","Моля въведете съобщение."
"Please specify at least one recipient.","Моля, посочете поне един получател."
"Please enter a correct recipient email address.","Моля въведете правилния получател email адрес."
"No more than %1 emails can be sent at a time.","Не повече от %1 имейли да се изпращат в даден момент."
"Please define a correct product instance.","Дефинирайте екземпляр на правилния продукт."
"Invalid Sender Information","Невалиден подател информация"
"Please define the correct sender information.","Дефинирайте правилния подател информация."
"IP Address","IP адрес"
"Cookie (unsafe)","Бисквитка (опасен)"
"No Product Exception.","No Product Exception."
"No Category Exception.","No Category Exception."
"Some error","Some error"
"Localized Exception.","Localized Exception."
"Exception.","Exception."
"Remove Recipent","Премахване на получател"
"Remove","Премахване"
"Name","Име"
"Email","Имейл"
"* Required Fields","* Задължителни полета"
"Sender","Подател"
"Message","Съобщение"
"Invitee","Поканен"
"Maximum %1 email addresses allowed.","Максимална %1 имейл адреси позволено."
"Add Invitee","Добавяне на поканения"
"Send Email","Изпращане на имейл"
"Back","Обратно"
"Welcome, %name","Добре дошли, %name"
"%name,","%name,"
"%sender_name wants to share this product with you:","%sender_name иска да сподели този продукт с вас:"
"Message from %sender_name:","Message from %sender_name:"
"Email to a Friend","Изпрати email на приятел"
"Email Templates","Имейл шаблони"
"Enabled","Активиран"
"Select Email Template","Изберете шаблон за имейл"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Имейл шаблон, избран въз основа на тема връщане, когато ""По подразбиране"" опция е избрана."
"Allow for Guests","Позволи за гости"
"Max Recipients","Макс получатели"
"Max Products Sent in 1 Hour","Макс продукти, изпратени през 1 час"
"Limit Sending By","Лимитирай изпращането по"
