"Page not found.","صفحه یافت نشد."
"You can't send messages more than %1 times an hour.","شما نمی توانید پیام بیش از %1 بار در ساعت ارسال کنید."
"The link to a friend was sent.","لینک به یک دوست ارسال شده بود."
"We found some problems with the data.","ما برخی از مشکلات را با داده ها پیدا کردیم."
"Some emails were not sent.","برخی از ایمیل‌ها ارسال نشده بودند."
"You've met your limit of %1 sends in an hour.","شما حد خود را از %1 در یک ساعت ملاقات کرده اید."
"Please enter a sender name.","لطفا نام فرستنده را وارد کنید."
"Invalid Sender Email","ایمیل فرستنده نامعتبر است"
"Please enter a message.","لطفا یک پیام وارد کنید."
"Please specify at least one recipient.","لطفا حداقل یک گیرنده مشخص کنید."
"Please enter a correct recipient email address.","لطفا یک آدرس ایمیل گیرنده صحیح وارد کنید."
"No more than %1 emails can be sent at a time.","بیش از %1 ایمیل نمی تواند در یک زمان ارسال شود."
"Please define a correct product instance.","لطفا یک نمونه محصول درست را تعریف کنید."
"Invalid Sender Information","اطلاعات فرستنده نامعتبر"
"Please define the correct sender information.","لطفا اطلاعات فرستنده را درست را تعریف کنید."
"IP Address","آدرس IP"
"Cookie (unsafe)","کوکی (ناامن)"
"No Product Exception.","No Product Exception."
"No Category Exception.","No Category Exception."
"Some error","Some error"
"Localized Exception.","Localized Exception."
"Exception.","Exception."
"Remove Recipent","حذف گیرنده"
"Remove","برداشتن"
"Name","نام"
"Email","ايميل"
"* Required Fields","* زمينه هاي مورد نياز"
"Sender","فرستنده"
"Message","پیام"
"Invitee","مدعو"
"Maximum %1 email addresses allowed.","حداکثر %1 آدرس ایمیل مجاز است."
"Add Invitee","افزودن دعوت"
"Send Email","ارسال ایمیل"
"Back","بازگشت"
"Welcome, %name","خوش آمدید، %name"
"%name,","%name"
"%sender_name wants to share this product with you:","%sender_name می خواهد این محصول را با شما به اشتراک بگذارد:"
"Message from %sender_name:","Message from %sender_name:"
"Email to a Friend","ایمیل به یک دوست"
"Email Templates","قالب‌ های ایمیل"
"Enabled","فعال"
"Select Email Template","انتخاب قالب ایمیل"
"Email template chosen based on theme fallback when ""Default"" option is selected.","قالب ایمیل انتخاب شده بر اساس پشت زمینه تم هنگامی که گزینه "" پیش فرض"" انتخاب شده است."
"Allow for Guests","اجازه برای مهمانان"
"Max Recipients","بیشینه گیرندگان"
"Max Products Sent in 1 Hour","بیشینه محصولات در 1 ساعت ارسال شد"
"Limit Sending By","محدودیت ارسال با"
