"Page not found.","Halaman tidak ditemukan."
"You can't send messages more than %1 times an hour.","You can't send messages more than %1 times an hour."
"The link to a friend was sent.","The link to a friend was sent."
"We found some problems with the data.","Kami menemukan beberapa masalah dengan data."
"Some emails were not sent.","Beberapa email tidak terkirim."
"You've met your limit of %1 sends in an hour.","You've met your limit of %1 sends in an hour."
"Please enter a sender name.","Silahkan masukkan nama pengirim."
"Invalid Sender Email","Email pengirim tidak valid"
"Please enter a message.","Silahkan masukkan pesan."
"Please specify at least one recipient.","Silahkan tentukan setidaknya satu penerima."
"Please enter a correct recipient email address.","Silahkan masukkan alamat email penerima yang benar."
"No more than %1 emails can be sent at a time.","No more than %1 emails can be sent at a time."
"Please define a correct product instance.","Silahkan jelaskan contoh produk yang benar."
"Invalid Sender Information","Informasi pengirim tidak valid"
"Please define the correct sender information.","Silahkan jelaskan informasi pengirim yang benar."
"IP Address","Alamat IP"
"Cookie (unsafe)","Cookie (unsafe)"
"No Product Exception.","No Product Exception."
"No Category Exception.","No Category Exception."
"Some error","Some error"
"Localized Exception.","Localized Exception."
"Exception.","Exception."
"Remove Recipent","Remove Recipent"
"Remove","Menghapus"
"Name","Nama"
"Email","Email"
"* Required Fields","* Bidang yang harus Diisi"
"Sender","Pengirim"
"Message","Pesan"
"Invitee","Para undangan"
"Maximum %1 email addresses allowed.","Maksimum %1 alamat email diizinkan."
"Add Invitee","Tambahkan Undangan"
"Send Email","Kirim Email"
"Back","Kembali"
"Welcome, %name","Selamat datang, %nama"
"%name,","%nama"
"%sender_name wants to share this product with you:","%s ender_nama berbagi produk ini dengan anda:"
"Message from %sender_name:","Message from %sender_name:"
"Email to a Friend","Email ke teman"
"Email Templates","Template Email"
"Enabled","Diaktifkan"
"Select Email Template","Pilih template Email"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template yang dipilih berdasarkan tema mundur ketika ""Default"" opsi yang dipilih."
"Allow for Guests","Izinkan untuk tamu"
"Max Recipients","Max Recipients"
"Max Products Sent in 1 Hour","Max Products Sent in 1 Hour"
"Limit Sending By","Batas mengirim oleh"
