"Page not found.","找不到网页。"
"You can't send messages more than %1 times an hour.","限制发送"
"The link to a friend was sent.","被送到一位朋友的链接。"
"We found some problems with the data.","我们发现了一些问题的数据。"
"Some emails were not sent.","未发送几封电子邮件。"
"You've met your limit of %1 sends in an hour.","你见过你的 %1 发送在一个小时的极限。"
"Please enter a sender name.","请输入发件人的名称。"
"Invalid Sender Email","无效发件人的电子邮件"
"Please enter a message.","请输入一条消息。"
"Please specify at least one recipient.","请指定至少一个收件人。"
"Please enter a correct recipient email address.","请输入一个正确的收件人电子邮件地址。"
"No more than %1 emails can be sent at a time.","不超过 %1 的电子邮件可以发送一次。"
"Please define a correct product instance.","请定义一个正确的产品实例。"
"Invalid Sender Information","无效发件人信息"
"Please define the correct sender information.","请定义正确的发件人信息。"
"IP Address","IP 地址"
"Cookie (unsafe)","Cookie (不安全)"
"No Product Exception.","No Product Exception."
"No Category Exception.","No Category Exception."
"Some error","Some error"
"Localized Exception.","Localized Exception."
"Exception.","Exception."
"Remove Recipent","删除语气"
"Remove","删除"
"Name","名字"
"Email","邮箱"
"* Required Fields","*必要字段"
"Sender","发送方"
"Message","信息"
"Invitee","被邀请者"
"Maximum %1 email addresses allowed.","允许最多 %1邮箱地址"
"Add Invitee","添加被邀请者"
"Send Email","发送邮件"
"Back","返回"
"Welcome, %name","欢迎您，:name"
"%name,","%名称，"
"%sender_name wants to share this product with you:","%sender_name 想要与你分享这种产品:"
"Message from %sender_name:","Message from %sender_name:"
"Email to a Friend","推荐给朋友"
"Email Templates","邮件模板"
"Enabled","启动"
"Select Email Template","选择电子邮件模板"
"Email template chosen based on theme fallback when ""Default"" option is selected.","电子邮件模板选择基于主题的回退时，选择“默认”选项。"
"Allow for Guests","允许为客人"
"Max Recipients","最大收件人"
"Max Products Sent in 1 Hour","在 1 小时内发送的最大产品"
"Limit Sending By","限制通过发送"
