"Page not found.","Stranica nije pronađena."
"You can't send messages more than %1 times an hour.","Ne možete send messages more than %1 times an hour."
"The link to a friend was sent.","The link to a friend was sent."
"We found some problems with the data.","We found some problems with the data."
"Some emails were not sent.","Some emails nisu sent."
"You've met your limit of %1 sends in an hour.","You've met your limit of %1 sends in an hour."
"Please enter a sender name.","Molimo unesite a sender name."
"Invalid Sender Email","Neispravan Sender E-pošta"
"Please enter a message.","Molimo unesite a message."
"Please specify at least one recipient.","Molimo navedite at least one recipient."
"Please enter a correct recipient email address.","Molimo unesite a correct recipient email address."
"No more than %1 emails can be sent at a time.","Ne more than %1 emails can be sent at a time."
"Please define a correct product instance.","Please define a correct product instance."
"Invalid Sender Information","Neispravan Sender Informacije"
"Please define the correct sender information.","Please define the correct sender information."
"IP Address","IP Adresa"
"Cookie (unsafe)","Cookie (unsafe)"
"No Product Exception.","Ne Proizvod Exception."
"No Category Exception.","Ne Kategorija Exception."
"Some error","Neka greška"
"Localized Exception.","Localized Exception."
"Exception.","Exception."
"Remove Recipent","Ukloni Recipent"
"Remove","Ukloni"
"Name","Ime"
"Email","E-pošta"
"* Required Fields","* Obavezna polja"
"Sender","Pošiljalac"
"Message","Poruka"
"Invitee","Pozivnice"
"Maximum %1 email addresses allowed.","Maximum %1 email addresses allowed."
"Add Invitee","Dodaj Pozivnicu"
"Send Email","Pošalji E-pošta"
"Back","Nazad"
"Welcome, %name","Welcome, %name"
"%name,","%naziv,"
"%sender_name wants to share this product with you:","%sender_name wants to share this product with you:"
"Message from %sender_name:","Message from %sender_name:"
"Email to a Friend","Pošalji Prijatelju"
"Email Templates","Email šabloni"
"Enabled","Omogućeno"
"Select Email Template","Izaberi E-pošta Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Šablon mejla se bira na osnovu teme kada je izabrana opcija ""Podrazumevano""."
"Allow for Guests","Dozvoli for Guests"
"Max Recipients","Max Recipients"
"Max Products Sent in 1 Hour","Max Proizvodi Sent in 1 Hour"
"Limit Sending By","Limit Sending By"
