"Page not found.","Страница није пронађена."
"You can't send messages more than %1 times an hour.","Не можете сенд мессагес море тхан %1 тимес ан хоур."
"The link to a friend was sent.","The link to a friend was sent."
"We found some problems with the data.","We found some problems with the data."
"Some emails were not sent.","Соме емаилс нису сент."
"You've met your limit of %1 sends in an hour.","You've met your limit of %1 sends in an hour."
"Please enter a sender name.","Молимо унесите а сендер наме."
"Invalid Sender Email","Неисправан Сендер Е-пошта"
"Please enter a message.","Молимо унесите а мессаге."
"Please specify at least one recipient.","Молимо наведите ат леаст оне реципиент."
"Please enter a correct recipient email address.","Молимо унесите а цоррецт реципиент емаил аддресс."
"No more than %1 emails can be sent at a time.","Не море тхан %1 емаилс цан бе сент ат а тиме."
"Please define a correct product instance.","Please define a correct product instance."
"Invalid Sender Information","Неисправан Сендер Информације"
"Please define the correct sender information.","Please define the correct sender information."
"IP Address","ИП Адреса"
"Cookie (unsafe)","Cookie (unsafe)"
"No Product Exception.","Не Производ Еxцептион."
"No Category Exception.","Не Категорија Еxцептион."
"Some error","Нека грешка"
"Localized Exception.","Localized Exception."
"Exception.","Exception."
"Remove Recipent","Уклони Реципент"
"Remove","Уклони"
"Name","Име"
"Email","Е-пошта"
"* Required Fields","* Обавезна поља"
"Sender","Пошиљалац"
"Message","Порука"
"Invitee","Позивнице"
"Maximum %1 email addresses allowed.","Maximum %1 email addresses allowed."
"Add Invitee","Додај Позивницу"
"Send Email","Пошаљи Е-пошта"
"Back","Назад"
"Welcome, %name","Welcome, %name"
"%name,","%назив,"
"%sender_name wants to share this product with you:","%sender_name wants to share this product with you:"
"Message from %sender_name:","Message from %sender_name:"
"Email to a Friend","Пошаљи Пријатељу"
"Email Templates","Емаил шаблони"
"Enabled","Омогућено"
"Select Email Template","Изабери Е-пошта Темплате"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Шаблон мејла се бира на основу теме када је изабрана опција ""Подразумевано""."
"Allow for Guests","Дозволи фор Гуестс"
"Max Recipients","Max Recipients"
"Max Products Sent in 1 Hour","Маx Производи Сент ин 1 Хоур"
"Limit Sending By","Limit Sending By"
