"Code","代码"
"Country","国家"
"State","状态"
"Zip/Post Code","邮编"
"Rate","费率"
"Zip/Post is Range","税收区域和税率"
"Range From","范围从"
"Range To","范围到"
"Tax Zones and Rates","税区和费率"
"Import and Export Tax Rates","导出税率"
"The tax rate has been imported.","已导入的税率。"
"Invalid file upload attempt","无效的文件上载尝试"
"Invalid file upload attempt.","无效的文件上传的尝试。"
"Invalid file format.","文件格式无效。"
"One of the countries has invalid code.","One of the countries has invalid code."
"Import Tax Rates","进口税率"
"Export Tax Rates","出口税率"
"CSV","Excel XML"
"Excel XML","XML Excel"
"Country code is invalid: %1","Country code is invalid: %1"
"Import/Export Tax Rates","进出口税率"
