"Code","Código"
"Country","País"
"State","Estado"
"Zip/Post Code","Cep"
"Rate","Avaliação"
"Zip/Post is Range","Cep está no Intervalo"
"Range From","Intervalo De"
"Range To","Intervalo Até"
"Tax Zones and Rates","Zonas de Impostos e Tarifas"
"Import and Export Tax Rates","Imposto de Importação e Exportação"
"The tax rate has been imported.","A taxa de imposto foi importada."
"Invalid file upload attempt","Tentativa de carregamento de arquivo inválido"
"Invalid file upload attempt.","Tentativa de carregamento de arquivo inválido."
"Invalid file format.","Formato de arquivo inválido."
"Country code is invalid: %1","Código do país é inválido: %1"
"Import Tax Rates","Taxas de Imposto de Importação"
"Export Tax Rates","Taxas de imposto de exportação"
"Please select a file to import!","Por favor, selecione um arquivo para importar!"
"Import/Export Tax Rates","Importação / Exportação Taxas"
"CSV","CSV"
"Excel XML","Excel, XML"
