"Code","Kode"
"Country","Negara"
"State","Negara"
"Zip/Post Code","Zip/Post Code"
"Rate","Menilai"
"Zip/Post is Range","Zip/Post is Range"
"Range From","Berkisar dari"
"Range To","Berkisar Ke"
"Tax Zones and Rates","Zona dan Tarif Pajak"
"Import and Export Tax Rates","Import and Export Tax Rates"
"The tax rate has been imported.","Tarif pajak telah diimpor."
"Invalid file upload attempt","Upaya upload unggahan tidak sah"
"Invalid file upload attempt.","Invalid file upload attempt."
"Invalid file format.","Invalid file format."
"One of the countries has invalid code.","One of the countries has invalid code."
"Import Tax Rates","Tarif Pajak Impor"
"Export Tax Rates","Tarif Pajak Ekspor"
"CSV","CSV"
"Excel XML","Excel XML"
"Country code is invalid: %1","Country code is invalid: %1"
"Import/Export Tax Rates","Tarif Pajak Impor/Ekspor"
