"Code","Kod"
"Country","Država"
"State","Država"
"Zip/Post Code","Poštanski broj/Post Kod"
"Rate","Rate"
"Zip/Post is Range","Poštanski broj/Post is Range"
"Range From","Range From"
"Range To","Range To"
"Tax Zones and Rates","Porez Zones and Rates"
"Import and Export Tax Rates","Uvezi and Izvezi Porez Rates"
"The tax rate has been imported.","The tax rate je imported."
"Invalid file upload attempt","Neispravan file upload attempt"
"Invalid file upload attempt.","Neispravan file upload attempt."
"Invalid file format.","Neispravan file format."
"One of the countries has invalid code.","One of the countries has neispravan code."
"Import Tax Rates","Uvezi Porez Rates"
"Export Tax Rates","Izvezi Porez Rates"
"CSV","CSV"
"Excel XML","Excel XML"
"Country code is invalid: %1","Zemlja code is neispravan: %1"
"Import/Export Tax Rates","Uvezi/Izvezi Porez Rates"
