"Code","Код"
"Country","Държава"
"State","Щат"
"Zip/Post Code","Пощенски код"
"Rate","Оцени"
"Zip/Post is Range","Диапазон от Пощенски кодове"
"Range From","Варират от"
"Range To","Нареждам към"
"Tax Zones and Rates","Данъчни зони и цени"
"Import and Export Tax Rates","Импортиране и експортиране данъчни ставки"
"The tax rate has been imported.","Данъчната ставка е внесена."
"Invalid file upload attempt","Невалиден файл качване опит"
"Invalid file upload attempt.","Невалиден файл качване опит."
"Invalid file format.","Невалиден файлов формат."
"One of the countries has invalid code.","One of the countries has invalid code."
"Import Tax Rates","Импортиране на данъчните ставки"
"Export Tax Rates","Експортиране на данъчните ставки"
"CSV","CSV"
"Excel XML","Excel XML"
"Country code is invalid: %1","Кодът на държавата е невалиден: %1"
"Import/Export Tax Rates","Данъчните ставки за импортиране/експортиране"
