"Country","国"
"Region/State","地域"
"Zip/Postal Code","郵便番号"
"Shipping Price","配送料"
"Export CSV","CSVでエクスポート"
"Sorry, but we can't deliver to the destination country with this shipping module.","Sorry, but we can't deliver to the destination country with this shipping module."
"Store Pickup","店舗ピックアップ"
"Weight vs. Destination","重量と配送先"
"Price vs. Destination","価格と配送先"
"# of Items vs. Destination","商品点数と配送先"
"Weight (and above)","重量"
"Order Subtotal (and above)","注文小計"
"# of Items (and above)","件の商品 (とそれ以上)"
"The ""%1"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1"" code type for Table Rate is incorrect. Verify the type and try again."
"The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again."
"None","なし"
"Per Order","注文ごと"
"Per Item","商品ごと"
"Unable to import data","データをインポートできません"
"Something went wrong while importing table rates.","テーブルレートをインポート中に問題が発生しました"
"We couldn't import this file because of these errors: %1","次のエラーのためファイルをインポートできませんでした: %1"
"Requested column ""%1"" cannot be resolved","要求された列 ""%1"" を解決できません"
"Column ""%1"" not found","列 ""%1""が見つかりません"
"The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again.","The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again."
"The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again.","The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again."
"The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again.","The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again."
"Please correct %1 ""%2"" in the Row #%3.","#%3行目の%1 ""%2""を修正してください"
"The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again.","The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again."
"Duplicate Row #%1 (duplicates row #%2)","重複行#%1（重複行#%2）"
"The Table Rates File Format is incorrect. Verify the format and try again.","The Table Rates File Format is incorrect. Verify the format and try again."
"No","No"
"For matching items only","一致する商品のみ"
"For shipment with matching items","一致する商品の配送"
"Field ","フィールド "
" is required."," は必須です。"
"Flat Rate","定額"
"Enabled","有効"
"Method Name","配送方法名"
"Price","価格"
"Calculate Handling Fee","手数料を計算"
"Handling Fee","手数料"
"Sort Order","表示順"
"Title","タイトル"
"Type","種別"
"Ship to Applicable Countries","利用可能な国にのみ配送する"
"Ship to Specific Countries","特定の国にのみ配送する"
"Show Method if Not Applicable","配送方法が利用できない場合でも表示する"
"Displayed Error Message","エラーメッセージ表示"
"Table Rates","料金表"
"Condition","条件"
"Include Virtual Products in Price Calculation","仮想商品を配送料計算に含める"
"Export","エクスポート"
"Import","インポート"
"Free Shipping","送料無料"
"Minimum Order Amount","最小注文金額"
"Include Tax to Amount","Include Tax to Amount"
"-- Please Select --","-- 選択してください --"
