"Country","Држава"
"Region/State","Регион/држава"
"Zip/Postal Code","Поштански број"
"Shipping Price","Достава Цена"
"Export CSV","Извези ЦСВ"
"Store Pickup","Продавница Пицкуп"
"Weight vs. Destination","Weight vs. Destination"
"Price vs. Destination","Цена вс. Дестинатион"
"# of Items vs. Destination","# of Items vs. Destination"
"Weight (and above)","Weight (and above)"
"Order Subtotal (and above)","Поруџбина Међузбир (анд абове)"
"# of Items (and above)","# of Items (and above)"
"Please correct Table Rate code type: %1.","Молимо исправите Табле Рате цоде тyпе: %1."
"Please correct Table Rate code for type %1: %2.","Молимо исправите Табле Рате цоде фор тyпе %1: %2."
"None","Ништа"
"Per Order","По поруџбини"
"Per Item","Per Item"
"Unable to import data","Није могуће импорт дата"
"Something went wrong while importing table rates.","Нешто није у реду wхиле импортинг табле ратес."
"We couldn't import this file because of these errors: %1","We couldn't import this file because of these errors: %1"
"Requested column ""%1"" cannot be resolved","Тражена колона ""%1"" не може бити разрешена"
"Column ""%1"" not found","Колона ""%1"" није пронађена"
"Please correct Table Rates format in the Row #%1.","Молимо исправите Табле Ратес формат ин тхе Роw #%1."
"Please correct Country ""%1"" in the Row #%2.","Молимо исправите земљу ""%1"" у реду #%2."
"Please correct Region/State ""%1"" in the Row #%2.","Молимо исправите регион/државу ""%1"" у реду #%2."
"Please correct %1 ""%2"" in the Row #%3.","Молимо исправите %1 ""%2"" у реду #%3."
"Please correct Shipping Price ""%1"" in the Row #%2.","Молимо исправите цену испоруке ""%1"" у реду #%2."
"Duplicate Row #%1 (duplicates row #%2)","Duplicate Row #%1 (duplicates row #%2)"
"Please correct Table Rates File Format.","Молимо исправите Табле Ратес Датотека Формат."
"No","Не"
"For matching items only","For matching items only"
"For shipment with matching items","For shipment with matching items"
"Field ","Поље"
" is required.","је обавезно."
"Flat Rate","Flat Rate"
"Enabled","Омогућено"
"Method Name","Метход Назив"
"Price","Цена"
"Calculate Handling Fee","Израчунајте накнаду за руковање"
"Handling Fee","Трошкови обраде"
"Sort Order","Редослед поруџбина"
"Title","Наслов"
"Type","Тип"
"Ship to Applicable Countries","Достави у Одговарајућу Државу"
"Ship to Specific Countries","Достави у Наведену Државу"
"Show Method if Not Applicable","Прикажи Метод ако Није Применљиво"
"Displayed Error Message","Приказана Порука о Грешци"
"Table Rates","Table Rates"
"Condition","Стање"
"Include Virtual Products in Price Calculation","Укључи Виртуал Производи ин Цена Цалцулатион"
"Export","Извези"
"Import","Увести"
"Free Shipping","Фрее Достава"
"Minimum Order Amount","Минимум Поруџбина Амоунт"
"-- Please Select --","-- Молим одаберите --"
"Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")","Дуплирани ред #%1 (Земља ""%2"", Регион/Држава ""%3"", Зип ""%4"" и Вредност ""%5"")"
"Sorry, but we can't deliver to the destination country with this shipping module.","Sorry, but we can't deliver to the destination country with this shipping module."
"The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again.","Формат датотеке табела стопа је нетачан у реду број ""%1"". Проверите формат и покушајте поново."
"The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again.","Земља ""%1"" у реду број ""%2"" је нетачна. Проверите земљу и покушајте поново."
"The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again.","Регион или држава ""%1"" у реду број ""%2"" је нетачан. Проверите регион или државу и покушајте поново."
"The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again.","Цена испоруке ""%1"" у реду број ""%2"" је нетачна. Проверите цену испоруке и покушајте поново."
"The Table Rates File Format is incorrect. Verify the format and try again.","Тхе Табле Ратес Датотека Формат ис нетачан. Верифy тхе формат анд покушајте поново."
"The ""%1"" code type for Table Rate is incorrect. Verify the type and try again.","Тип кода ""%1"" за табелу стопа је нетачан. Проверите тип и покушајте поново."
"The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again.","Тип кода ""%1: %2"" за табелу стопа је нетачан. Проверите тип и покушајте поново."
