"Country","País"
"Region/State","Região/Concelho"
"Zip/Postal Code","Código Postal"
"Shipping Price","Preço do Envio"
"Export CSV","Exportar CSV"
"Store Pickup","Levantamento em Loja"
"Weight vs. Destination","Peso vs. Destino"
"Price vs. Destination","Preço vs. destino"
"# of Items vs. Destination","n º de Itens vs. Destino"
"Weight (and above)","Peso (e acima)"
"Order Subtotal (and above)","Subtotal da Encomenda (e acima)"
"# of Items (and above)","# de artigos (e acima)"
"Please correct Table Rate code type: %1.","Please correct Table Rate code type: %1."
"Please correct Table Rate code for type %1: %2.","Please correct Table Rate code for type %1: %2."
"None","Nenhum"
"Per Order","Por encomenda"
"Per Item","Por Artigo"
"Unable to import data","Não é possível importar os dados"
"Something went wrong while importing table rates.","Algo correu mal durante a importação das taxas tabeladas."
"We couldn't import this file because of these errors: %1","Não foi possível importar este ficheiro por causa destes erros: %1"
"Requested column ""%1"" cannot be resolved","Coluna solicitada ""%1"" não pode ser resolvida"
"Column ""%1"" not found","Coluna ""%1"" não foi encontrada"
"Please correct Table Rates format in the Row #%1.","Please correct Table Rates format in the Row #%1."
"Please correct Country ""%1"" in the Row #%2.","Please correct Country ""%1"" in the Row #%2."
"Please correct Region/State ""%1"" in the Row #%2.","Please correct Region/State ""%1"" in the Row #%2."
"Please correct %1 ""%2"" in the Row #%3.","Por favor, corrija o %1 ""%2"" na linha #%3."
"Please correct Shipping Price ""%1"" in the Row #%2.","Please correct Shipping Price ""%1"" in the Row #%2."
"Duplicate Row #%1 (duplicates row #%2)","Duplicar linha #% 1 (linhas duplicadas #% 2)"
"Please correct Table Rates File Format.","Please correct Table Rates File Format."
"No","Não"
"For matching items only","Apenas para itens correspondentes"
"For shipment with matching items","Para expedir com os itens que correspondam"
"Field ","Campo "
" is required."," é obrigatório."
"Flat Rate","Taxa Fixa"
"Enabled","Ativo"
"Method Name","Nome do Método"
"Price","Preço"
"Calculate Handling Fee","Calcular Taxa de Processamento"
"Handling Fee","Taxa de Processamento"
"Sort Order","Ordenação"
"Title","Título"
"Type","Tipo"
"Ship to Applicable Countries","Envio para Países Aplicáveis"
"Ship to Specific Countries","Envio para Países Específicos"
"Show Method if Not Applicable","Mostrar Método se Não Aplicável"
"Displayed Error Message","Mensagem de Erro Apresentada"
"Table Rates","Taxas Tabeladas"
"Condition","Condição"
"Include Virtual Products in Price Calculation","Incluir Produtos Virtuais no Cálculo do Preço"
"Export","Exportar"
"Import","Importar"
"Free Shipping","Portes Grátis"
"Minimum Order Amount","Valor Mínimo do Pedido"
"-- Please Select --","-- Por favor, selecione --"
"Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")","Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")"
"Sorry, but we can't deliver to the destination country with this shipping module.","Sorry, but we can't deliver to the destination country with this shipping module."
"The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again.","The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again."
"The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again.","The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again."
"The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again.","The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again."
"The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again.","The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again."
"The Table Rates File Format is incorrect. Verify the format and try again.","The Table Rates File Format is incorrect. Verify the format and try again."
"The ""%1"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1"" code type for Table Rate is incorrect. Verify the type and try again."
"The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again."
