"Country","Negara"
"Region/State","Wilayah/negara"
"Zip/Postal Code","Kode pos"
"Shipping Price","Harga Pengiriman"
"Export CSV","Ekspor CSV"
"Store Pickup","Store Pickup"
"Weight vs. Destination","Berat vs. Tujuan"
"Price vs. Destination","Harga vs. Tujuan"
"# of Items vs. Destination","# Item vs. Tujuan"
"Weight (and above)","Berat (dan di atas)"
"Order Subtotal (and above)","Order Subtotal (dan di atas)"
"# of Items (and above)","# Item (dan yang lebih baru)"
"Please correct Table Rate code type: %1.","Please correct Table Rate code type: %1."
"Please correct Table Rate code for type %1: %2.","Please correct Table Rate code for type %1: %2."
"None","Tidak ada"
"Per Order","Sesuai pesanan"
"Per Item","Per item"
"Unable to import data","Tidak dapat mengimpor data"
"Something went wrong while importing table rates.","Ada yang tidak beres saat mengimpor tarif tabel."
"We couldn't import this file because of these errors: %1","Kami tidak dapat mengimpor file ini karena terjadi kesalahani: %1"
"Requested column ""%1"" cannot be resolved","Kolom yang diminta ""%1"" tidak dapat dipecahkan"
"Column ""%1"" not found","Kolom ""%1"" tidak ditemukan"
"Please correct Table Rates format in the Row #%1.","Please correct Table Rates format in the Row #%1."
"Please correct Country ""%1"" in the Row #%2.","Please correct Country ""%1"" in the Row #%2."
"Please correct Region/State ""%1"" in the Row #%2.","Please correct Region/State ""%1"" in the Row #%2."
"Please correct %1 ""%2"" in the Row #%3.","Silakan perbaiki %1 ""%2"" di Baris #%3."
"Please correct Shipping Price ""%1"" in the Row #%2.","Please correct Shipping Price ""%1"" in the Row #%2."
"Duplicate Row #%1 (duplicates row #%2)","Baris duplikat #%1 (baris duplikat #%2)"
"Please correct Table Rates File Format.","Please correct Table Rates File Format."
"No","Tidak"
"For matching items only","Untuk item yang cocok saja"
"For shipment with matching items","Untuk pengiriman dengan item yang sesuai"
"Field ","Bidang "
" is required."," dibutuhkan."
"Flat Rate","Flat Rate"
"Enabled","Diaktifkan"
"Method Name","Nama metode"
"Price","Harga"
"Calculate Handling Fee","Hitung Biaya Penanganan"
"Handling Fee","Biaya penanganan"
"Sort Order","Pengurutan"
"Title","Judul"
"Type","Jenis"
"Ship to Applicable Countries","Kirimkan ke Negara yang Berlaku"
"Ship to Specific Countries","Kirimkan ke Negara-negara Tertentu"
"Show Method if Not Applicable","Tampilkan Metode jika Tidak Berlaku"
"Displayed Error Message","Muncul pesan galat"
"Table Rates","Tarif Tabel"
"Condition","Kondisi"
"Include Virtual Products in Price Calculation","Sertakan Produk Virtual dalam Perhitungan Harga"
"Export","Ekspor"
"Import","Impor"
"Free Shipping","Bebas biaya kirim"
"Minimum Order Amount","Jumlah pesanan minimum"
"-- Please Select --","-- Silahkan pilih --"
"Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")","Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")"
"Sorry, but we can't deliver to the destination country with this shipping module.","Sorry, but we can't deliver to the destination country with this shipping module."
"The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again.","The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again."
"The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again.","The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again."
"The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again.","The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again."
"The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again.","The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again."
"The Table Rates File Format is incorrect. Verify the format and try again.","The Table Rates File Format is incorrect. Verify the format and try again."
"The ""%1"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1"" code type for Table Rate is incorrect. Verify the type and try again."
"The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again."
