"Country","País"
"Region/State","Región/Provincia"
"Zip/Postal Code","Código Postal"
"Shipping Price","Precio de envío"
"Export CSV","Exportar CSV"
"Store Pickup","Se recoge en tienda"
"Weight vs. Destination","Peso vs. destino"
"Price vs. Destination","Precio vs. destino"
"# of Items vs. Destination","Número de elementos vs. destino"
"Weight (and above)","Peso (y más)"
"Order Subtotal (and above)","Subtotal del pedido (y anteriores)"
"# of Items (and above)","Número de elementos (o más)"
"Please correct Table Rate code type: %1.","Por favor corrige el tipo de código de la tabla de tarifas: %1."
"Please correct Table Rate code for type %1: %2.","Por favor corrige el código de la tabla de tarifas para el tipo %1: %2."
"None","Ninguno"
"Per Order","Por pedido"
"Per Item","Por artículo"
"Unable to import data","No se puede importar datos"
"Something went wrong while importing table rates.","Algo salió mal al importar la tabla de tarifas."
"We couldn't import this file because of these errors: %1","No pudimos importar este archivo a causa de estos errores: %1"
"Requested column ""%1"" cannot be resolved","Columna solicitada ""%1"" no se puede resolver"
"Column ""%1"" not found","Columna ""%1"" no encontrada"
"Please correct Table Rates format in the Row #%1.","Por favor corrige el formato de la tabla de tarifas en la fila n.º %1."
"Please correct Country ""%1"" in the Row #%2.","Por favor corrige el país ""%1"" en la fila n.º %2."
"Please correct Region/State ""%1"" in the Row #%2.","Por favor corrige Región/Estado ""%1"" en la fila n.º %2."
"Please correct %1 ""%2"" in the Row #%3.","Por favor corrige %1 ""%2"" en la fila n.º %3."
"Please correct Shipping Price ""%1"" in the Row #%2.","Por favor corrige el precio de envió ""%1"" en la fila n.º %2."
"Duplicate Row #%1 (duplicates row #%2)","Fila duplicada n.º %1 (filas duplicadas n.º %2)"
"Please correct Table Rates File Format.","Por favor corrige el formato de archivo de la tabla de tarifas."
"No","No"
"For matching items only","Sólo para artículos correspondientes"
"For shipment with matching items","Para envíos con artículos correspondientes"
"Field ","Campo "
" is required."," es requerido."
"Flat Rate","Tarifa plana"
"Enabled","Habilitado"
"Method Name","Nombre del método"
"Price","Precio"
"Calculate Handling Fee","Calcular los gastos de envío"
"Handling Fee","Gastos de tramitación"
"Sort Order","Orden de aparición"
"Title","Título"
"Type","Tipo"
"Ship to Applicable Countries","Envío a países aplicables"
"Ship to Specific Countries","Envío a países específicos"
"Show Method if Not Applicable","Mostrar el método de envío, incluso si no se aplica"
"Displayed Error Message","Mensaje de error mostrado"
"Table Rates","Tarifa basada en tablas"
"Condition","Condición"
"Include Virtual Products in Price Calculation","Incluir productos virtuales en el cálculo de precios"
"Export","Exportar"
"Import","Importar"
"Free Shipping","Transporte gratuito"
"Minimum Order Amount","Pedido mínimo"
"-- Please Select --","-- Selecciona --"
"Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")","Fila duplicada n.º %1 (país ""%2"", región/estado ""%3"", CP ""%4"" y el valor ""%5"")"
"Sorry, but we can't deliver to the destination country with this shipping module.","Lo sentimos, pero nosotros no podemos entregar al país de destino con este módulo de envío."
"The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again.","The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again."
"The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again.","The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again."
"The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again.","The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again."
"The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again.","The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again."
"The Table Rates File Format is incorrect. Verify the format and try again.","The Table Rates File Format is incorrect. Verify the format and try again."
"The ""%1"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1"" code type for Table Rate is incorrect. Verify the type and try again."
"The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again."
