"Country","රට"
"Region/State","කලාපය/ප්රාන්තය"
"Zip/Postal Code","සිප් / තැපැල් කේතය"
"Shipping Price","නැව්ගත කිරීමේ මිල"
"Export CSV","CSV අපනයනය කරන්න"
"Store Pickup","ගබඩා පිකප්"
"Weight vs. Destination","ගමනාන්තයට එරෙහිව බර"
"Price vs. Destination","මිල එදිරිව ගමනාන්තය"
"# of Items vs. Destination","අයිතම # එදිරිව ගමනාන්තය"
"Weight (and above)","බර (සහ ඉහළ)"
"Order Subtotal (and above)","ඇණවුම් උප එකතුව (සහ ඉහළ)"
"# of Items (and above)","අයිතම # (සහ ඉහළ)"
"Please correct Table Rate code type: %1.","Please correct Table Rate code type: %1."
"Please correct Table Rate code for type %1: %2.","Please correct Table Rate code for type %1: %2."
"None","කිසිවක් නැත"
"Per Order","ඇණවුම අනුව"
"Per Item","අයිතමයකට"
"Unable to import data","දත්ත ආයාත කිරීමට නොහැක"
"Something went wrong while importing table rates.","වගු ගාස්තු ආයාත කිරීමේදී යම් දෙයක් වැරදී ඇත."
"We couldn't import this file because of these errors: %1","මෙම දෝෂ නිසා අපට මෙම ගොනුව ආයාත කිරීමට නොහැකි විය: %1"
"Requested column ""%1"" cannot be resolved","ඉල්ලූ ""%1"" තීරුව විසඳිය නොහැක"
"Column ""%1"" not found","""%1"" තීරුව හමු නොවීය"
"Please correct Table Rates format in the Row #%1.","Please correct Table Rates format in the Row #%1."
"Please correct Country ""%1"" in the Row #%2.","Please correct Country ""%1"" in the Row #%2."
"Please correct Region/State ""%1"" in the Row #%2.","Please correct Region/State ""%1"" in the Row #%2."
"Please correct %1 ""%2"" in the Row #%3.","කරුණාකර #%3පේළියේ %1 ""%2"" නිවැරදි කරන්න ."
"Please correct Shipping Price ""%1"" in the Row #%2.","Please correct Shipping Price ""%1"" in the Row #%2."
"Duplicate Row #%1 (duplicates row #%2)","අනුපිටපත් පේළිය #%1 (අනුපිටපත් පේළිය #%2)"
"Please correct Table Rates File Format.","Please correct Table Rates File Format."
"No","නැත"
"For matching items only","ගැළපෙන අයිතම සඳහා පමණි"
"For shipment with matching items","ගැලපෙන අයිතම සමඟ නැව්ගත කිරීම සඳහා"
"Field ","ක්ෂේත්රය "
" is required."," අවශ්යයි."
"Flat Rate","සමවර්ත අනුපාතිකය"
"Enabled","සබල කර ඇත"
"Method Name","ක්රමයේ නම"
"Price","මිල"
"Calculate Handling Fee","හැසිරවීමේ ගාස්තුව ගණනය කරන්න"
"Handling Fee","හැසිරවීමේ ගාස්තුව"
"Sort Order","අනුපිළිවෙල අනුපිළිවෙල"
"Title","ශීර්ෂය"
"Type","ටයිප් කරන්න"
"Ship to Applicable Countries","අදාළ රටවලට නැව්ගත කරන්න"
"Ship to Specific Countries","විශේෂිත රටවලට නැව්ගත කරන්න"
"Show Method if Not Applicable","අදාළ නොවේ නම් ක්‍රමය පෙන්වන්න"
"Displayed Error Message","දෝෂ පණිවිඩය පෙන්වයි"
"Table Rates","වගු ගාස්තු"
"Condition","තත්ත්වය"
"Include Virtual Products in Price Calculation","මිල ගණන් ගණනය කිරීමේදී අතථ්‍ය නිෂ්පාදන ඇතුළත් කරන්න"
"Export","අපනයන"
"Import","ආනයන"
"Free Shipping","ගාස්තු රහිත නැව්ගත කිරීම"
"Minimum Order Amount","අවම ඇණවුම් මුදල"
"-- Please Select --","-- කරුණාකර තෝරන්න --"
"Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")","Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")"
"Sorry, but we can't deliver to the destination country with this shipping module.","කණගාටුයි, නමුත් අපට මෙම නැව්ගත කිරීමේ මොඩියුලය සමඟ ගමනාන්ත රට වෙත භාර දිය නොහැක."
"The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again.","වගු අනුපාත ගොනු ආකෘතිය ""%1"" පේළියේ වැරදියි. ආකෘතිය තහවුරු කර නැවත උත්සාහ කරන්න."
"The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again.","පේළි අංක ""%2"" හි ""%1"" රට වැරදිය. රට තහවුරු කර නැවත උත්සාහ කරන්න."
"The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again.","පේළි අංක ""%2"" හි ""%1"" කලාපය හෝ ප්‍රාන්තය වැරදිය. කලාපය හෝ ප්‍රාන්තය තහවුරු කර නැවත උත්සාහ කරන්න."
"The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again.","පේළි අංක ""%2"" හි ""%1"" නැව්ගත කිරීමේ මිල වැරදිය. නැව්ගත කිරීමේ මිල සත්‍යාපනය කර නැවත උත්සාහ කරන්න."
"The Table Rates File Format is incorrect. Verify the format and try again.","වගු ගාස්තු ගොනු ආකෘතිය වැරදියි. ආකෘතිය තහවුරු කර නැවත උත්සාහ කරන්න."
"The ""%1"" code type for Table Rate is incorrect. Verify the type and try again.","වගු අනුපාතය සඳහා ""%1"" කේත වර්ගය වැරදියි. වර්ගය තහවුරු කර නැවත උත්සාහ කරන්න."
"The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again.","වගු අනුපාතය සඳහා ""%1: %2"" කේත වර්ගය වැරදියි. වර්ගය තහවුරු කර නැවත උත්සාහ කරන්න."
