"Country","Държава"
"Region/State","Област"
"Zip/Postal Code","Пощенски код"
"Shipping Price","Цена за доставка"
"Export CSV","Експорт CVS"
"Store Pickup","Вземане от магазина"
"Weight vs. Destination","Тегло срещу местоназначение"
"Price vs. Destination","Цена срещу местоназначение"
"# of Items vs. Destination","# на артикули срещу местоназначение"
"Weight (and above)","Тегло (и по-горе)"
"Order Subtotal (and above)","Поръчайте междинна сума (и по-горе)"
"# of Items (and above)","# на артикули (и по-горе)"
"Please correct Table Rate code type: %1.","Please correct Table Rate code type: %1."
"Please correct Table Rate code for type %1: %2.","Please correct Table Rate code for type %1: %2."
"None","Никакъв"
"Per Order","На поръчка"
"Per Item","На артикул"
"Unable to import data","Не може да импортира данни"
"Something went wrong while importing table rates.","Нещо се обърка, докато импортирахте проценти в таблицата"
"We couldn't import this file because of these errors: %1","Не може да импортирате този файл поради следните грешки: %1"
"Requested column ""%1"" cannot be resolved","Исканата колона ""%1"" не може да бъде разрешена"
"Column ""%1"" not found","Колона ""%1"" не е намерена"
"Please correct Table Rates format in the Row #%1.","Please correct Table Rates format in the Row #%1."
"Please correct Country ""%1"" in the Row #%2.","Please correct Country ""%1"" in the Row #%2."
"Please correct Region/State ""%1"" in the Row #%2.","Please correct Region/State ""%1"" in the Row #%2."
"Please correct %1 ""%2"" in the Row #%3.","Коригирайте %1 ""%2"" в ред #%3."
"Please correct Shipping Price ""%1"" in the Row #%2.","Please correct Shipping Price ""%1"" in the Row #%2."
"Duplicate Row #%1 (duplicates row #%2)","Дублиран ред #%1 (дублиран ред #%2)"
"Please correct Table Rates File Format.","Please correct Table Rates File Format."
"No","Не"
"For matching items only","За съвпадащи елементи само"
"For shipment with matching items","За пратка със съвпадащи елементи"
"Field ","Поле "
" is required."," е задължително."
"Flat Rate","Единна ставка"
"Enabled","Активиран"
"Method Name","Метод име"
"Price","Цена"
"Calculate Handling Fee","Изчисляване на такса за обработване"
"Handling Fee","Такса за обработване"
"Sort Order","Ред на сортиране"
"Title","Заглавиe"
"Type","Тип"
"Ship to Applicable Countries","Доставка до приложимите страни"
"Ship to Specific Countries","Доставка до конкретни страни"
"Show Method if Not Applicable","Покажи метод, ако не са приложими"
"Displayed Error Message","Показаното е съобщение за грешка"
"Table Rates","Проценти таблица"
"Condition","Състояние"
"Include Virtual Products in Price Calculation","Включва виртуални продукти при изчисляване на цената"
"Export","Експорт"
"Import","Импорт"
"Free Shipping","Безплатна доставка"
"Minimum Order Amount","Минимално количество на поръчката"
"-- Please Select --","-- Моля изберете --"
"Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")","Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")"
"Sorry, but we can't deliver to the destination country with this shipping module.","Съжаляваме, но ние не може да достави до страната по местоназначение с този модул за доставка."
"The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again.","The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again."
"The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again.","The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again."
"The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again.","The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again."
"The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again.","The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again."
"The Table Rates File Format is incorrect. Verify the format and try again.","The Table Rates File Format is incorrect. Verify the format and try again."
"The ""%1"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1"" code type for Table Rate is incorrect. Verify the type and try again."
"The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again."
