"Country","Kraj"
"Region/State","Region/województwo"
"Zip/Postal Code","Kod pocztowy"
"Shipping Price","Cena dostawy"
"Export CSV","Eksport CSV"
"Sorry, but we can't deliver to the destination country with this shipping module.","Sorry, but we can't deliver to the destination country with this shipping module."
"Store Pickup","Odbiór osobisty w sklepie"
"Weight vs. Destination","Waga w zależności od lokalizacji"
"Price vs. Destination","Cena w zależności od lokalizacji"
"# of Items vs. Destination","Ilość produktów w zależności od lokalizacji"
"Weight (and above)","Waga (i powyżej)"
"Order Subtotal (and above)","Suma częściowa zamówienia (i powyżej)"
"# of Items (and above)","Ilość produktów (i powyżej)"
"The ""%1"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1"" code type for Table Rate is incorrect. Verify the type and try again."
"The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again."
"None","Brak"
"Per Order","Na zamówienie"
"Per Item","Za sztukę"
"Unable to import data","Nie można zaimportować danych"
"Something went wrong while importing table rates.","Coś się zepsuło podczas importowania tabeli cen."
"We couldn't import this file because of these errors: %1","Nie można zaimportować tego pliku ze względu na te błędy: %1"
"Requested column ""%1"" cannot be resolved","Requested column ""%1"" cannot be resolved"
"Column ""%1"" not found","Kolumna ""%1"" nie została znaleziona"
"The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again.","The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again."
"The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again.","The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again."
"The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again.","The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again."
"Please correct %1 ""%2"" in the Row #%3.","Proszę poprawić %1 ""%2"" w wierszu #%3."
"The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again.","The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again."
"Duplicate Row #%1 (duplicates row #%2)","Wiersz #%1 jest duplikatem (powtarza wiersz #%2)"
"The Table Rates File Format is incorrect. Verify the format and try again.","The Table Rates File Format is incorrect. Verify the format and try again."
"No","Nie"
"For matching items only","Dla produktów spełniających kryteria"
"For shipment with matching items","Dla dostawy i produktów spełniających kryteria"
"Field ","Pole "
" is required."," jest wymagane."
"Flat Rate","Płaska stawka"
"Enabled","Włączone"
"Method Name","Nazwa metody"
"Price","Cena"
"Calculate Handling Fee","Oblicz koszt przygotowania przesyłki"
"Handling Fee","Opłata manipulacyjna"
"Sort Order","Kolejność sortowania"
"Title","Tytuł"
"Type","Rodzaj"
"Ship to Applicable Countries","Dostawa do stosownych krajów"
"Ship to Specific Countries","Dostawa do wybranych krajów"
"Show Method if Not Applicable","Pokaż metodę jeśli niedostępna"
"Displayed Error Message","Wyświetlony błąd"
"Table Rates","Tabele stawek"
"Condition","Stan produktu"
"Include Virtual Products in Price Calculation","Włącz produkty wirtualne do obliczania ceny"
"Export","Eksportuj"
"Import","Importuj"
"Free Shipping","Darmowa dostawa"
"Minimum Order Amount","Minimalna wielkość zamówienia"
"Include Tax to Amount","Include Tax to Amount"
"-- Please Select --","-- Prosimy wybrać --"
