"Country","Land"
"Region/State","Provincie"
"Zip/Postal Code","Postcode"
"Shipping Price","Verzendkosten"
"Export CSV","CSV exporteren"
"Store Pickup","Afhalen"
"Weight vs. Destination","Gewicht versus bestemming"
"Price vs. Destination","Prijs versus bestemming"
"# of Items vs. Destination","# artikelen versus bestemming"
"Weight (and above)","Gewicht (en daarboven)"
"Order Subtotal (and above)","Subtotaal bestelling (en hierboven)"
"# of Items (and above)","# artikelen (en hierboven)"
"Please correct Table Rate code type: %1.","Please correct Table Rate code type: %1."
"Please correct Table Rate code for type %1: %2.","Please correct Table Rate code for type %1: %2."
"None","Geen"
"Per Order","Per bestelling"
"Per Item","Per artikel"
"Unable to import data","Kan gegevens niet importeren"
"Something went wrong while importing table rates.","Er is iets fout gegaan tijdens het importeren van de tarieven."
"We couldn't import this file because of these errors: %1","We konden dit bestand niet importeren vanwege de volgende fouten: %1"
"Requested column ""%1"" cannot be resolved","Gevraagde kolom ""%1"" kan niet worden opgehaald"
"Column ""%1"" not found","Kolom ""%1"" niet gevonden"
"Please correct Table Rates format in the Row #%1.","Please correct Table Rates format in the Row #%1."
"Please correct Country ""%1"" in the Row #%2.","Please correct Country ""%1"" in the Row #%2."
"Please correct Region/State ""%1"" in the Row #%2.","Please correct Region/State ""%1"" in the Row #%2."
"Please correct %1 ""%2"" in the Row #%3.","Corrigeer %1 '%2' in de rij #%3."
"Please correct Shipping Price ""%1"" in the Row #%2.","Please correct Shipping Price ""%1"" in the Row #%2."
"Duplicate Row #%1 (duplicates row #%2)","Dubbele rij #%1 (duplicaat van rij #%2)"
"Please correct Table Rates File Format.","Please correct Table Rates File Format."
"No","Nee"
"For matching items only","Alleen voor betreffende artikelen"
"For shipment with matching items","Voor een zending met betreffende artikelen"
"Field ","Veld "
" is required."," is verplicht."
"Flat Rate","Vast tarief"
"Enabled","Ingeschakeld"
"Method Name","Naam van methode"
"Price","Prijs"
"Calculate Handling Fee","Verzendkosten berekenen"
"Handling Fee","Verwerkingskosten"
"Sort Order","Sorteervolgorde"
"Title","Titel"
"Type","Soort"
"Ship to Applicable Countries","Verzenden naar landen die van toepassing zijn"
"Ship to Specific Countries","Verzenden naar bepaalde landen"
"Show Method if Not Applicable","Laat verzendmethode zien indien niet van toepassing"
"Displayed Error Message","Weergegeven foutmelding"
"Table Rates","Tarieven prijstabel"
"Condition","conditie"
"Include Virtual Products in Price Calculation","Virtuele Producten eveneens mee laten tellen bij berekening"
"Export","Export"
"Import","Import"
"Free Shipping","Gratis verzending"
"Minimum Order Amount","Minimum bestelbedrag"
"-- Please Select --","-- Selecteer --"
"Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")","Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")"
"Sorry, but we can't deliver to the destination country with this shipping module.","Sorry, but we can't deliver to the destination country with this shipping module."
"The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again.","The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again."
"The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again.","The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again."
"The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again.","The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again."
"The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again.","The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again."
"The Table Rates File Format is incorrect. Verify the format and try again.","The Table Rates File Format is incorrect. Verify the format and try again."
"The ""%1"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1"" code type for Table Rate is incorrect. Verify the type and try again."
"The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again."
