"Related Products Rule","Правило свързано с продукти"
"Add Rule","Добави на правило"
"Save and Continue Edit","Запази и продължи редактиране"
"Edit Rule '%1'","Редактиране на правило за ""%1"""
"New Rule","Ново правило"
"Rule Information","Информация за правилото"
"Product Result Conditions (leave blank for matching all products)","Продукт резултат условия (Оставете празно за съвпадение на всички продукти)"
"Products to Display","Продукти за показване"
"Product Match Conditions (leave blank for matching all products)","Условия за съвпадение на продукт (Оставете празно за съвпадение на всички продукти)"
"Products to Match","Продукти за съвпадение"
"General Rule Information","Общо правило информация"
"Rule Name","Име на правило"
"Priority","Приоритет"
"Status","Статус"
"Active","Активно"
"Inactive","Неактивен"
"Apply To","Приложи към"
"From","От"
"To","До"
"Result Limit","Резултат граница"
"Maximum number of products this rule can apply to (up to 20).","Максимален брой продукти за прилагане към това правило (до 20)."
"Product Rule Information","Информация за правило на продукт"
"Undefined Catalog Product List Type","Undefined Catalog Product List Type"
"You deleted the rule.","Вие изтрихте това правило."
"We can't find a page to delete.","Не можем да намерим страница за изтриване."
"This rule no longer exists.","Това правило вече не съществува."
"New Related Products Rule","Ново правило за свързани продукти"
"Related Products Rules","Продукти, свързани с правило"
"You saved the rule.","Запазихте правилото."
"We can't save the product rule right now.","Не може да запишете правилото на продукта точно сега."
"Please specify a correct rule.","Задайте правилното правило."
"Invalid product list type","Невалиден продуктов тип списък"
"Invalid rotation mode type","Невалиден тип режим на въртене"
"Conditions Combination","Комбинация от условия"
"Type","Тип"
"Product %1%2%3%4%5%6%7","Продукт %1%2%3%4%5%6%7"
"Constant Value","Константна стойност"
"the Same as Matched Product Categories","същото като съчетани продуктови категории"
"the Child of the Matched Product Categories","детето на съчетаните продуктови категории"
"Matched Product %1","%1 съвпадащи продукти"
"Target Product ","Целеви продукт "
"Price (percentage)","Цена (процент)"
"Product Special","Специален продукт"
"equal to","равно на"
"more","още"
"equals or greater than","е равно на или по-голяма от"
"less","по-малко"
"equals or less than","е равно на или по-малко от"
"Product Price is %1 %2% of Matched Product(s) Price","Цена на продукта е %1 %2 % от съвпадащи продукта"
"Please define a product data object.","Моля посочете обект за данни на продукта."
"We can't rebuild the index for an undefined product.","Не може да създадете отново индекса за неопределен продукт."
"Could not rebuild index for empty products array","Не можем да конструираме отново индекс за празен продуктов масив"
"-- Please Select --","-- Моля изберете --"
"Related Products","Свързани продукти"
"Up-sells","Надграждащи продажби"
"Cross-sells","Кръстосани продажби"
"Model class name for attribute is invalid","Model class name for attribute is invalid"
"This attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_), and be sure the code begins with a letter.","Този атрибут код е невалиден. Моля, използвайте само букви (a-z), цифри (0-9) или знаци за подчертаване (_) и се уверете, че кода започва с буква."
"Product Attributes","Продуктови атрибути"
"Both Selected and Rule-Based","Избрани и правило и основа"
"Selected Only","Избрани само"
"Rule-Based Only","Основан само на правило"
"Do not rotate","Do not rotate"
"Shuffle","Shuffle"
"Validate error 1","Ратифицирам грешка 1"
"Validate error 2","Ратифицирам грешка 2"
"Attribute Set","Групи атрибути"
"Category","Категория"
"Please choose a condition to add.","Моля изберете условие да добавите."
"Close","Затвори"
"Rule-based Settings","Настройки базирани на правило"
"Rule-based Positions","Позиции базирани на правило"
"Use Config Settings","Използвай настройките на конфигурацията"
"[GLOBAL]","[Глобален]"
"Position Behavior","Позиция поведение"
"Rule-Based Product Relations","Отношения базирани на правило"
"Maximum Number of Products in Related Products List","Максимален брой продукти в списъка с продукти, свързани с"
"Show Related Products","Показване на свързани продукти"
"Rotation Mode for Products in Related Product List","Режим на ротация за продукти в списък свързани продукти"
"Maximum Number of Products in Cross-Sell Product List","Максимален брой продукти в списъка Cross-Sell продукт"
"Show Cross-Sell Products","Покажи Cross-Sell продукти"
"Rotation Mode for Products in Cross-Sell Product List","Режим на ротация за продукти в списъка Cross-Sell"
"Maximum Number of Products in Upsell Product List","Максимален брой продукти в списъка Upsell продукт"
"Show Upsell Products","Покажи Upsell продукти"
"Rotation Mode for Products in Upsell Product List","Режим на ротация за продукти в Upsell продуктов списък"
"Target Rule","Целево правило"
"Target Rule Index","Индекс на целта на правило"
"Product/Target Rule","Продукт/целево правило"
"Indexed product/rule association","Индексирана продукт/правило асоциация"
"Target Rule/Product","Целево правило/продукт"
"Indexed rule/product association","Индексирана правило/продукт асоциация"
"ID","ИД"
"Rule","Правило"
"Start","Старт"
"End","Край"
"Applies To","Прилага се към"
"Target Rule Index.","Target Rule Index."
"The Catalog Product List Type needs to be defined. Verify the type and try again.","Типът на списъка с продукти в каталога трябва да бъде дефиниран. Проверете типа и опитайте отново."
"The attribute's model class name is invalid. Verify the name and try again.","The attribute's model class name is invalid. Verify the name and try again."
