"Related Products Rule","Related Proizvodi Rule"
"Add Rule","Dodati pravilo"
"Save and Continue Edit","Sačuvaj i nastavi uređivanje"
"Edit Rule '%1'","Izmeni Rule '%1'"
"New Rule","Novo pravilo"
"Rule Information","Pravilo Informacija"
"Product Result Conditions (leave blank for matching all products)","Proizvod Result Conditions (leave blank for matching all products)"
"Products to Display","Proizvodi to Display"
"Product Match Conditions (leave blank for matching all products)","Proizvod Match Conditions (leave blank for matching all products)"
"Products to Match","Proizvodi to Match"
"General Rule Information","Opšte Rule Informacije"
"Rule Name","Naziv Pravila"
"Priority","Prioritet"
"Status","Status"
"Active","Aktivan"
"Inactive","Neaktivan"
"Apply To","Odnosi se na"
"From","Od"
"To","Do"
"Result Limit","Result Limit"
"Maximum number of products this rule can apply to (up to 20).","Maximum number of products this rule can apply to (up to 20)."
"Product Rule Information","Proizvod Rule Informacije"
"Undefined Catalog Product List Type","Undefined Katalog Proizvod Lista Tip"
"You deleted the rule.","Obrisali ste pravilo."
"We can't find a page to delete.","We can't find a page to delete."
"This rule no longer exists.","Ovo pravilo se više ne postoji."
"New Related Products Rule","Novo Related Proizvodi Rule"
"Related Products Rules","Related Proizvodi Rules"
"You saved the rule.","Sačuvali ste pravilo."
"We can't save the product rule right now.","We can't save the product rule right now."
"Please specify a correct rule.","Molimo navedite a correct rule."
"Invalid product list type","Neispravan product list type"
"Invalid rotation mode type","Neispravan rotation mode type"
"Conditions Combination","Uslovi Kombinacije"
"Type","Tip"
"Product %1%2%3%4%5%6%7","Proizvod %1%2%3%4%5%6%7"
"Constant Value","Constant Vrednost"
"the Same as Matched Product Categories","the Same as Matched Proizvod Kategorije"
"the Child of the Matched Product Categories","the Child of the Matched Proizvod Kategorije"
"Matched Product %1","Matched Proizvod %1"
"Target Product ","Target Proizvod"
"Price (percentage)","Cena (percentage)"
"Product Special","Proizvod Special"
"equal to","equal to"
"more","više"
"equals or greater than","jednako ili veće od"
"less","less"
"equals or less than","manje ili jednako od"
"Product Price is %1 %2% of Matched Product(s) Price","Proizvod Cena is %1 %2% of Matched Proizvod(s) Cena"
"Please define a product data object.","Please define a product data object."
"We can't rebuild the index for an undefined product.","Ne možemo ponovo da napravimo indeks za nedefinisani proizvod."
"Could not rebuild index for empty products array","Ne možemo obnoviti index za prazan niz proizvoda"
"-- Please Select --","-- Molim odaberite --"
"Related Products","Slični proizvodi"
"Up-sells","Up-prodaje"
"Cross-sells","Cross-prodaje"
"Model class name for attribute is invalid","Model class name for attribute is neispravan"
"This attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_), and be sure the code begins with a letter.","This attribute code is neispravan. Please use only letters (a-z), numbers (0-9) or underscores (_), and be sure the code begins with a letter."
"Product Attributes","Atributi proizvoda"
"Both Selected and Rule-Based","Oba Selected and Rule-Based"
"Selected Only","Selected Only"
"Rule-Based Only","Rule-Based Only"
"Do not rotate","Do not rotate"
"Shuffle","Shuffle"
"Validate error 1","Validate error 1"
"Validate error 2","Validate error 2"
"Attribute Set","Skup atributa"
"Category","Kategorija"
"Please choose a condition to add.","Molimo odaberite koji ćete uslov dodati."
"Close","Zatvori"
"Rule-based Settings","Rule-based Podešavanja"
"Rule-based Positions","Rule-based Positions"
"Use Config Settings","Koristi konfiguraciona podešavanja"
"[GLOBAL]","[GLOBAL]"
"Position Behavior","Position Behavior"
"Rule-Based Product Relations","Rule-Based Proizvod Relations"
"Maximum Number of Products in Related Products List","Maximum Number of Proizvodi in Related Proizvodi Lista"
"Show Related Products","Prikaži Related Proizvodi"
"Rotation Mode for Products in Related Product List","Rotation Mode for Proizvodi in Related Proizvod Lista"
"Maximum Number of Products in Cross-Sell Product List","Maximum Number of Proizvodi in Cross-Sell Proizvod Lista"
"Show Cross-Sell Products","Prikaži Cross-Sell Proizvodi"
"Rotation Mode for Products in Cross-Sell Product List","Rotation Mode for Proizvodi in Cross-Sell Proizvod Lista"
"Maximum Number of Products in Upsell Product List","Maximum Number of Proizvodi in Upsell Proizvod Lista"
"Show Upsell Products","Prikaži Upsell Proizvodi"
"Rotation Mode for Products in Upsell Product List","Rotation Mode for Proizvodi in Upsell Proizvod Lista"
"Target Rule","Target Rule"
"Target Rule Index","Target Rule Indeks"
"Product/Target Rule","Proizvod/Target Rule"
"Indexed product/rule association","Indeksirani proizvodi/grupa pravila"
"Target Rule/Product","Target Rule/Proizvod"
"Indexed rule/product association","Indeksirano pravilo/grupa proizvoda"
"ID","ID"
"Rule","Pravilo"
"Start","Početak"
"End","Kraj"
"Applies To","Odnosi se na"
"Target Rule Index.","Target Rule Indeks."
"The Catalog Product List Type needs to be defined. Verify the type and try again.","The Katalog Proizvod Lista Tip needs to be defined. Verify the type and pokušajte ponovo."
"The attribute's model class name is invalid. Verify the name and try again.","The attribute's model class name is neispravan. Verify the name and pokušajte ponovo."
