"Related Products Rule","Релатед Производи Руле"
"Add Rule","Додати правило"
"Save and Continue Edit","Сачувај и настави уређивање"
"Edit Rule '%1'","Измени Руле '%1'"
"New Rule","Ново правило"
"Rule Information","Правило Информација"
"Product Result Conditions (leave blank for matching all products)","Производ Ресулт Цондитионс (леаве бланк фор матцхинг алл продуцтс)"
"Products to Display","Производи то Дисплаy"
"Product Match Conditions (leave blank for matching all products)","Производ Матцх Цондитионс (леаве бланк фор матцхинг алл продуцтс)"
"Products to Match","Производи то Матцх"
"General Rule Information","Опште Руле Информације"
"Rule Name","Назив Правила"
"Priority","Приоритет"
"Status","Статус"
"Active","Активан"
"Inactive","Неактиван"
"Apply To","Односи се на"
"From","Од"
"To","До"
"Result Limit","Result Limit"
"Maximum number of products this rule can apply to (up to 20).","Maximum number of products this rule can apply to (up to 20)."
"Product Rule Information","Производ Руле Информације"
"Undefined Catalog Product List Type","Ундефинед Каталог Производ Листа Тип"
"You deleted the rule.","Обрисали сте правило."
"We can't find a page to delete.","We can't find a page to delete."
"This rule no longer exists.","Ово правило се више не постоји."
"New Related Products Rule","Ново Релатед Производи Руле"
"Related Products Rules","Релатед Производи Рулес"
"You saved the rule.","Сачували сте правило."
"We can't save the product rule right now.","We can't save the product rule right now."
"Please specify a correct rule.","Молимо наведите а цоррецт руле."
"Invalid product list type","Неисправан продуцт лист тyпе"
"Invalid rotation mode type","Неисправан ротатион моде тyпе"
"Conditions Combination","Услови Комбинације"
"Type","Тип"
"Product %1%2%3%4%5%6%7","Производ %1%2%3%4%5%6%7"
"Constant Value","Цонстант Вредност"
"the Same as Matched Product Categories","тхе Саме ас Матцхед Производ Категорије"
"the Child of the Matched Product Categories","тхе Цхилд оф тхе Матцхед Производ Категорије"
"Matched Product %1","Матцхед Производ %1"
"Target Product ","Таргет Производ"
"Price (percentage)","Цена (перцентаге)"
"Product Special","Производ Специал"
"equal to","equal to"
"more","више"
"equals or greater than","једнако или веће од"
"less","less"
"equals or less than","мање или једнако од"
"Product Price is %1 %2% of Matched Product(s) Price","Производ Цена ис %1 %2% оф Матцхед Производ(с) Цена"
"Please define a product data object.","Please define a product data object."
"We can't rebuild the index for an undefined product.","Не можемо поново да направимо индекс за недефинисани производ."
"Could not rebuild index for empty products array","Не можемо обновити индеx за празан низ производа"
"-- Please Select --","-- Молим одаберите --"
"Related Products","Слични производи"
"Up-sells","Уп-продаје"
"Cross-sells","Цросс-продаје"
"Model class name for attribute is invalid","Модел цласс наме фор аттрибуте ис неисправан"
"This attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_), and be sure the code begins with a letter.","Тхис аттрибуте цоде ис неисправан. Плеасе усе онлy леттерс (а-з), нумберс (0-9) ор ундерсцорес (_), анд бе суре тхе цоде бегинс wитх а леттер."
"Product Attributes","Атрибути производа"
"Both Selected and Rule-Based","Оба Селецтед анд Руле-Басед"
"Selected Only","Selected Only"
"Rule-Based Only","Rule-Based Only"
"Do not rotate","Do not rotate"
"Shuffle","Shuffle"
"Validate error 1","Validate error 1"
"Validate error 2","Validate error 2"
"Attribute Set","Скуп атрибута"
"Category","Категорија"
"Please choose a condition to add.","Молимо одаберите који ћете услов додати."
"Close","Затвори"
"Rule-based Settings","Руле-басед Подешавања"
"Rule-based Positions","Rule-based Positions"
"Use Config Settings","Користи конфигурациона подешавања"
"[GLOBAL]","[GLOBAL]"
"Position Behavior","Position Behavior"
"Rule-Based Product Relations","Руле-Басед Производ Релатионс"
"Maximum Number of Products in Related Products List","Маxимум Нумбер оф Производи ин Релатед Производи Листа"
"Show Related Products","Прикажи Релатед Производи"
"Rotation Mode for Products in Related Product List","Ротатион Моде фор Производи ин Релатед Производ Листа"
"Maximum Number of Products in Cross-Sell Product List","Маxимум Нумбер оф Производи ин Цросс-Селл Производ Листа"
"Show Cross-Sell Products","Прикажи Цросс-Селл Производи"
"Rotation Mode for Products in Cross-Sell Product List","Ротатион Моде фор Производи ин Цросс-Селл Производ Листа"
"Maximum Number of Products in Upsell Product List","Маxимум Нумбер оф Производи ин Упселл Производ Листа"
"Show Upsell Products","Прикажи Упселл Производи"
"Rotation Mode for Products in Upsell Product List","Ротатион Моде фор Производи ин Упселл Производ Листа"
"Target Rule","Target Rule"
"Target Rule Index","Таргет Руле Индекс"
"Product/Target Rule","Производ/Таргет Руле"
"Indexed product/rule association","Индексирани производи/група правила"
"Target Rule/Product","Таргет Руле/Производ"
"Indexed rule/product association","Индексирано правило/група производа"
"ID","ИД"
"Rule","Правило"
"Start","Почетак"
"End","Крај"
"Applies To","Односи се на"
"Target Rule Index.","Таргет Руле Индекс."
"The Catalog Product List Type needs to be defined. Verify the type and try again.","Тхе Каталог Производ Листа Тип неедс то бе дефинед. Верифy тхе тyпе анд покушајте поново."
"The attribute's model class name is invalid. Verify the name and try again.","Тхе аттрибуте'с модел цласс наме ис неисправан. Верифy тхе наме анд покушајте поново."
