"Root","Kök dizin"
"Delete","Sil"
"Save","Kaydet"
"Use Config Settings","Yapılandırma Ayarlarını Kullan"
"Use All Available Attributes","Tüm Kullanılabilir Özellikleri Kullan"
"ID","No"
"Name","Adı"
"SKU","Ürün Kodu"
"Visibility","Görünürlük"
"Status","Durum"
"Price","Fiyat"
"Position","Konum"
"Add Subcategory","Alt Kategori Ekle"
"Add Root Category","Ana Kategori Ekle"
"Day","Gün"
"Month","Ay"
"Year","Yıl"
"<label class=""label""><span>from</span></label>","<label class=""label""> <span>dan</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""> <span>için</span></label>"
"[GLOBAL]","[GENEL]"
"[WEBSITE]","[WEB SİTESİ]"
"[STORE VIEW]","[MAĞAZA GÖRÜNÜMÜ]"
"WYSIWYG Editor","WYSIWYG Editör"
"Add Product","Ürün Ekle"
"label","etiket"
"Product Attributes","Ürün Özellikleri"
"Add New Attribute","Yeni Özellik Ekle"
"Cancel","İptal"
"Save Attribute","Özelliği Kaydet"
"Save in New Attribute Set","Yeni bir Özellik Setine Kaydet"
"Enter Name for New Attribute Set","Yeni Özellik Seti için isim giriniz"
"Save and Continue Edit","Kaydet ve Devam Et"
"Delete Attribute","Özelliği Sil"
"Edit Product Attribute ""%1""","Ürün özelliğini düzenle ""%1"""
"New Product Attribute","Yeni Ürün Özelliği"
"Advanced Attribute Properties","Gelişmiş Özellik Seçenekleri"
"Attribute Code","Özellik Kodu"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Bu dahili olarak kullanılır. Boşluk veya %1'den fazla sembol kullanmadığınızdan emin olun."
"Default Value","Varsayılan Değer"
"Unique Value","Eşsiz Değer"
"Unique Value (not shared with other products)","Eşsiz Değer (diğer ürünlerle paylaşılmasın)"
"Not shared with other products.","Diğer ürünlerle paylaşılmasın."
"Input Validation for Store Owner","Yöneticiler için Veri Giriş Kontrolü"
"Add to Column Options","Sütun Seçeneklerine Ekle"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Ürün kılavuzundaki sütun seçenekleri listesine bu özniteliği eklemek için ""Evet"" i seçin."
"Use in Filter Options","Filtre Seçeneklerinde Kullan"
