"Root","මූල"
"Delete","මකන්න"
"Save","සුරකින්න"
"Use Config Settings","වින්‍යාස සැකසුම් භාවිතා කරන්න"
"Use All Available Attributes","පවතින සියලුම ගුණාංග භාවිතා කරන්න"
"ID","හැඳුනුම්පත"
"Name","නම"
"SKU","SKU"
"Visibility","දෘශ්‍යතාව"
"Status","තත්ත්වය"
"Price","මිල"
"Position","තනතුර"
"Add Subcategory","උපප්රවර්ගය එකතු කරන්න"
"Add Root Category","Root කාණ්ඩය එකතු කරන්න"
"Day","දින"
"Month","මාසික"
"Year","අවුරුදු"
"<label class=""label""><span>from</span></label>","<label class=""label""><span>from</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""><span>to</span></label>"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[ගබඩා දසුන]"
"WYSIWYG Editor","WYSIWYG සංස්කාරකය"
"Add Product","නිෂ්පාදන එකතු කරන්න"
"label","ලේබලය"
"Product Attributes","නිෂ්පාදන ගුණාංග"
"Add New Attribute","නව ගුණාංගයක් එක් කරන්න"
"Cancel","අවලංගු කරන්න"
"Save Attribute","ගුණාංගය සුරකින්න"
"Save in New Attribute Set","නව ගුණාංග කට්ටලය තුළ සුරකින්න"
"Enter Name for New Attribute Set","නව ගුණාංග කට්ටලය සඳහා නම ඇතුළත් කරන්න"
"Save and Continue Edit","සුරකින්න සහ දිගටම සංස්කරණය කරන්න"
"Delete Attribute","ගුණාංගය මකන්න"
"Edit Product Attribute ""%1""","නිෂ්පාදන ගුණාංගය ""%1"" සංස්කරණය කරන්න"
"New Product Attribute","නව නිෂ්පාදන ගුණාංගය"
"Advanced Attribute Properties","උසස් ගුණාංග ගුණාංග"
"Attribute Code","ගුණාංග කේතය"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","මෙය අභ්යන්තරව භාවිතා වේ. ඔබ හිස්තැන් හෝ සංකේත %1 කට වඩා භාවිතා නොකරන බවට වග බලා ගන්න."
"Default Value","පෙරනිමි අගය"
"Unique Value","අද්විතීය වටිනාකම"
"Unique Value (not shared with other products)","අද්විතීය අගය (වෙනත් නිෂ්පාදන සමඟ බෙදා නොගනී)"
"Not shared with other products.","වෙනත් නිෂ්පාදන සමඟ බෙදා නොගනී."
"Input Validation for Store Owner","ගබඩා හිමිකරු සඳහා ආදාන වලංගුකරණය"
"Add to Column Options","තීරු විකල්ප වෙත එක් කරන්න"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","නිෂ්පාදන ජාලයේ තීරු විකල්ප ලැයිස්තුවට මෙම ගුණාංගය එක් කිරීමට ""ඔව්"" තෝරන්න."
"Use in Filter Options","පෙරහන් විකල්ප තුළ භාවිතා කරන්න"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","නිෂ්පාදන ජාලයේ පෙරහන් විකල්ප ලැයිස්තුවට මෙම ගුණාංගය එක් කිරීමට ""ඔව්"" තෝරන්න."
"Store View","ගබඩා දර්ශනය"
"Website","වෙබ් අඩවිය"
"Global","ගෝලීය"
"Scope","විෂය පථය"
"Declare attribute value saving scope.","ගුණාංග අගය ඉතිරි කිරීමේ විෂය පථය ප්‍රකාශ කරන්න."
"Storefront Properties","වෙළඳසැල් ඉදිරිපස දේපල"
"Use in Search","සෙවීමේදී භාවිතා කරන්න"
"Visible in Advanced Search","උසස් සෙවුමේ දෘශ්‍යමාන වේ"
"Comparable on Storefront","වෙළඳසැල් ඉදිරිපිට සැසඳිය හැකිය"
"Use for Promo Rule Conditions","ප්‍රවර්ධන රීති කොන්දේසි සඳහා භාවිතා කරන්න"
"Enable WYSIWYG","Enable WYSIWYG"
"Allow HTML Tags on Storefront","වෙළඳසැල් ඉදිරිපිට HTML ටැග් වලට ඉඩ දෙන්න"
"Visible on Catalog Pages on Storefront","වෙළඳසැල් ඉදිරිපස ඇති නාමාවලි පිටු මත දෘශ්‍යමාන වේ"
"Used in Product Listing","නිෂ්පාදන ලැයිස්තුගත කිරීමේදී භාවිතා වේ"
"Depends on design theme.","නිර්මාණ තේමාව මත රඳා පවතී."
"Used for Sorting in Product Listing","නිෂ්පාදන ලැයිස්තුවේ වර්ග කිරීම සඳහා භාවිතා වේ"
"Media Image","මාධ්ය රූපය"
"Gallery","ගැලරිය"
"System Properties","පද්ධති ගුණාංග"
"No","නැත"
"Yes","ඔව්"
"Data Type for Saving in Database","දත්ත සමුදායේ සුරැකීම සඳහා දත්ත වර්ගය"
"Text","පෙළ"
"Varchar","වර්චාර්"
"Static","ස්ථිතික"
"Datetime","දිනය වෙලාව"
"Decimal","දශම"
"Integer","පූර්ණ සංඛ්යාව"
"Globally Editable","ගෝලීය වශයෙන් සංස්කරණය කළ හැකි"
"Attribute Information","ගුණාංග තොරතුරු"
"Properties","දේපළ"
"Manage Labels","ලේබල් කළමනාකරණය කරන්න"
"Visible","දෘශ්‍යමානයි"
