"Root","ಮೂಲ"
"Delete","ಅಳಿಸಿ"
"Save","ಉಳಿಸಿ"
"Use Config Settings","Use Config Settings"
"Use All Available Attributes","Use All Available Attributes"
"ID","ID"
"Name","ಹೆಸರು"
"SKU","SKU"
"Visibility","ಗೋಚರತೆ"
"Status","ಸ್ಥಿತಿ"
"Price","ದರ"
"Position","ಸ್ಥಾನ"
"Add Subcategory","ಉಪವಿಭಾಗ ಸೇರಿಸಿ"
"Add Root Category","ಮೂಲ ವಿಭಾಗವನ್ನು ಸೇರಿಸಿ"
"Day","ದಿನ"
"Month","ತಿಂಗಳು"
"Year","ವರ್ಷ"
"<label class=""label""><span>from</span></label>","<label class=""label""><span>from</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""><span>to</span></label>"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[STORE VIEW]"
"WYSIWYG Editor","WYSIWYG ಸಂಪಾದಕ"
"Add Product","ಉತ್ಪನ್ನವನ್ನು ಸೇರಿಸಿ"
"label","ಲೇಬಲ್"
"Product Attributes","ಉತ್ಪನ್ನದ ಗುಣವಿಶೇಷಗಳು"
"Add New Attribute","ಹೊಸ ಗುಣವಿಶೇಷವನ್ನು ಸೇರಿಸಿ"
"Cancel","ರದ್ದುಪಡಿಸಿ"
"Save Attribute","ಗುಣವಿಶೇಷವನ್ನು ಉಳಿಸಿ"
"Save in New Attribute Set","Save in New Attribute Set"
"Enter Name for New Attribute Set","Enter Name for New Attribute Set"
"Save and Continue Edit","ಉಳಿಸಿ ಮತ್ತು ಸಂಪಾದನೆಯನ್ನು ಮುಂದುವರೆಸಿ"
"Delete Attribute","ಗುಣವಿಶೇಷವನ್ನು ಅಳಿಸಿ"
"Edit Product Attribute ""%1""","Edit Product Attribute ""%1"""
"New Product Attribute","ಹೊಸ ಉತ್ಪನ್ನದ ಗುಣವಿಶೇಷ"
"Advanced Attribute Properties","Advanced Attribute Properties"
"Attribute Code","ಗುಣವಿಶೇಷ ಸಂಕೇತ"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","This is used internally. Make sure you don't use spaces or more than %1 symbols."
"Default Value","ನಿಯೋಜಿತ ನಮೂದು"
"Unique Value","Unique Value"
"Unique Value (not shared with other products)","Unique Value (not shared with other products)"
