"Root","根"
"Delete","删除"
"Save","保存"
"Use Config Settings","使用配置设置"
"Use All Available Attributes","使用所有可用的属性"
"ID","编号ID"
"Name","名字"
"SKU","商品编号SKU"
"Visibility","可见性"
"Status","状态"
"Price","价格"
"Position","位置"
"Add Subcategory","添加子类别"
"Add Root Category","添加根类别"
"Day","天"
"Month","月"
"Year","年 "
"<label class=""label""><span>from</span></label>","<label class=""label""> <span>从</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""> <span>到</span></label>"
"[GLOBAL]","[全局]"
"[WEBSITE]","[网站]"
"[STORE VIEW]","[店铺视图]"
"WYSIWYG Editor","所见即所得编辑器"
"Add Product","添加产品"
"label","标签"
"Product Attributes","产品属性"
"Add New Attribute","该属性不存在"
"Cancel","取消"
"Save Attribute","保存属性"
"Save in New Attribute Set","将保存在新的属性集"
"Enter Name for New Attribute Set","输入新的属性集的名称"
"Save and Continue Edit","保存并继续编辑"
"Delete Attribute","删除属性"
"Edit Product Attribute ""%1""","编辑""%1""的产品属性"
"New Product Attribute","新的产品属性"
"Advanced Attribute Properties","高级的属性"
"Attribute Code","属性代码"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","这是在内部使用。确保你不要使用空格或超过1%的符号。"
"Default Value","默认值"
"Unique Value","独特价值"
"Unique Value (not shared with other products)","(不能与其他产品共享) 的独特价值"
"Not shared with other products.","不能与其他产品共享。"
"Input Validation for Store Owner","输入商店所有者的验证信息"
"Add to Column Options","添加到列选项"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","选择""是""，将此属性添加到产品网格中的列选项的列表。"
"Use in Filter Options","使用筛选器选项"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","选择""是""，将此属性添加到列表中的筛选器选项产品网格中。"
"Store View","商店界面"
"Website","网站"
"Global","全球"
"Scope","范围"
"Declare attribute value saving scope.","声明属性值保存范围。"
"Storefront Properties","前台属性"
"Use in Search","在搜索中的使用"
"Visible in Advanced Search","可见在高级搜索中"
"Comparable on Storefront","在前端可比"
"Use for Promo Rule Conditions","促销规则的情况下使用"
"Enable WYSIWYG","使所见即所得"
"Allow HTML Tags on Storefront","在前端允许 HTML 标签"
"Visible on Catalog Pages on Storefront","在前端目录页显示可见"
"Used in Product Listing","在产品列表中使用"
"Depends on design theme.","取决于设计主题。"
"Used for Sorting in Product Listing","用于排序的产品列表"
"Media Image","媒体图像"
"Gallery","图库"
"System Properties","系统属性"
"No","否"
"Yes","是"
"Data Type for Saving in Database","在数据库中保存的数据类型"
"Text","文字"
"Varchar","Varchar"
"Static","静态"
"Datetime","日期时间"
"Decimal","十进制"
"Integer","整数"
"Globally Editable","全球可编辑"
"Attribute Information","属性信息"
"Properties","属性"
"Manage Labels","管理标签"
"Visible","可比较"
"Web Site","网站"
"Searchable","可搜索"
"Comparable","可比性"
"Delete Selected Group","删除所选组"
"Add New","新增"
"Back","返回"
"Reset","重置"
