"Root","الجذر"
"Delete","احذف"
"Save","حفظ"
"Use Config Settings","استخدام اعداد الاعدادات"
"Use All Available Attributes","استخدام كافة السمات المتاحة"
"ID","التعريف"
"Name","اسم"
"SKU","رمز المنتج"
"Visibility","الظهور"
"Status","الحاله"
"Price","السعر"
"Position","موقع"
"Add Subcategory","قسم فرعي جديد"
"Add Root Category","اضف قسم رئيسي"
"Day","يوم"
"Month","الشهر"
"Year","السنة"
"<label class=""label""><span>from</span></label>","<label class=""label""> <span>من</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""> <span>إلى</span></label>"
"[GLOBAL]","[عام]"
"[WEBSITE]","[الموقع]"
"[STORE VIEW]","[عرض المتجر]"
"WYSIWYG Editor","محرر WYSIWYG"
"Add Product","اضف منتج"
"label","التسمية"
"Product Attributes","سمات المنتج"
"Add New Attribute","اضافة سمة جديدة"
"Cancel","إلغاء"
"Save Attribute","حفظ السمات"
"Save in New Attribute Set","حفظ في مجموعة سمة جديدة"
"Enter Name for New Attribute Set","قم بإدخال اسم لمجموعة سمة جديدة"
"Save and Continue Edit","حفظ ومواصلة التعديل"
"Delete Attribute","حذف السمة"
"Edit Product Attribute ""%1""","تعديل سمة المنتج ""%1"""
"New Product Attribute","سمة منتج جديد"
"Advanced Attribute Properties","خصائص السمة المتقدمة"
"Attribute Code","رمز السمة"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","إستخدام داخلي. تأكد من أن كنت لا تستخدم مسافات أو أكثر من %1 رمز."
"Default Value","القيمة الاعتيادية"
"Unique Value","قيمة نادرة"
"Unique Value (not shared with other products)","قيمة فريدة (لم يتم تقاسمها مع منتجات اخرى)"
"Not shared with other products.","غير مشارك مع المنتجات الأخرى."
"Input Validation for Store Owner","اثبات المدخلات لصاحب المتجر"
"Add to Column Options","إضافة إلى خيارات الأعمدة"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","اختر ""نعم"" لإضافة هذه السمة إلى قائمة خيارات العمود في شبكة العميل."
"Use in Filter Options","استخدام خيارات التصفية"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","اختر ""نعم"" لإضافة هذه السمة إلى قائمة خيارات العمود في شبكة العميل."
"Store View","عرض المتجر"
"Website","الموقع"
"Global","عالمي"
"Scope","مدى"
"Declare attribute value saving scope.","إعلان قيمة السمة لتوفير النطاق."
"Storefront Properties","خصائص الواجهة"
"Use in Search","استخدام في البحث"
"Visible in Advanced Search","مرئية في البحث المتقدم"
"Comparable on Storefront","قابلة للمقارنة في الواجهة"
"Use for Promo Rule Conditions","يستخدم لشروط قواعد العروض الترويجية"
"Enable WYSIWYG","تفعيل WYSIWYG"
"Allow HTML Tags on Storefront","السماح بـ HTML في واجهة المتجر"
"Visible on Catalog Pages on Storefront","مرئية على صفحات الكتالوج على الواجهة"
"Used in Product Listing","المستخدمة في قائمة المنتجات"
"Depends on design theme.","يعتمد على تصميم المظهر."
"Used for Sorting in Product Listing","يستخدم لفرز في قائمة المنتجات"
"Media Image","صور وسائل الاعلام"
"Gallery","البوم"
"System Properties","خصائص النظام"
"No","لا"
"Yes","نعم"
