"Root","Baza"
"Delete","Usuń"
"Save","Zapisz"
"Use Config Settings","Używaj ustawienia z konfiguracji"
"Use All Available Attributes","Używaj wszystkich dostępnych cech"
"ID","Identyfikator"
"Name","Nazwa"
"SKU","SKU"
"Visibility","Widoczność"
"Status","Stan"
"Price","Cena"
"Position","Pozycja"
"Add Subcategory","Dodaj podkategorię"
"Add Root Category","Dodaj kategorię bazową"
"Day","Dzień"
"Month","Miesiąc"
"Year","Rok"
"<label class=""label""><span>from</span></label>","<label class=""label""><span>od</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""><span>do</span></label>"
"[GLOBAL]","[GLOBALNY]"
"[WEBSITE]","[WITRYNA]"
"[STORE VIEW]","[WIDOK SKLEPU]"
"WYSIWYG Editor","Edytor"
"Add Product","Dodaj produkt"
"label","etykieta"
"Product Attributes","Cechy produktu"
"Add New Attribute","Dodaj cechę"
"Cancel","Anuluj"
"Save Attribute","Zapisz cechę"
"Save in New Attribute Set","Zapisz w nowym zestawie cech"
"Enter Name for New Attribute Set","Wprowadź nazwę dla nowego zestawu cech"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Delete Attribute","Usuń cechę"
"Edit Product Attribute ""%1""","Edytuj cechę produktu ""%1"""
"New Product Attribute","Nowa cecha produktu"
"Advanced Attribute Properties","Zaawansowane właściwości cechy"
"Attribute Code","Kod cechy"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Ta wartość jest używana wewnętrznie. Upewnij się, że nie ma spacji lub więcej niż %1 symboli."
"Default Value","Domyślna wartość"
"Unique Value","Unikalna wartość"
"Unique Value (not shared with other products)","Unikalna wartość (nie jest współdzielona z innymi produktami)"
"Not shared with other products.","Nie dzielone z innymi produktami."
"Input Validation for Store Owner","Sprawdzanie danych"
"Add to Column Options","Dodaj jako kolumnę"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Wybierz ""Tak"" żeby dodać ten atrybut do listy opcji kolumny w siatce produktu."
"Use in Filter Options","Użyj w opcjach filtrowania"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Wybierz ""Tak"", aby dodać ten atrybut do listy opcji filtru w siatce produktu."
"Store View","Widok sklepu"
"Website","Witryna"
"Global","Globalny"
"Scope","Zakres"
"Declare attribute value saving scope.","Zadeklaruj zakres zapisywania wartości cechy."
"Storefront Properties","Właściwości w sklepie"
"Use in Search","Użyj do wyszukiwania"
"Visible in Advanced Search","Widoczny w zaawansowanym wyszukiwaniu"
"Comparable on Storefront","Dostępny do porównania"
"Use for Promo Rule Conditions","Dostępny w warunkach reguł promocyjnych"
"Enable WYSIWYG","Włącz WYSIWYG"
"Allow HTML Tags on Storefront","Dozwolone znaczniki HTML"
"Visible on Catalog Pages on Storefront","Widoczny w widoku produktu"
"Used in Product Listing","Dostępny na liście produktów"
"Depends on design theme.","Zależy od wyglądu motywu."
"Used for Sorting in Product Listing","Dostępny do sortowania na liście produktów"
"Media Image","Obrazek mediów"
"Gallery","Galeria"
"System Properties","Właściwości systemowe"
"No","Nie"
"Yes","Tak"
"Data Type for Saving in Database","Typ danych do zapisania w bazie"
"Text","Tekst"
"Varchar","Tekst"
"Static","Statyczny"
"Datetime","Data i czas"
"Decimal","Dziesiętne"
"Integer","Liczba całkowita"
"Globally Editable","Edytowalne globalnie"
"Attribute Information","Informacje cechy"
"Properties","Właściwości"
"Manage Labels","Zarządzaj etykietami"
"Visible","Widoczny"
"Web Site","Witryna"
"Searchable","Widoczny w wynikach wyszukiwania"
"Comparable","Porównywalne"
"Delete Selected Group","Usuń zaznaczoną grupę"
"Add New","Dodaj nowe"
"Back","Powrót"
"Reset","Resetuj"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","Masz zamiar usunąć wszystkie produkty z tego zestawu atrybutów. Czy na pewno chcesz to zrobić?"
"New Set Name","Nowa nazwa zestawu"
"Edit Attribute Set '%1'","Edytuj zestaw cech '%1'"
"Empty","Pusty"
"Add Attribute","Dodaj cechę"
"Add New Group","Dodaj grupę"
"Add Group","Dodaj grupę"
"Edit Attribute Set Name","Edytuj nazwę zestawu atrybutów"
"For internal use","Do użytku wewnętrznego"
"Based On","Bazujący na"
"Add New Attribute Set","Dodaj nowy zestaw cech"
"Add Attribute Set","Dodaj zestaw cech"
"Attribute Sets","Zestawy cech"
"Close Window","Zamknij okno"
"New Product","Nowy produkt"
"Save & Edit","Zapisz i edytuj"
"Save & New","Zapisz i dodaj nowy"
"Save & Duplicate","Zapisz i duplikuj"
"Save & Close","Zapisz i zamknij"
"Attributes","Cechy"
"Change","Zmień"
"Advanced Inventory","Stan magazynowy"
"Websites","Witryny"
"Products Information","Informacje o produktach"
"Create Category","Stwórz Kategorię"
"Category Name","Nazwa kategorii"
"Parent Category","Kategoria nadrzędna"
