"Root","Корінь"
"Delete","Видалити"
"Are you sure you want to delete this category?","Ви впевнені, що хочете видалити цю категорію?"
"Save","Зберегти"
"Use Config Settings","Використовувати значення за замовчуванням"
"Use All Available Attributes","Використовувати всі доступні атрибути"
"ID","Ідентифікатор"
"Name","Назва"
"SKU","Артикул"
"Visibility","Видимість"
"Status","Статус"
"Price","Ціна"
"Position","Позиція"
"Add Subcategory","Додати підкатегорію"
"Add Root Category","Додати кореневу категорію"
"Day","День"
"Month","Місяць"
"Year","Рік"
"from","from"
"to","до"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[STORE VIEW]"
"WYSIWYG Editor","WYSIWYG Редактор"
"Add Product","Додати товар"
"label","етикетка"
"Product Attributes","Атрибути товарів"
"Add New Attribute","Додати новий атрибут"
"Cancel","Скасувати"
"Save Attribute","Зберегти атрибут"
"Save in New Attribute Set","Зберегти у новому наборі атрибутів"
"Enter Name for New Attribute Set","Введіть назву для нового набору атрибутів"
"Save and Continue Edit","Зберегти та Продовжити Редагування"
"Delete Attribute","Видалити атрибут"
"Edit Product Attribute ""%1""","Редагувати атрибут товару ""%1"""
"New Product Attribute","Новий атрибут товару"
"Advanced Attribute Properties","Розширені властивості атрибуту"
"Attribute Code","Код атрибуту"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Це використовується внутрішньо. Переконайтеся, що ви не використовуєте пробіли або більше за %1 символів."
"Default Value","Типове значення"
"Unique Value","Унікальне значення"
"Unique Value (not shared with other products)","Унікальне Значення (не використовується спільно з іншими товарами)"
"Not shared with other products.","Не використовується спільно з іншими товарами."
"Input Validation for Store Owner","Перевірка вхідних даних для власника крамниці"
"Add to Column Options","Додати до опцій стовпця"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Виберіть ""Так"", щоб додати цей атрибут до списку опцій стовпця у сітці товарів."
"Use in Filter Options","Використовувати як параметр фільтру"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Виберіть ""Так"", щоб додати цей атрибут до списку фільтрів опцій у таблиці товару."
"Store View","Вид Магазину"
"Website","Веб-сайт"
"Global","Загальний"
"Scope","Область використання"
"Declare attribute value saving scope.","Визначити область збереження атрибуту."
"The default date is invalid.","The default date is invalid."
"Storefront Properties","Властивості вітрини крамниці"
"Use in Search","Використовувати у Пошуку"
"Visible in Advanced Search","Видно у Розширеному Пошуку"
"Comparable on Storefront","Порівнянний на Вітрині"
"Use for Promo Rule Conditions","Використовувати для Умов Акційних Правил"
"Allow HTML Tags on Storefront","Дозволити HTML-теги на вітрині крамниці"
"Visible on Catalog Pages on Storefront","Видно на сторінках каталогу на вітрині крамниці"
"Used in Product Listing","Використовується у Списку Товарів"
"Depends on design theme.","Залежить від дизайну теми."
"Used for Sorting in Product Listing","Використовується для Сортування у Списку Товарів"
"Media Image","Медіа зображення"
"Gallery","Галерея"
"System Properties","Властивості системи"
"No","Ні"
"Yes","Так"
"Data Type for Saving in Database","Тип даних для збереження у базі даних"
"Text","Текст"
"Varchar","Varchar"
"Static","Статичний"
"Datetime","Дата й час"
"Decimal","Десяткове"
"Integer","Ціле число"
"Globally Editable","Редагується глобально"
"Attribute Information","Інформація атрибуту"
"Properties","Властивості"
"Manage Labels","Керувати етикетками"
"Visible","Видимий"
"Web Site","Веб-сайт"
"Searchable","Доступний для пошуку"
"Comparable","Порівнянний"
"Delete Selected Group","Видалити вибрану групу"
"Add New","Додати Новий"
"Back","Назад"
"Reset","Очистити"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","Ви маєте намір видалити всі товари в цьому наборі атрибутів. Ви впевнені, що бажаєте це зробити?"
"New Set Name","Нова назва набору"
"Edit Attribute Set '%1'","Редагувати набір атрибутів '%1'"
"Empty","Порожній"
"Add Attribute","Додати атрибут"
"Add New Group","Додати нову групу"
"Add Group","Додати групу"
"For internal use","Для внутрішнього використання"
"Based On","На підставі"
"Edit Attribute Set Name","Редагувати назву набору атрибутів"
"Attribute Set Information","Attribute Set Information"
