"Root","Racine"
"Delete","Supprimer"
"Save","Sauvegarder"
"Use Config Settings","Utilisez les paramètres de configuration"
"Use All Available Attributes","Utiliser tous les attributs disponibles"
"ID","Identifiant"
"Name","Nom"
"SKU","REF"
"Visibility","Visibilité"
"Status","Statut"
"Price","Prix"
"Position","Position"
"Add Subcategory","Ajouter une sous-catégorie"
"Add Root Category","Ajouter une catégorie racine"
"Day","Jour"
"Month","Mois"
"Year","Année"
"<label class=""label""><span>from</span></label>","<label class=""label""> <span>de</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""> <span>à</span></label>"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[SITE WEB]"
"[STORE VIEW]","[VUE MAGASIN]"
"WYSIWYG Editor","Éditeur WYSIWYG"
"Add Product","Ajouter un produit"
"label","Libellé"
"Product Attributes","Attributs de produit"
"Add New Attribute","Ajouter un attribut"
"Cancel","Annuler"
"Save Attribute","Sauvegarder l'attribut"
"Save in New Attribute Set","Enregistrer dans le nouveau jeu d'attributs"
"Enter Name for New Attribute Set","Entrez le nom pour le nouveau jeu d’attributs"
"Save and Continue Edit","Sauvegarder et continuer à éditer"
"Delete Attribute","Supprimer l'attribut"
"Edit Product Attribute ""%1""","Éditer l'attribut produit ""%1"""
"New Product Attribute","Nouvel attribut produit"
"Advanced Attribute Properties","Propriétés avancées des attributs"
"Attribute Code","Code d'attribut"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Ceci est utilisé en interne. Assurez-vous que vous n'utilisez pas d'espaces ou plus de %1 symboles."
"Default Value","Valeur par défaut"
"Unique Value","Valeur unique"
"Unique Value (not shared with other products)","Valeur unique (non partagée avec les autres produits)"
"Not shared with other products.","Non partagé avec les autres produits."
"Input Validation for Store Owner","Validation d'entrée pour le propriétaire du magasin"
"Add to Column Options","Ajoutez aux Options de colonne"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Sélectionnez « Oui » pour ajouter cet attribut à la liste des options de la colonne dans la grille de produit."
"Use in Filter Options","Utiliser dans les options de filtre"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Sélectionnez « Oui » pour ajouter cet attribut à la liste des options de filtrage dans la grille de produit."
"Store View","Vue magasin"
"Website","Site web"
"Global","Global"
"Scope","Portée"
"Declare attribute value saving scope.","Déclarer la portée d'économie de valeurs d'attributs."
"Storefront Properties","Propritétés du front office"
"Use in Search","Utiliser dans la recherche"
"Visible in Advanced Search","Visible dans la recherche avancée"
"Comparable on Storefront","Comparable sur la vitrine magasin"
"Use for Promo Rule Conditions","Utiliser pour les conditions de règles de promotions"
"Enable WYSIWYG","Activer l'éditeur WYSIWYG"
"Allow HTML Tags on Storefront","Permettre les balises HTML sur la vitrine"
"Visible on Catalog Pages on Storefront","Visible sur les pages du magasin"
"Used in Product Listing","Utiliser dans les listes de produits"
"Depends on design theme.","Dépendant du thème de design."
"Used for Sorting in Product Listing","Utiliser pour le tri des listes de produits"
"Media Image","Image"
"Gallery","Galerie"
"System Properties","Propriétés système"
"No","Non"
"Yes","Oui"
"Data Type for Saving in Database","Type de données à sauvegarder dans la base de données"
"Text","Texte"
"Varchar","Varchar"
"Static","Statique"
"Datetime","Date et heure"
"Decimal","Décimal"
"Integer","Entier"
"Globally Editable","Éditable globalement"
"Attribute Information","Informations attributs"
"Properties","Propriétés"
"Manage Labels","Gérer les libellés"
"Visible","Visible"
"Web Site","Site Web"
"Searchable","Utiliser dans la recherche"
"Comparable","Comparable"
"Delete Selected Group","Supprimer le groupe sélectionné"
"Add New","Ajouter"
"Back","Retour"
"Reset","Réinitialiser"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","Vous êtes sur le point de supprimer tous les produits dans ce jeu d’attributs. Êtes-vous sûr de vouloir faire cela ?"
"New Set Name","Nouveau nom"
"Edit Attribute Set '%1'","Editer le jeu d'attributs '%1'"
"Empty","Vide"
"Add Attribute","Ajouter un attribut"
"Add New Group","Ajouter un nouveau groupe"
"Add Group","Ajouter un groupe"
"Edit Attribute Set Name","Modifier le nom du jeu d'attributs"
"For internal use","Pour usage interne"
"Based On","Basé sur"
"Add New Attribute Set","Ajouter un nouveau jeu d'attributs"
"Add Attribute Set","Ajouter le jeu d’attributs"
"Attribute Sets","Jeux d'attributs"
"Close Window","Fermer la fenêtre"
"New Product","Nouveau produit"
"Save & Edit","Enregistrer & Modifier"
"Save & New","Enregistrer & Nouveau"
"Save & Duplicate","Enregistrer & Dupliquer"
"Save & Close","Sauvegarder & Fermer"
"Attributes","Attributs"
"Change","Modifier"
"Advanced Inventory","Inventaire avancé"
"Websites","Sites web"
"Products Information","Informations produits"
"Create Category","Créer une catégorie"
"Category Name","Nom de la catégorie"
"Parent Category","Catégorie parente"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","S’il n’y a pas de catégories parent personnalisées, merci d'utiliser la catégorie parent par défaut. Vous pouvez réaffecter la catégorie à tous moments dans <a href=""%1"" target=""_blank""> produits > catégories</a>."
"Price Alert Subscriptions","Abonnement aux alertes de prix"
"Stock Alert Subscriptions","Abonnements alerte de stocks"
"There are no customers for this alert.","Aucun client pour cette alerte."
"First Name","Prénom"
"Last Name","Nom"
"Email","Email"
"Subscribe Date","Date de souscription"
"Last Notified","Dernière notification"
"Send Count","Nombre d'envois"
"New Attribute","Nouvel attribut"
"Type","Type"
"Attribute Set","Jeu d'attributs"
"Add New Option","Ajouter une option"
"Import Options","Importer les Options"
"Use Default","Utiliser la valeur par défaut"
"Import","Importer"
"Add New Row","Ajouter une ligne"
"Delete Row","Supprimer la ligne"
"Tier Pricing","Tarification par palier"
"Default Price","Prix par défaut"
"All Websites","Tous les sites web"
"ALL GROUPS","TOUS LES GROUPES"
"Add Price","Ajouter le prix"
"Default Values","Valeurs par défaut"
"Related Products","Produits associés"
"Up-sells","Ventes incitatives"
"Cross-sells","Ventes croisées"
"Size for %1","Taille pour %1"
"Watermark File for %1","Fichier de filigrane pour %1"
"Position of Watermark for %1","Position du filigrane pour %1"
"Name in %1","Nom dans %1"
"Quantity","Quantité"
