"Root","Корен"
"Delete","Изтрий"
"Save","Запиши"
"Use Config Settings","Използвайте Настройки на конфигурацията"
"Use All Available Attributes","Използвай всички налични атрибути"
"ID","ID"
"Name","Име"
"SKU","Кат. номер"
"Visibility","Видимост"
"Status","Статус"
"Price","Цена"
"Position","Позиция"
"Add Subcategory","Добави подкатегория"
"Add Root Category","Добави главна категория"
"Day","Ден"
"Month","Месец"
"Year","Година"
"<label class=""label""><span>from</span></label>","<label class=""label""><span>от</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""><span>до</span></label>"
"[GLOBAL]","[Глобален]"
"[WEBSITE]","[Уебсайт]"
"[STORE VIEW]","[Изглед Магазин]"
"WYSIWYG Editor","WYSIWYG редактор"
"Add Product","Добави продукт"
"label","етикет"
"Product Attributes","Продуктови атрибути"
"Add New Attribute","Добави атрибут"
"Cancel","Отказ"
"Save Attribute","Запиши атрибут"
"Save in New Attribute Set","Запиши новата група атрибути"
"Enter Name for New Attribute Set","Въведи име на новата група атрибути"
"Save and Continue Edit","Запази и продължи редактиране"
"Delete Attribute","Изтрий атрибут"
"Edit Product Attribute ""%1""","Редакция на продуктов атрибут ""%1"""
"New Product Attribute","Нов продуктов атрибут"
"Advanced Attribute Properties","Разширени настройки на атрибута"
"Attribute Code","Код на атрибута"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Това се използва вътрешно. Уверете се, че не използвате интервали или повече от %1 символи."
"Default Value","Стойност по подразбиране"
"Unique Value","Уникална стойност"
"Unique Value (not shared with other products)","Уникална стойност (не е споделена с други продукти)"
"Not shared with other products.","Не е споделена с други продукти."
"Input Validation for Store Owner","Въведете валидация за администратора"
"Add to Column Options","Добави към опциите на колоната"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Избери ""Да"" за да добавиш този атрибут като колона в списъка с продукти."
"Use in Filter Options","Използвай за филтриране"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Избери ""Да"" за да добавиш този атрубут в списъка с филтри в списъка с продукти."
"Store View","Изглед на магазина"
"Website","Уебсайт"
"Global","Глобален"
"Scope","Обхват"
"Declare attribute value saving scope.","Декларирай обхват на атрибута за запазване на записите."
"Storefront Properties","Настройки на магазина"
"Use in Search","Използвай при търсене"
"Visible in Advanced Search","Видим при разширено търсене"
"Comparable on Storefront","Сравним на сайта"
"Use for Promo Rule Conditions","Използвай като правило за създаване на промоции"
"Enable WYSIWYG","Разреши WYSIWYG"
"Allow HTML Tags on Storefront","Разреши HTML тагове на сайта"
"Visible on Catalog Pages on Storefront","Видим в каталожните страници на магазина"
"Used in Product Listing","Използвай в списъка с продукти"
"Depends on design theme.","Зависи от дизайна на темата."
"Used for Sorting in Product Listing","Използвай за подреждане в списъка с продукти"
"Media Image","Изображение"
"Gallery","Галерия"
"System Properties","Системни настройки"
"No","Не"
"Yes","Да"
"Data Type for Saving in Database","Тип на данните записвани в базата данни"
"Text","Текст"
"Varchar","Стринг"
"Static","Статично"
"Datetime","Дата и час"
"Decimal","Десетичен"
"Integer","Цяло число"
"Globally Editable","Редактируем глобално"
"Attribute Information","Информация за атрибута"
"Properties","Свойства"
"Manage Labels","Управление на етикети"
"Visible","Видим"
"Web Site","Уеб сайт"
"Searchable","Може да бъде търсен"
"Comparable","Сравним"
"Delete Selected Group","Изтрий избраната група"
"Add New","Добави нов"
"Back","Обратно"
"Reset","Изчисти"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","На път сте да изтриете всички продукти от група атрибути. Сигурни ли сте, че искате да направите това?"
"New Set Name","Име на новия сет"
"Edit Attribute Set '%1'","Промени група атрибути '%1'"
"Empty","Празен"
"Add Attribute","Добави атрибут"
"Add New Group","Добави нова група"
"Add Group","Добави група"
"Edit Attribute Set Name","Промени името на групата атрибути"
"For internal use","За вътрешна употреба"
"Based On","Базиран на"
"Add New Attribute Set","Добави нова група атрибути"
"Add Attribute Set","Добави група атрибути"
"Attribute Sets","Групи атрибути"
"Close Window","Затвори прозореца"
"New Product","Нов продукт"
"Save & Edit","Запази и редактирай"
"Save & New","Запази и добави нов"
"Save & Duplicate","Запази и дублирай"
"Save & Close","Запази и затвори"
"Attributes","Атрибути"
"Change","Промени"
"Advanced Inventory","Разширено управление на инвентар"
"Websites","Уеб сайтове"
"Products Information","Информация за продукт"
"Create Category","Създай категория"
"Category Name","Име на категорията"
"Parent Category","Главна категория"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","Ако няма персонализирани основни категории, моля използвайте основна категория по подразбиране в <a href=""%1"" target=""_blank"">Products > Categories</a>."
"Price Alert Subscriptions","Абонаменти за цени"
"Stock Alert Subscriptions","Абонамент за складови наличности"
"There are no customers for this alert.","Няма клиенти за този сигнал."
"First Name","Име"
"Last Name","Фамилия"
"Email","Имейл"
"Subscribe Date","Дата на абониране"
"Last Notified","Последно уведомен"
"Send Count","Изпрати брой"
"New Attribute","Нов атрибут"
"Type","Тип"
"Attribute Set","Групи атрибути"
"Add New Option","Добави нова опция"
"Import Options","Импортирай опции"
"Use Default","Използвай по подразбиране"
"Import","Импорт"
"Add New Row","Добави нов ред"
"Delete Row","Изтрий ред"
"Tier Pricing","Редовна цена"
"Default Price","Цени по подразбиране"
"All Websites","Всички уеб сайтове"
"ALL GROUPS","ВСИЧКИ ГРУПИ"
"Add Price","Добави цена"
"Default Values","Стойности по подразбиране"
"Related Products","Свързани продукти"
"Up-sells","Надграждащи продажби"
"Cross-sells","Кръстосани продажби"
"Size for %1","Размер за %1"
"Watermark File for %1","Файл Воден знак за %1"
"Position of Watermark for %1","Позиция на Воден знак за %1"
"Name in %1","Име в %1"
"Quantity","Количество: "
"Edit","Редактирай"
"Are you sure?","Сигурни ли сте?"
"Change Status","Промени статус"
"Update Attributes","Актуализирай атрибути"
"start typing to search category","започнете да пишете за търсене в категорията"
"New Category","Нова категория"
"Images (.gif, .jpg, .png)","Изображения (.gif, .jpg, .png)"
"Add New Images","Добави нови изборажения"
"Inc. Tax","Вкл. ДДС"
"Does this have a weight?","Това има ли тегло?"
"Product","Продукт"
