"Root","Radice"
"Delete","Elimina"
"Save","Salva"
"Use Config Settings","Utilizzare le impostazioni di configurazione"
"Use All Available Attributes","Usa tutti gli attributi disponibili"
"ID","ID"
"Name","Nome"
"SKU","Cod.Art."
"Visibility","Visibilità"
"Status","Stato"
"Price","Prezzo"
"Position","Posizione"
"Add Subcategory","Aggiungi Sottocategoria"
"Add Root Category","Aggiungi categoria di Root"
"Day","Giorno"
"Month","Mese"
"Year","Anno"
"<label class=""label""><span>from</span></label>","<label class=""label""><span>da</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""><span>a</span></label>"
"[GLOBAL]","[GLOBALE]"
"[WEBSITE]","[SITO WEB]"
"[STORE VIEW]","[VISTA NEGOZIO]"
"WYSIWYG Editor","Editor WYSIWYG"
"Add Product","Aggiungi prodotto"
"label","etichetta"
"Product Attributes","Attributi prodotto"
"Add New Attribute","Aggiungi un nuovo attributo"
"Cancel","Annulla"
"Save Attribute","Salva Attributo"
"Save in New Attribute Set","Salva nel nuovo Gruppo di attributi"
"Enter Name for New Attribute Set","Inserisci il nome del nuovo Gruppo di attributi"
"Save and Continue Edit","Salva e continua modifica"
"Delete Attribute","Elimina l'attributo"
"Edit Product Attribute ""%1""","Modifica l'attributo prodotto ""%1"""
"New Product Attribute","Nuovo Attributo prodotto"
"Advanced Attribute Properties","Proprietà attributo avanzate"
"Attribute Code","Codice Attributo"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Utilizzato internamente. Assicurarsi di non utilizzare spazi o più di %1 simboli."
"Default Value","Valore predefinito"
"Unique Value","Valore unico"
"Unique Value (not shared with other products)","Valore univoco (non condiviso con altri prodotti)"
"Not shared with other products.","Non condiviso con altri prodotti."
"Input Validation for Store Owner","Convalida dell'input per proprietario del negozio"
"Add to Column Options","Aggiungi alle Opzioni di Colonna"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Selezionare ""Sì"" per aggiungere questo attributo alla lista delle opzioni di colonna nella griglia prodotto."
"Use in Filter Options","Usa nelle opzioni del filtro"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Seleziona ""Sì"" per aggiungere questo attributo all'elenco di opzioni filtro nella griglia prodotti."
"Store View","Vista Negozio"
"Website","Sito Web"
"Global","Globale"
"Scope","Ambito di applicazione"
"Declare attribute value saving scope.","Dichiara l'ambito di salvataggio del valore dell'attributo."
"Storefront Properties","Proprietà Frontend negozio"
"Use in Search","Usa nella ricerca"
"Visible in Advanced Search","Visibile nella ricerca avanzata"
"Comparable on Storefront","Comparabili nel Negozio"
"Use for Promo Rule Conditions","Usa per le condizioni delle regole promozionali"
"Enable WYSIWYG","Abilita WYSIWYG"
