"Root","根"
"Delete","刪除"
"Save","儲存"
"Use Config Settings","使用配置設置"
"Use All Available Attributes","使用所有可用的屬性"
"ID","編號"
"Name","名稱"
"SKU","商品編號"
"Visibility","可見度"
"Status","狀態"
"Price","價格"
"Position","位置"
"Add Subcategory","添加子類別"
"Add Root Category","添加根類別"
"Day","日"
"Month","月"
"Year","年 "
"<label class=""label""><span>from</span></label>","<label class=""label""><span>from</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""><span>to</span></label>"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[商店總覽]"
"WYSIWYG Editor","所見即所得編輯器"
"Add Product","新增商品"
"label","標籤"
"Product Attributes","產品屬性"
"Add New Attribute","添加新的屬性"
"Cancel","取消"
"Save Attribute","保存屬性"
"Save in New Attribute Set","保存在新屬性集中"
"Enter Name for New Attribute Set","輸入新屬性集的名稱"
"Save and Continue Edit","保存並繼續編輯"
"Delete Attribute","刪除屬性"
"Edit Product Attribute ""%1""","編輯""%1""的產品屬性"
"New Product Attribute","新的產品屬性"
"Advanced Attribute Properties","進階屬性"
"Attribute Code","屬性代碼"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","這是在內部使用。請確保您不使用空格或多過 %1 個符號。"
"Default Value","預設值"
"Unique Value","獨特值"
"Unique Value (not shared with other products)","（不能與其他產品共用） 的獨特值"
"Not shared with other products.","不能與其他產品共用"
"Input Validation for Store Owner","店主的輸入驗證"
"Add to Column Options","添加到列選項"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","選擇“是”將此屬性添加到產品網格中的列選項清單。"
"Use in Filter Options","使用篩選器選項"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","選擇""是""將此屬性添加到產品網格中的篩選器選項清單中。"
"Store View","店面"
"Website","網站"
"Global","全球"
"Scope","範圍"
"Declare attribute value saving scope.","Declare attribute value saving scope."
"Storefront Properties","店面的屬性"
"Use in Search","在搜索中的使用"
"Visible in Advanced Search","可見於進階搜尋中"
"Comparable on Storefront","在店面上可以比較"
"Use for Promo Rule Conditions","可以作為促銷條件之一"
"Enable WYSIWYG","Enable WYSIWYG"
"Allow HTML Tags on Storefront","在店面上允許使用 HTML 標籤"
"Visible on Catalog Pages on Storefront","Visible on Catalog Pages on Storefront"
"Used in Product Listing","Used in Product Listing"
"Depends on design theme.","取決於設計主題。"
"Used for Sorting in Product Listing","用於排序產品的列表"
"Media Image","媒體形像"
"Gallery","圖庫"
"System Properties","系統屬性"
"No","否"
"Yes","是"
"Data Type for Saving in Database","在數據庫中保存的數據類型"
"Text","文字"
"Varchar","Varchar"
"Static","靜態"
"Datetime","日期時間"
"Decimal","小數點"
"Integer","整數"
"Globally Editable","Globally Editable"
"Attribute Information","屬性信息"
"Properties","屬性"
"Manage Labels","Manage Labels"
"Visible","可見"
"Web Site","網站"
"Searchable","Searchable"
"Comparable","Comparable"
"Delete Selected Group","刪除選定的群組"
"Add New","新增"
"Back","上一步"
"Reset","重置"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","您將刪除此屬性中的所有產品。你確定要這麼做嗎？"
"New Set Name","New Set Name"
"Edit Attribute Set '%1'","Edit Attribute Set '%1'"
"Empty","空白"
"Add Attribute","添加產品屬性"
"Add New Group","添加新的群組"
"Add Group","添加群組"
"Edit Attribute Set Name","Edit Attribute Set Name"
"For internal use","For internal use"
"Based On","根據"
"Add New Attribute Set","Add New Attribute Set"
"Add Attribute Set","Add Attribute Set"
"Attribute Sets","Attribute Sets"
"Close Window","Close Window"
"New Product","新產品"
"Save & Edit","保存與編輯"
"Save & New","保存與新增"
"Save & Duplicate","保存與複製"
"Save & Close","保存和關閉"
"Attributes","屬性"
"Change","更改 "
"Advanced Inventory","進階庫存"
"Websites","網站"
"Products Information","產品資訊"
"Create Category","新建類別"
"Category Name","類別名稱"
"Parent Category","主要類別"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","如果沒有自訂主類別，請使用預設的主類別。您可以在任何時候重新分配類別 <a href=""%1""target=""_blank""> 產品 > 類別</a>。"
"Price Alert Subscriptions","價格提示訂閱"
"Stock Alert Subscriptions","庫存提示訂閱"
"There are no customers for this alert.","這個提示沒有客戶。"
"First Name","名字"
"Last Name","姓氏"
"Email","電郵"
"Subscribe Date","訂閱日期"
"Last Notified","最後通知"
"Send Count","發送計數"
"New Attribute","新屬性"
"Type","類別"
"Attribute Set","屬性集"
"Add New Option","添加新選項"
"Import Options","匯入選項"
"Use Default","使用預設值"
"Import","匯入"
"Add New Row","添加新行"
"Delete Row","刪除整行"
"Tier Pricing","第層定價"
"Default Price","預設價格"
"All Websites","所有網站"
"ALL GROUPS","所有群組"
"Add Price","添加價格"
"Default Values","預設值"
"Related Products","相關產品"
