"Root","Hlavní"
"Delete","Smazat"
"Save","Uložit"
"Use Config Settings","Použít nastavení konfigurace"
"Use All Available Attributes","Použít všechny dostupné atributy"
"ID","ID"
"Name","Jméno"
"SKU","Kód"
"Visibility","Viditelnost"
"Status","Stav"
"Price","Cena"
"Position","Pozice"
"Add Subcategory","Přidat podkategorii"
"Add Root Category","Přidat hlavní kategorii"
"Day","Den"
"Month","Měsíc"
"Year","Rok"
"<label class=""label""><span>from</span></label>","<label class=""label""><span>od</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""><span>do</span></label>"
"[GLOBAL]","[GLOBÁLNÍ]"
"[WEBSITE]","[WEB]"
"[STORE VIEW]","[ZOBRAZENÍ]"
"WYSIWYG Editor","Editor"
"Add Product","Přidat produkt"
"label","označení"
"Product Attributes","Atributy produktu"
"Add New Attribute","Přidat nový atribut"
"Cancel","Zrušit"
"Save Attribute","Uložit atribut"
"Save in New Attribute Set","Uložit v nové sadě atributů"
"Enter Name for New Attribute Set","Zadejte název nové sady atributů"
"Save and Continue Edit","Použít"
"Delete Attribute","Odstranit atribut"
"Edit Product Attribute ""%1""","Úprava atributu ""%1"""
"New Product Attribute","Nový atribut produktu"
"Advanced Attribute Properties","Rozšířené vlastnosti atributu"
"Attribute Code","Kód atributu"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Používá se interně. Ujistěte se, že nepoužíváte mezery nebo více než %1 znaků."
"Default Value","Výchozí hodnota"
"Unique Value","Unikátní hodnota"
"Unique Value (not shared with other products)","Jedinečný údaj (není sdílen s ostatními produkty)"
"Not shared with other products.","Není sdíleno s jinými produkty"
"Input Validation for Store Owner","Údaj ověření pro vlastníka obchodu"
"Add to Column Options","Přidat do volby slouců"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Chcete-li přidat tento atribut do volby sloupců v tabulce produktů, zvolte ""Ano""."
"Use in Filter Options","Použít ve volbách filtrování"
