"Root","שורש"
"Delete","מחק"
"Save","שמור"
"Use Config Settings","השתמש בהגדרות הראשיות"
"Use All Available Attributes","השתמש בכל התכונות הקיימות"
"ID","מזהה"
"Name","שם"
"SKU","מק''ט"
"Visibility","נראות"
"Status","סטטוס"
"Price","מחיר"
"Position","מיקום"
"Add Subcategory","הוסף קטגוריה משנית"
"Add Root Category","הוסף קטגוריה ראשית"
"Day","יום"
"Month","חודש"
"Year","שנה"
"<label class=""label""><span>from</span></label>","<label class=""label""><span>from</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""><span>to</span></label>"
"[GLOBAL]","[גלובלי]"
"[WEBSITE]","[אתר]"
"[STORE VIEW]","[תצוגת חנות]"
"WYSIWYG Editor","עורך WYSIWYG"
"Add Product","הוסף מוצר"
"label","תווית"
"Product Attributes","תכונות מוצר"
"Add New Attribute","הוסף תכונה חדשה"
"Cancel","ביטול"
"Save Attribute","שמור תכונה"
"Save in New Attribute Set","שמור בקבוצת תכונות"
"Enter Name for New Attribute Set","הזן שם עבור קבוצת תכונות חדשה"
"Save and Continue Edit","שמור והמשך בעריכה"
"Delete Attribute","מחק תכונה"
"Edit Product Attribute ""%1""","עריכת תכונת מוצר ""%1"""
"New Product Attribute","תכונת מוצר חדשה"
"Advanced Attribute Properties","מאפייני תכונה מתקדמים"
"Attribute Code","קוד תכונה"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","זהו מידע לשימוש פנימי. ודאו שאינכם משתמשים ברווחים או ביותר מ-%1 תווים."
"Default Value","ערך ברירת מחדל"
"Unique Value","ערך ייחודי"
"Unique Value (not shared with other products)","ערך ייחודי (לא ישותף עם מוצרים אחרים)"
"Not shared with other products.","אינו משותף עם מוצרים אחרים."
"Input Validation for Store Owner","אימות קלט עבור בעל חנות"
"Add to Column Options","הוסף לאפשרויות עמודות"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","בחר 'כן' כדי להוסיף תכונה זו לרשימה של אפשרויות עמודות בגריד המוצרים."
"Use in Filter Options","השתמש באפשרויות סינון"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","בחר 'כן' כדי להוסיף תכונה זו לרשימה של אפשרויות סינון בגריד המוצרים."
"Store View","תצוגת חנות"
"Website","אתר"
"Global","גלובלי"
"Scope","טווח"
"Declare attribute value saving scope.","הגדר ערכי תכונה טווח השמירה."
"Storefront Properties","מאפייני תצוגת חנות"
"Use in Search","השתמש בחיפוש"
"Visible in Advanced Search","גלוי בחיפוש מתקדם"
"Comparable on Storefront","ניתן להשוואה בחנות קדמית"
"Use for Promo Rule Conditions","השתמש עבור כללי קידום ומבצעים"
"Enable WYSIWYG","Enable WYSIWYG"
"Allow HTML Tags on Storefront","אפשר תגי HTML בחנות קדמית"
"Visible on Catalog Pages on Storefront","גלוי בדפי הקטלוג בתצוגת החנות"
"Used in Product Listing","בשימור ברשימת מוצרים"
"Depends on design theme.","תלוי בתבנית העיצוב."
"Used for Sorting in Product Listing","השתמש לסידור המוצרים בחנות הקדמית"
"Media Image","תמונת מדיה"
"Gallery","גלריה"
"System Properties","מאפייני מערכת"
"No","לא"
"Yes","כן"
"Data Type for Saving in Database","סוג מידע עבור שמירה במסד נתונים"
"Text","טקסט"
"Varchar","תווי"
"Static","סטטי"
"Datetime","תאריך ושעה"
"Decimal","עשרוני"
"Integer","מספר שלם"
"Globally Editable","ניתן לעריכה גלובאלית"
"Attribute Information","מידע אודות תכונה"
"Properties","מאפיינים"
"Manage Labels","נהל תוויות"
"Visible","מוצג"
"Web Site","אתר"
"Searchable","ניתן לחיפוש"
"Comparable","ניתן להשוואה"
"Delete Selected Group","מחיקת הקבוצה שנבחרה"
"Add New","הוסף חדש"
"Back","חזור"
"Reset","איפוס"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","אתה עומד למחוק את כל המוצרים בקבוצת תכונות זו. אתה בטוח שאתה רוצה לעשות את זה?"
"New Set Name","שם קבוצה חדשה"
"Edit Attribute Set '%1'","עריכת קבוצת התכונות '%1'"
"Empty","ריק"
"Add Attribute","הוסף תכונה"
"Add New Group","הוסף קבוצה חדשה"
"Add Group","הוסף קבוצה"
"Edit Attribute Set Name","עריכת שם קבוצת התכונות"
"For internal use","לשימוש פנימי"
"Based On","בהתבסס על"
"Add New Attribute Set","הוסף קבוצת תכונות חדשה"
"Add Attribute Set","הוסף קבוצת תכונות"
"Attribute Sets","קבוצות תכונות"
